ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
1856215982008750421!,great-bipedal-bumblebee,0.000000,-1.130648,-0.613444,0.000000,-0.613444,0.000000,0.000000,0.000000,0.000000,0.034402,0.059910
1856215982008750421!,great-bipedal-bumblebee,0.010000,-1.126010,-0.610969,0.000000,-0.610969,0.927464,0.494882,0.000000,0.494882,0.031397,0.049657
1856215982008750421!,great-bipedal-bumblebee,0.020000,-1.112690,-0.603862,0.000000,-0.603862,1.734963,0.925751,0.000000,0.925751,0.028707,0.040479
1856215982008750421!,great-bipedal-bumblebee,0.030000,-1.091814,-0.592723,0.000000,-0.592723,2.435076,1.299322,0.000000,1.299322,0.026301,0.032269
1856215982008750421!,great-bipedal-bumblebee,0.040000,-1.064395,-0.578092,0.000000,-0.578092,3.039137,1.621640,0.000000,1.621640,0.024150,0.024931
1856215982008750421!,great-bipedal-bumblebee,0.050000,-1.031337,-0.560453,0.000000,-0.560453,3.557347,1.898150,0.000000,1.898150,0.022230,0.018379
1856215982008750421!,great-bipedal-bumblebee,0.060000,-0.993454,-0.540239,0.000000,-0.540239,3.998893,2.133752,0.000000,2.133752,0.020517,0.012533
1856215982008750421!,great-bipedal-bumblebee,0.070000,-0.951471,-0.517838,0.000000,-0.517838,4.372044,2.332861,0.000000,2.332861,0.018990,0.007323
1856215982008750421!,great-bipedal-bumblebee,0.080000,-0.906039,-0.493596,0.000000,-0.493596,4.684242,2.499445,0.000000,2.499445,0.017631,0.002686
1856215982008750421!,great-bipedal-bumblebee,0.090000,-0.857739,-0.467824,0.000000,-0.467824,4.942185,2.637080,0.000000,2.637080,0.016423,-0.001436
1856215982008750421!,great-bipedal-bumblebee,0.100000,-0.807091,-0.440799,0.000000,-0.440799,5.151897,2.748979,0.000000,2.748979,0.015350,-0.005095
1856215982008750421!,great-bipedal-bumblebee,0.110000,-0.754558,-0.412768,0.000000,-0.412768,5.318798,2.838035,0.000000,2.838035,0.014400,-0.008338
1856215982008750421!,great-bipedal-bumblebee,0.120000,-0.700556,-0.383953,0.000000,-0.383953,5.447763,2.906849,0.000000,2.906849,0.013559,-0.011206
1856215982008750421!,great-bipedal-bumblebee,0.130000,-0.645457,-0.354553,0.000000,-0.354553,5.543173,2.957758,0.000000,2.957758,0.012818,-0.013737
1856215982008750421!,great-bipedal-bumblebee,0.140000,-0.589585,-0.324740,0.000000,-0.324740,5.608968,2.992866,0.000000,2.992866,0.012165,-0.015966
1856215982008750421!,great-bipedal-bumblebee,0.150000,-0.533221,-0.294666,0.000000,-0.294666,5.648689,3.014060,0.000000,3.014060,0.011591,-0.017923
1856215982008750421!,great-bipedal-bumblebee,0.160000,-0.476616,-0.264462,0.000000,-0.264462,5.665512,3.023036,0.000000,3.023036,0.011089,-0.019636
1856215982008750421!,great-bipedal-bumblebee,0.170000,-0.419984,-0.234244,0.000000,-0.234244,5.662284,3.021314,0.000000,3.021314,0.010650,-0.021132
1856215982008750421!,great-bipedal-bumblebee,0.180000,-0.363515,-0.204113,0.000000,-0.204113,5.641561,3.010257,0.000000,3.010257,0.010269,-0.022432
1856215982008750421!,great-bipedal-bumblebee,0.190000,-0.307369,-0.174154,0.000000,-0.174154,5.605628,2.991083,0.000000,2.991083,0.009940,-0.023557
1856215982008750421!,great-bipedal-bumblebee,0.200000,-0.251681,-0.144440,0.000000,-0.144440,5.556531,2.964886,0.000000,2.964886,0.009656,-0.024526
1856215982008750421!,great-bipedal-bumblebee,0.210000,-0.196569,-0.115033,0.000000,-0.115033,5.496097,2.932639,0.000000,2.932639,0.009413,-0.025355
1856215982008750421!,great-bipedal-bumblebee,0.220000,-0.142136,-0.085988,0.000000,-0.085988,5.425957,2.895213,0.000000,2.895213,0.009206,-0.026061
1856215982008750421!,great-bipedal-bumblebee,0.230000,-0.088467,-0.057351,0.000000,-0.057351,5.347565,2.853385,0.000000,2.853385,0.009032,-0.026655
1856215982008750421!,great-bipedal-bumblebee,0.240000,-0.035635,-0.029160,0.000000,-0.029160,5.262218,2.807844,0.000000,2.807844,0.008886,-0.027151
1856215982008750421!,great-bipedal-bumblebee,0.250000,0.016300,-0.001449,0.000000,-0.001449,5.171068,2.759208,0.000000,2.759208,0.008767,-0.027559
1856215982008750421!,great-bipedal-bumblebee,0.260000,0.067285,0.025756,0.000000,0.025756,5.075141,2.708023,0.000000,2.708023,0.008670,-0.027890
1856215982008750421!,great-bipedal-bumblebee,0.270000,0.117282,0.052434,0.000000,0.052434,4.975347,2.654774,0.000000,2.654774,0.008593,-0.028152
1856215982008750421!,great-bipedal-bumblebee,0.280000,0.166257,0.078566,0.000000,0.078566,4.872493,2.599893,0.000000,2.599893,0.008534,-0.028352
1856215982008750421!,great-bipedal-bumblebee,0.290000,0.214186,0.104140,0.000000,0.104140,4.767293,2.543760,0.000000,2.543760,0.008491,-0.028499
1856215982008750421!,great-bipedal-bumblebee,0.300000,0.261050,0.129146,0.000000,0.129146,4.660378,2.486712,0.000000,2.486712,0.008462,-0.028598
1856215982008750421!,great-bipedal-bumblebee,0.310000,0.306835,0.153577,0.000000,0.153577,4.552304,2.429045,0.000000,2.429045,0.008446,-0.028655
1856215982008750421!,great-bipedal-bumblebee,0.320000,0.351536,0.177428,0.000000,0.177428,4.443560,2.371020,0.000000,2.371020,0.008440,-0.028676
1856215982008750421!,great-bipedal-bumblebee,0.330000,0.395147,0.200698,0.000000,0.200698,4.334574,2.312867,0.000000,2.312867,0.008443,-0.028664
1856215982008750421!,great-bipedal-bumblebee,0.340000,0.437670,0.223388,0.000000,0.223388,4.225721,2.254785,0.000000,2.254785,0.008454,-0.028625
1856215982008750421!,great-bipedal-bumblebee,0.350000,0.479109,0.245499,0.000000,0.245499,4.117330,2.196949,0.000000,2.196949,0.008473,-0.028561
1856215982008750421!,great-bipedal-bumblebee,0.360000,0.519470,0.267035,0.000000,0.267035,4.009683,2.139510,0.000000,2.139510,0.008498,-0.028477
1856215982008750421!,great-bipedal-bumblebee,0.370000,0.558763,0.288002,0.000000,0.288002,3.903027,2.082600,0.000000,2.082600,0.008528,-0.028374
1856215982008750421!,great-bipedal-bumblebee,0.380000,0.596999,0.308404,0.000000,0.308404,3.797573,2.026331,0.000000,2.026331,0.008563,-0.028256
1856215982008750421!,great-bipedal-bumblebee,0.390000,0.634192,0.328249,0.000000,0.328249,3.693501,1.970799,0.000000,1.970799,0.008601,-0.028124
1856215982008750421!,great-bipedal-bumblebee,0.400000,0.670356,0.347546,0.000000,0.347546,3.590964,1.916087,0.000000,1.916087,0.008643,-0.027982
1856215982008750421!,great-bipedal-bumblebee,0.410000,0.705508,0.366303,0.000000,0.366303,3.490092,1.862264,0.000000,1.862264,0.008687,-0.027831
1856215982008750421!,great-bipedal-bumblebee,0.420000,0.739666,0.384529,0.000000,0.384529,3.390993,1.809385,0.000000,1.809385,0.008734,-0.027672
1856215982008750421!,great-bipedal-bumblebee,0.430000,0.772846,0.402233,0.000000,0.402233,3.293753,1.757500,0.000000,1.757500,0.008782,-0.027507
1856215982008750421!,great-bipedal-bumblebee,0.440000,0.805069,0.419427,0.000000,0.419427,3.198445,1.706645,0.000000,1.706645,0.008832,-0.027337
1856215982008750421!,great-bipedal-bumblebee,0.450000,0.836365,0.436126,0.000000,0.436126,3.105124,1.656850,0.000000,1.656850,0.008883,-0.027163
1856215982008750421!,great-bipedal-bumblebee,0.460000,0.866754,0.452341,0.000000,0.452341,3.013830,1.608137,0.000000,1.608137,0.008934,-0.026988
1856215982008750421!,great-bipedal-bumblebee,0.470000,0.896255,0.468083,0.000000,0.468083,2.924591,1.560520,0.000000,1.560520,0.008986,-0.026811
1856215982008750421!,great-bipedal-bumblebee,0.480000,0.924890,0.483362,0.000000,0.483362,2.837425,1.514010,0.000000,1.514010,0.009038,-0.026633
1856215982008750421!,great-bipedal-bumblebee,0.490000,0.952678,0.498189,0.000000,0.498189,2.752340,1.468610,0.000000,1.468610,0.009090,-0.026455
1856215982008750421!,great-bipedal-bumblebee,0.500000,0.979641,0.512576,0.000000,0.512576,2.669339,1.424322,0.000000,1.424322,0.009143,-0.026277
1856215982008750421!,great-bipedal-bumblebee,0.510000,1.005799,0.526534,0.000000,0.526534,2.588417,1.381142,0.000000,1.381142,0.009194,-0.026100
1856215982008750421!,great-bipedal-bumblebee,0.520000,1.031172,0.540072,0.000000,0.540072,2.509561,1.339066,0.000000,1.339066,0.009246,-0.025925
1856215982008750421!,great-bipedal-bumblebee,0.530000,1.055780,0.553203,0.000000,0.553203,2.432758,1.298085,0.000000,1.298085,0.009297,-0.025751
1856215982008750421!,great-bipedal-bumblebee,0.540000,1.079642,0.565935,0.000000,0.565935,2.357986,1.258188,0.000000,1.258188,0.009347,-0.025580
1856215982008750421!,great-bipedal-bumblebee,0.550000,1.102779,0.578281,0.000000,0.578281,2.285221,1.219361,0.000000,1.219361,0.009396,-0.025411
1856215982008750421!,great-bipedal-bumblebee,0.560000,1.125209,0.590249,0.000000,0.590249,2.214437,1.181592,0.000000,1.181592,0.009445,-0.025244
1856215982008750421!,great-bipedal-bumblebee,0.570000,1.146952,0.601851,0.000000,0.601851,2.145603,1.144863,0.000000,1.144863,0.009493,-0.025080
1856215982008750421!,great-bipedal-bumblebee,0.580000,1.168025,0.613095,0.000000,0.613095,2.078689,1.109159,0.000000,1.109159,0.009541,-0.024919
1856215982008750421!,great-bipedal-bumblebee,0.590000,1.188448,0.623993,0.000000,0.623993,2.013660,1.074460,0.000000,1.074460,0.009587,-0.024760
1856215982008750421!,great-bipedal-bumblebee,0.600000,1.208238,0.634552,0.000000,0.634552,1.950481,1.040749,0.000000,1.040749,0.009632,-0.024605
1856215982008750421!,great-bipedal-bumblebee,0.610000,1.227412,0.644783,0.000000,0.644783,1.889117,1.008006,0.000000,1.008006,0.009677,-0.024454
1856215982008750421!,great-bipedal-bumblebee,0.620000,1.245988,0.654695,0.000000,0.654695,1.829529,0.976211,0.000000,0.976211,0.009720,-0.024305
1856215982008750421!,great-bipedal-bumblebee,0.630000,1.263982,0.664296,0.000000,0.664296,1.771681,0.945344,0.000000,0.945344,0.009763,-0.024159
1856215982008750421!,great-bipedal-bumblebee,0.640000,1.281410,0.673596,0.000000,0.673596,1.715534,0.915384,0.000000,0.915384,0.009805,-0.024017
1856215982008750421!,great-bipedal-bumblebee,0.650000,1.298288,0.682602,0.000000,0.682602,1.661049,0.886312,0.000000,0.886312,0.009845,-0.023879
1856215982008750421!,great-bipedal-bumblebee,0.660000,1.314633,0.691323,0.000000,0.691323,1.608188,0.858106,0.000000,0.858106,0.009885,-0.023743
1856215982008750421!,great-bipedal-bumblebee,0.670000,1.330458,0.699767,0.000000,0.699767,1.556913,0.830747,0.000000,0.830747,0.009924,-0.023611
1856215982008750421!,great-bipedal-bumblebee,0.680000,1.345778,0.707942,0.000000,0.707942,1.507184,0.804212,0.000000,0.804212,0.009962,-0.023482
1856215982008750421!,great-bipedal-bumblebee,0.690000,1.360608,0.715855,0.000000,0.715855,1.458965,0.778483,0.000000,0.778483,0.009999,-0.023356
1856215982008750421!,great-bipedal-bumblebee,0.700000,1.374962,0.723514,0.000000,0.723514,1.412217,0.753539,0.000000,0.753539,0.010034,-0.023234
1856215982008750421!,great-bipedal-bumblebee,0.710000,1.388852,0.730926,0.000000,0.730926,1.366902,0.729360,0.000000,0.729360,0.010069,-0.023114
1856215982008750421!,great-bipedal-bumblebee,0.720000,1.402293,0.738097,0.000000,0.738097,1.322985,0.705926,0.000000,0.705926,0.010104,-0.022998
1856215982008750421!,great-bipedal-bumblebee,0.730000,1.415297,0.745036,0.000000,0.745036,1.280428,0.683218,0.000000,0.683218,0.010137,-0.022885
1856215982008750421!,great-bipedal-bumblebee,0.740000,1.427876,0.751748,0.000000,0.751748,1.239197,0.661218,0.000000,0.661218,0.010169,-0.022774
1856215982008750421!,great-bipedal-bumblebee,0.750000,1.440043,0.758240,0.000000,0.758240,1.199256,0.639906,0.000000,0.639906,0.010201,-0.022667
1856215982008750421!,great-bipedal-bumblebee,0.760000,1.451809,0.764518,0.000000,0.764518,1.160570,0.619264,0.000000,0.619264,0.010231,-0.022563
1856215982008750421!,great-bipedal-bumblebee,0.770000,1.463186,0.770589,0.000000,0.770589,1.123107,0.599274,0.000000,0.599274,0.010261,-0.022461
1856215982008750421!,great-bipedal-bumblebee,0.780000,1.474185,0.776458,0.000000,0.776458,1.086832,0.579918,0.000000,0.579918,0.010290,-0.022362
1856215982008750421!,great-bipedal-bumblebee,0.790000,1.484816,0.782130,0.000000,0.782130,1.051715,0.561180,0.000000,0.561180,0.010318,-0.022266
1856215982008750421!,great-bipedal-bumblebee,0.800000,1.495090,0.787613,0.000000,0.787613,1.017722,0.543042,0.000000,0.543042,0.010345,-0.022172
1856215982008750421!,great-bipedal-bumblebee,0.810000,1.505021,0.792911,0.000000,0.792911,0.984823,0.525488,0.000000,0.525488,0.010372,-0.022082
1856215982008750421!,great-bipedal-bumblebee,0.820000,1.514629,0.798038,0.000000,0.798038,0.952987,0.508500,0.000000,0.508500,0.010398,-0.021994
1856215982008750421!,great-bipedal-bumblebee,0.830000,1.523925,0.802998,0.000000,0.802998,0.922181,0.492063,0.000000,0.492063,0.010423,-0.021908
1856215982008750421!,great-bipedal-bumblebee,0.840000,1.532917,0.807796,0.000000,0.807796,0.892371,0.476156,0.000000,0.476156,0.010447,-0.021826
1856215982008750421!,great-bipedal-bumblebee,0.850000,1.541612,0.812436,0.000000,0.812436,0.863526,0.460765,0.000000,0.460765,0.010470,-0.021746
