ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
1652368913221860319!,great-devious-beetle,0.000000,0.214564,-1.798111,-1.080199,-1.040755,0.000000,0.000000,0.000000,0.000000,0.162653,0.242550
1652368913221860319!,great-devious-beetle,0.010000,0.219875,-1.788106,-1.080506,-1.040436,1.055647,1.998309,-0.058422,0.060672,-0.027073,0.141235
1652368913221860319!,great-devious-beetle,0.020000,0.231277,-1.761085,-1.082901,-1.037942,1.216913,3.405005,-0.417213,0.435285,-0.090817,0.098296
1652368913221860319!,great-devious-beetle,0.030000,0.242580,-1.721521,-1.089200,-1.031331,1.037615,4.510046,-0.839965,0.887096,-0.104911,0.078582
1652368913221860319!,great-devious-beetle,0.040000,0.251506,-1.671801,-1.099593,-1.020242,0.744687,5.430581,-1.233212,1.329128,-0.101412,0.067498
1652368913221860319!,great-devious-beetle,0.050000,0.257347,-1.613530,-1.113628,-1.004904,0.423970,6.213602,-1.564695,1.733985,-0.092426,0.059416
1652368913221860319!,great-devious-beetle,0.060000,0.259983,-1.547984,-1.130648,-0.985715,0.107271,6.878116,-1.826599,2.095169,-0.082258,0.052271
1652368913221860319!,great-devious-beetle,0.070000,0.259514,-1.476310,-1.149964,-0.963111,-0.193000,7.432248,-2.020654,2.412680,-0.072367,0.045374
1652368913221860319!,great-devious-beetle,0.080000,0.256132,-1.399602,-1.170921,-0.937520,-0.471159,7.880569,-2.152426,2.688283,-0.063231,0.038573
1652368913221860319!,great-devious-beetle,0.090000,0.250079,-1.318915,-1.192925,-0.909356,-0.723927,8.227388,-2.229096,2.924206,-0.055002,0.031931
1652368913221860319!,great-devious-beetle,0.100000,0.241622,-1.235264,-1.215459,-0.879011,-0.949132,8.478193,-2.258481,3.122933,-0.047731,0.025583
1652368913221860319!,great-devious-beetle,0.110000,0.231050,-1.149602,-1.238080,-0.846852,-1.145413,8.640132,-2.248503,3.287265,-0.041436,0.019677
1652368913221860319!,great-devious-beetle,0.120000,0.218666,-1.062804,-1.260425,-0.813222,-1.312214,8.721925,-2.206802,3.420355,-0.036113,0.014338
1652368913221860319!,great-devious-beetle,0.130000,0.204772,-0.975637,-1.282207,-0.778425,-1.449767,8.733431,-2.140447,3.525707,-0.031739,0.009652
1652368913221860319!,great-devious-beetle,0.140000,0.189661,-0.888760,-1.303213,-0.742721,-1.558993,8.685154,-2.055747,3.607110,-0.028273,0.005660
1652368913221860319!,great-devious-beetle,0.150000,0.173610,-0.802723,-1.323289,-0.706332,-1.641365,8.587688,-1.958129,3.668486,-0.025654,0.002361
1652368913221860319!,great-devious-beetle,0.160000,0.156884,-0.717967,-1.342331,-0.669438,-1.698738,8.451213,-1.852088,3.713735,-0.023805,-0.000283
1652368913221860319!,great-devious-beetle,0.170000,0.139721,-0.634814,-1.360277,-0.632177,-1.733197,8.285035,-1.741179,3.746556,-0.022636,-0.002332
1652368913221860319!,great-devious-beetle,0.180000,0.122338,-0.553482,-1.377097,-0.594647,-1.746873,8.097370,-1.628081,3.770345,-0.022051,-0.003860
1652368913221860319!,great-devious-beetle,0.190000,0.104930,-0.474120,-1.392783,-0.556916,-1.741770,7.895322,-1.514718,3.788139,-0.021951,-0.004949
1652368913221860319!,great-devious-beetle,0.200000,0.087672,-0.396830,-1.407343,-0.519024,-1.719684,7.684874,-1.402363,3.802535,-0.022237,-0.005676
1652368913221860319!,great-devious-beetle,0.210000,0.070723,-0.321662,-1.420792,-0.480990,-1.682193,7.470890,-1.291729,3.815629,-0.022808,-0.006111
1652368913221860319!,great-devious-beetle,0.220000,0.054229,-0.248627,-1.433149,-0.442815,-1.630662,7.257224,-1.183081,3.828984,-0.023567,-0.006312
1652368913221860319!,great-devious-beetle,0.230000,0.038323,-0.177701,-1.444434,-0.404489,-1.566275,7.046838,-1.076340,3.843615,-0.024415,-0.006327
1652368913221860319!,great-devious-beetle,0.240000,0.023128,-0.108836,-1.454664,-0.365997,-1.490095,6.841946,-0.971184,3.859993,-0.025255,-0.006190
1652368913221860319!,great-devious-beetle,0.250000,0.008757,-0.041969,-1.463851,-0.327321,-1.403135,6.644130,-0.867142,3.878048,-0.025994,-0.005926
1652368913221860319!,great-devious-beetle,0.260000,-0.004690,0.022978,-1.472004,-0.288449,-1.306440,6.454449,-0.763681,3.897197,-0.026540,-0.005551
1652368913221860319!,great-devious-beetle,0.270000,-0.017119,0.086091,-1.479125,-0.249378,-1.201161,6.273535,-0.660293,3.916372,-0.026808,-0.005074
1652368913221860319!,great-devious-beetle,0.280000,-0.028454,0.147457,-1.485211,-0.210118,-1.088623,6.101668,-0.556568,3.934078,-0.026721,-0.004499
1652368913221860319!,great-devious-beetle,0.290000,-0.038630,0.207166,-1.490256,-0.170700,-0.970377,5.938836,-0.452272,3.948457,-0.026212,-0.003828
1652368913221860319!,great-devious-beetle,0.300000,-0.047601,0.265305,-1.494254,-0.131173,-0.848230,5.784795,-0.347398,3.957381,-0.025232,-0.003061
1652368913221860319!,great-devious-beetle,0.310000,-0.055340,0.321960,-1.497200,-0.091611,-0.724253,5.639113,-0.242219,3.958567,-0.023749,-0.002202
1652368913221860319!,great-devious-beetle,0.320000,-0.061846,0.377208,-1.499094,-0.052113,-0.600759,5.501214,-0.137304,3.949697,-0.021755,-0.001253
1652368913221860319!,great-devious-beetle,0.330000,-0.067139,0.431121,-1.499945,-0.012801,-0.480252,5.370418,-0.033527,3.928568,-0.019268,-0.000226
1652368913221860319!,great-devious-beetle,0.340000,-0.071269,0.483765,-1.499771,0.026182,-0.365351,5.245978,0.067965,3.893233,-0.016334,0.000867
1652368913221860319!,great-devious-beetle,0.350000,-0.074313,0.535195,-1.498605,0.064673,-0.258686,5.127110,0.165810,3.842141,-0.013024,0.002005
1652368913221860319!,great-devious-beetle,0.360000,-0.076372,0.585461,-1.496494,0.102497,-0.162778,5.013020,0.258505,3.774265,-0.009437,0.003165
1652368913221860319!,great-devious-beetle,0.370000,-0.077576,0.634614,-1.493501,0.139480,-0.079888,4.902908,0.344538,3.689185,-0.005692,0.004317
