ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3
1602080308719045244!,great-mauve-beetle,0.000000,1.881074,-0.811018,0.506661,-1.411841,0.000000,0.000000,0.000000,0.000000,0.178698,0.773262,-0.674938
1602080308719045244!,great-mauve-beetle,0.010000,1.875312,-0.823175,0.497101,-1.415235,-1.156174,-2.428982,-1.911241,-0.671323,0.083600,0.263481,-0.297174
1602080308719045244!,great-mauve-beetle,0.020000,1.859655,-0.850586,0.473320,-1.423365,-1.976424,-3.049976,-2.845595,-0.946264,0.052477,0.107221,-0.175544
1602080308719045244!,great-mauve-beetle,0.030000,1.836557,-0.881504,0.441802,-1.433461,-2.642418,-3.127935,-3.458439,-1.065912,0.040394,0.055935,-0.130093
1602080308719045244!,great-mauve-beetle,0.040000,1.807274,-0.912364,0.404780,-1.444352,-3.209935,-3.038967,-3.943460,-1.105156,0.034256,0.036406,-0.108242
1602080308719045244!,great-mauve-beetle,0.050000,1.772672,-0.942058,0.363231,-1.455357,-3.701710,-2.896056,-4.360104,-1.088205,0.030142,0.026913,-0.094273
1602080308719045244!,great-mauve-beetle,0.060000,1.733452,-0.970223,0.317739,-1.465961,-4.128770,-2.734294,-4.727435,-1.024644,0.026846,0.020996,-0.083401
1602080308719045244!,great-mauve-beetle,0.070000,1.690226,-0.996737,0.268759,-1.475727,-4.497452,-2.565938,-5.052055,-0.920078,0.023971,0.016659,-0.074077
1602080308719045244!,great-mauve-beetle,0.080000,1.643557,-1.021565,0.216704,-1.484264,-4.812043,-2.396439,-5.336502,-0.779135,0.021371,0.013218,-0.065731
1602080308719045244!,great-mauve-beetle,0.090000,1.593973,-1.044720,0.161971,-1.491230,-5.075906,-2.229060,-5.581900,-0.606281,0.018979,0.010390,-0.058120
1602080308719045244!,great-mauve-beetle,0.100000,1.541972,-1.066248,0.104949,-1.496324,-5.292026,-2.066206,-5.788890,-0.406022,0.016765,0.008023,-0.051121
1602080308719045244!,great-mauve-beetle,0.110000,1.488031,-1.086213,0.046031,-1.499294,-5.463339,-1.909799,-5.958027,-0.182921,0.014712,0.006015,-0.044668
1602080308719045244!,great-mauve-beetle,0.120000,1.432602,-1.104692,-0.014390,-1.499931,-5.592919,-1.761385,-6.089991,0.058426,0.012813,0.004292,-0.038723
1602080308719045244!,great-mauve-beetle,0.130000,1.376096,-1.121779,-0.075937,-1.498077,-5.683979,-1.622226,-6.185640,0.313547,0.011062,0.002784,-0.033256
1602080308719045244!,great-mauve-beetle,0.140000,1.318888,-1.137575,-0.138244,-1.493616,-5.739927,-1.493242,-6.246050,0.578115,0.009455,0.001429,-0.028246
1602080308719045244!,great-mauve-beetle,0.150000,1.261316,-1.152191,-0.200961,-1.486477,-5.764340,-1.375022,-6.272539,0.848001,0.007989,0.000177,-0.023671
1602080308719045244!,great-mauve-beetle,0.160000,1.203681,-1.165720,-0.263744,-1.476631,-5.760919,-1.267863,-6.266702,1.119307,0.006658,-0.001014,-0.019508
1602080308719045244!,great-mauve-beetle,0.170000,1.146238,-1.178246,-0.326275,-1.464085,-5.733362,-1.171819,-6.230351,1.388451,0.005456,-0.002182,-0.015731
1602080308719045244!,great-mauve-beetle,0.180000,1.089202,-1.189865,-0.388266,-1.448879,-5.685277,-1.086678,-6.165426,1.652190,0.004374,-0.003361,-0.012306
