ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
2257951629442801630!,great-piquant-bumblebee,0.000000,1.836696,-1.102989,0.000000,-1.102989,0.000000,0.000000,0.000000,0.000000,-0.058486,0.065257
2257951629442801630!,great-piquant-bumblebee,0.010000,1.830394,-1.100116,0.000000,-1.100116,-1.260473,0.574655,0.000000,0.574655,-0.050921,0.058047
2257951629442801630!,great-piquant-bumblebee,0.020000,1.812291,-1.091863,0.000000,-1.091863,-2.357905,1.074980,0.000000,1.074980,-0.044149,0.051593
2257951629442801630!,great-piquant-bumblebee,0.030000,1.783920,-1.078928,0.000000,-1.078928,-3.309396,1.508769,0.000000,1.508769,-0.038092,0.045820
2257951629442801630!,great-piquant-bumblebee,0.040000,1.746655,-1.061939,0.000000,-1.061939,-4.130345,1.883044,0.000000,1.883044,-0.032678,0.040661
2257951629442801630!,great-piquant-bumblebee,0.050000,1.701728,-1.041457,0.000000,-1.041457,-4.834620,2.204126,0.000000,2.204126,-0.027844,0.036053
2257951629442801630!,great-piquant-bumblebee,0.060000,1.650247,-1.017986,0.000000,-1.017986,-5.434704,2.477707,0.000000,2.477707,-0.023531,0.031943
2257951629442801630!,great-piquant-bumblebee,0.070000,1.593261,-0.992006,0.000000,-0.992006,-5.941837,2.708911,0.000000,2.708911,-0.019688,0.028280
2257951629442801630!,great-piquant-bumblebee,0.080000,1.531656,-0.963920,0.000000,-0.963920,-6.366154,2.902360,0.000000,2.902360,-0.016269,0.025021
2257951629442801630!,great-piquant-bumblebee,0.090000,1.466210,-0.934083,0.000000,-0.934083,-6.716777,3.062210,0.000000,3.062210,-0.013230,0.022125
2257951629442801630!,great-piquant-bumblebee,0.100000,1.397605,-0.902805,0.000000,-0.902805,-7.001905,3.192201,0.000000,3.192201,-0.010533,0.019554
2257951629442801630!,great-piquant-bumblebee,0.110000,1.326449,-0.870365,0.000000,-0.870365,-7.228908,3.295693,0.000000,3.295693,-0.008143,0.017277
2257951629442801630!,great-piquant-bumblebee,0.120000,1.253282,-0.837008,0.000000,-0.837008,-7.404406,3.375703,0.000000,3.375703,-0.006029,0.015262
2257951629442801630!,great-piquant-bumblebee,0.130000,1.178587,-0.802954,0.000000,-0.802954,-7.534343,3.434942,0.000000,3.434942,-0.004163,0.013483
2257951629442801630!,great-piquant-bumblebee,0.140000,1.102791,-0.768398,0.000000,-0.768398,-7.624059,3.475844,0.000000,3.475844,-0.002519,0.011916
2257951629442801630!,great-piquant-bumblebee,0.150000,1.026275,-0.733514,0.000000,-0.733514,-7.678342,3.500592,0.000000,3.500592,-0.001074,0.010540
2257951629442801630!,great-piquant-bumblebee,0.160000,0.949372,-0.698454,0.000000,-0.698454,-7.701494,3.511147,0.000000,3.511147,0.000191,0.009333
