ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3,U4
1761418936634036112!,great-proficient-bumblebee,0.000000,-2.093386,0.544944,0.000000,0.544944,0.000000,0.000000,0.000000,0.000000,-0.077426,-0.058461,0.017679,0.060380
1761418936634036112!,great-proficient-bumblebee,0.010000,-2.087260,0.545344,0.000000,0.545344,1.225188,0.079958,0.000000,0.079958,-0.067279,-0.051312,0.014701,0.052460
1761418936634036112!,great-proficient-bumblebee,0.020000,-2.069664,0.546492,0.000000,0.546492,2.291900,0.149573,0.000000,0.149573,-0.058197,-0.044913,0.012036,0.045370
1761418936634036112!,great-proficient-bumblebee,0.030000,-2.042087,0.548292,0.000000,0.548292,3.216756,0.209931,0.000000,0.209931,-0.050072,-0.039190,0.009651,0.039029
1761418936634036112!,great-proficient-bumblebee,0.040000,-2.005865,0.550656,0.000000,0.550656,4.014725,0.262008,0.000000,0.262008,-0.042811,-0.034074,0.007520,0.033361
1761418936634036112!,great-proficient-bumblebee,0.050000,-1.962196,0.553506,0.000000,0.553506,4.699285,0.306683,0.000000,0.306683,-0.036327,-0.029506,0.005617,0.028299
1761418936634036112!,great-proficient-bumblebee,0.060000,-1.912151,0.556772,0.000000,0.556772,5.282571,0.344750,0.000000,0.344750,-0.030542,-0.025430,0.003920,0.023784
1761418936634036112!,great-proficient-bumblebee,0.070000,-1.856692,0.560391,0.000000,0.560391,5.775506,0.376920,0.000000,0.376920,-0.025387,-0.021798,0.002407,0.019760
1761418936634036112!,great-proficient-bumblebee,0.080000,-1.796675,0.564308,0.000000,0.564308,6.187923,0.403835,0.000000,0.403835,-0.020798,-0.018565,0.001060,0.016178
1761418936634036112!,great-proficient-bumblebee,0.090000,-1.732871,0.568472,0.000000,0.568472,6.528667,0.426072,0.000000,0.426072,-0.016719,-0.015691,-0.000137,0.012994
1761418936634036112!,great-proficient-bumblebee,0.100000,-1.665964,0.572838,0.000000,0.572838,6.805698,0.444152,0.000000,0.444152,-0.013098,-0.013140,-0.001200,0.010167
1761418936634036112!,great-proficient-bumblebee,0.110000,-1.596568,0.577367,0.000000,0.577367,7.026176,0.458540,0.000000,0.458540,-0.009889,-0.010879,-0.002142,0.007663
1761418936634036112!,great-proficient-bumblebee,0.120000,-1.525228,0.582023,0.000000,0.582023,7.196539,0.469659,0.000000,0.469659,-0.007051,-0.008880,-0.002975,0.005447
1761418936634036112!,great-proficient-bumblebee,0.130000,-1.452440,0.586773,0.000000,0.586773,7.322576,0.477884,0.000000,0.477884,-0.004546,-0.007115,-0.003710,0.003492
1761418936634036112!,great-proficient-bumblebee,0.140000,-1.378630,0.591590,0.000000,0.591590,7.409492,0.483556,0.000000,0.483556,-0.002341,-0.005561,-0.004357,0.001771
1761418936634036112!,great-proficient-bumblebee,0.150000,-1.304172,0.596449,0.000000,0.596449,7.461961,0.486981,0.000000,0.486981,-0.000404,-0.004197,-0.004926,0.000259
1761418936634036112!,great-proficient-bumblebee,0.160000,-1.229394,0.601329,0.000000,0.601329,7.484181,0.488431,0.000000,0.488431,0.001292,-0.003002,-0.005423,-0.001065
1761418936634036112!,great-proficient-bumblebee,0.170000,-1.154583,0.606212,0.000000,0.606212,7.479916,0.488152,0.000000,0.488152,0.002772,-0.001959,-0.005858,-0.002220
1761418936634036112!,great-proficient-bumblebee,0.180000,-1.079989,0.611080,0.000000,0.611080,7.452538,0.486366,0.000000,0.486366,0.004058,-0.001053,-0.006235,-0.003224
1761418936634036112!,great-proficient-bumblebee,0.190000,-1.005820,0.615920,0.000000,0.615920,7.405069,0.483268,0.000000,0.483268,0.005171,-0.000269,-0.006562,-0.004093
1761418936634036112!,great-proficient-bumblebee,0.200000,-0.932257,0.620721,0.000000,0.620721,7.340211,0.479035,0.000000,0.479035,0.006130,0.000407,-0.006843,-0.004842
1761418936634036112!,great-proficient-bumblebee,0.210000,-0.859455,0.625472,0.000000,0.625472,7.260377,0.473825,0.000000,0.473825,0.006951,0.000985,-0.007084,-0.005482
1761418936634036112!,great-proficient-bumblebee,0.220000,-0.787550,0.630165,0.000000,0.630165,7.167721,0.467778,0.000000,0.467778,0.007649,0.001477,-0.007289,-0.006027
1761418936634036112!,great-proficient-bumblebee,0.230000,-0.716655,0.634792,0.000000,0.634792,7.064166,0.461020,0.000000,0.461020,0.008237,0.001891,-0.007462,-0.006486
1761418936634036112!,great-proficient-bumblebee,0.240000,-0.646867,0.639346,0.000000,0.639346,6.951422,0.453662,0.000000,0.453662,0.008728,0.002237,-0.007606,-0.006869
1761418936634036112!,great-proficient-bumblebee,0.250000,-0.578267,0.643823,0.000000,0.643823,6.831014,0.445804,0.000000,0.445804,0.009132,0.002522,-0.007724,-0.007185
1761418936634036112!,great-proficient-bumblebee,0.260000,-0.510920,0.648218,0.000000,0.648218,6.704298,0.437534,0.000000,0.437534,0.009459,0.002752,-0.007820,-0.007440
1761418936634036112!,great-proficient-bumblebee,0.270000,-0.444881,0.652528,0.000000,0.652528,6.572474,0.428931,0.000000,0.428931,0.009717,0.002934,-0.007896,-0.007642
1761418936634036112!,great-proficient-bumblebee,0.280000,-0.380193,0.656750,0.000000,0.656750,6.436610,0.420064,0.000000,0.420064,0.009916,0.003074,-0.007954,-0.007797
1761418936634036112!,great-proficient-bumblebee,0.290000,-0.316889,0.660881,0.000000,0.660881,6.297649,0.410996,0.000000,0.410996,0.010061,0.003176,-0.007997,-0.007910
