ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
1017553659254666688!,great-vivacious-beetle,0.000000,-2.093386,0.544944,-0.784865,1.278275,0.000000,0.000000,0.000000,0.000000,-0.508819,-0.191233
1017553659254666688!,great-vivacious-beetle,0.010000,-2.088230,0.548498,-0.779541,1.281529,1.028636,0.710933,1.064241,0.647367,-0.309178,-0.084223
1017553659254666688!,great-vivacious-beetle,0.020000,-2.073378,0.556229,-0.765189,1.290150,1.940354,0.832954,1.806545,1.071463,-0.249046,-0.056277
1017553659254666688!,great-vivacious-beetle,0.030000,-2.049822,0.564486,-0.743945,1.302515,2.768149,0.815052,2.440877,1.394132,-0.221536,-0.046259
1017553659254666688!,great-vivacious-beetle,0.040000,-2.018303,0.572362,-0.716613,1.317750,3.527529,0.756863,3.020371,1.642525,-0.202878,-0.040838
1017553659254666688!,great-vivacious-beetle,0.050000,-1.979460,0.579573,-0.683655,1.335146,4.226186,0.682362,3.560893,1.823338,-0.187428,-0.037055
1017553659254666688!,great-vivacious-beetle,0.060000,-1.933879,0.585998,-0.645426,1.354040,4.867085,0.599017,4.068216,1.939184,-0.173551,-0.034179
1017553659254666688!,great-vivacious-beetle,0.070000,-1.882137,0.591570,-0.602242,1.373792,5.450027,0.510445,4.544442,1.992191,-0.160607,-0.031978
1017553659254666688!,great-vivacious-beetle,0.080000,-1.824826,0.596259,-0.554410,1.393782,5.972842,0.419089,4.989908,1.984855,-0.148298,-0.030344
1017553659254666688!,great-vivacious-beetle,0.090000,-1.762579,0.600055,-0.502245,1.413418,6.432422,0.326796,5.404057,1.920282,-0.136508,-0.029214
1017553659254666688!,great-vivacious-beetle,0.100000,-1.696054,0.602967,-0.446065,1.432140,6.825568,0.235037,5.786026,1.802160,-0.125231,-0.028532
1017553659254666688!,great-vivacious-beetle,0.110000,-1.625946,0.605021,-0.386199,1.449431,7.149757,0.144875,6.135035,1.634671,-0.114542,-0.028245
1017553659254666688!,great-vivacious-beetle,0.120000,-1.552967,0.606252,-0.322979,1.464815,7.403695,0.057001,6.450669,1.422318,-0.104563,-0.028303
1017553659254666688!,great-vivacious-beetle,0.130000,-1.477839,0.606702,-0.256743,1.477864,7.587662,-0.028236,6.733023,1.169700,-0.095436,-0.028654
1017553659254666688!,great-vivacious-beetle,0.140000,-1.401271,0.606412,-0.187822,1.488194,7.703620,-0.110770,6.982725,0.881276,-0.087292,-0.029247
1017553659254666688!,great-vivacious-beetle,0.150000,-1.323943,0.605412,-0.116548,1.495465,7.755107,-0.190745,7.200806,0.561188,-0.080238,-0.030036
1017553659254666688!,great-vivacious-beetle,0.160000,-1.246483,0.603717,-0.043240,1.499377,7.746966,-0.268372,7.388590,0.213076,-0.074329,-0.030975
1017553659254666688!,great-vivacious-beetle,0.170000,-1.169455,0.601348,0.031807,1.499663,7.685014,-0.343874,7.547572,-0.160081,-0.069566,-0.032020
1017553659254666688!,great-vivacious-beetle,0.180000,-1.093357,0.598312,0.108310,1.496085,7.575634,-0.417422,7.679118,-0.555935,-0.065903,-0.033134
1017553659254666688!,great-vivacious-beetle,0.190000,-1.018604,0.594571,0.185981,1.488426,7.425295,-0.488985,7.784193,-0.972646,-0.063255,-0.034287
1017553659254666688!,great-vivacious-beetle,0.200000,-0.945552,0.590127,0.264560,1.476485,7.240436,-0.558389,7.863469,-1.408993,-0.061496,-0.035452
1017553659254666688!,great-vivacious-beetle,0.210000,-0.874500,0.584990,0.343791,1.460071,7.027147,-0.625261,7.917030,-1.864159,-0.060481,-0.036606
1017553659254666688!,great-vivacious-beetle,0.220000,-0.805690,0.579175,0.423416,1.438999,6.791017,-0.688974,7.944284,-2.337552,-0.060051,-0.037729
1017553659254666688!,great-vivacious-beetle,0.230000,-0.739317,0.572710,0.503164,1.413091,6.537081,-0.748621,7.943941,-2.828626,-0.060048,-0.038804
1017553659254666688!,great-vivacious-beetle,0.240000,-0.675529,0.565634,0.582749,1.382173,6.269831,-0.803006,7.914031,-3.336697,-0.060322,-0.039814
1017553659254666688!,great-vivacious-beetle,0.250000,-0.614434,0.558001,0.661860,1.346084,5.993307,-0.850656,7.851982,-3.860764,-0.060732,-0.040746
1017553659254666688!,great-vivacious-beetle,0.260000,-0.556104,0.549882,0.740157,1.304671,5.711219,-0.889868,7.754731,-4.399360,-0.061155,-0.041584
1017553659254666688!,great-vivacious-beetle,0.270000,-0.500578,0.541368,0.817269,1.257804,5.427099,-0.918778,7.618867,-4.950421,-0.061487,-0.042315
1017553659254666688!,great-vivacious-beetle,0.280000,-0.447858,0.532569,0.892788,1.205375,5.144455,-0.935460,7.440796,-5.511192,-0.061643,-0.042922
1017553659254666688!,great-vivacious-beetle,0.290000,-0.397914,0.523615,0.966274,1.147308,4.866918,-0.938052,7.216926,-6.078163,-0.061557,-0.043393
1017553659254666688!,great-vivacious-beetle,0.300000,-0.350677,0.514655,1.037249,1.083565,4.598354,-0.924916,6.943854,-6.647043,-0.061181,-0.043711
1017553659254666688!,great-vivacious-beetle,0.310000,-0.306042,0.505853,1.105208,1.014157,4.342951,-0.894814,6.618549,-7.212762,-0.060480,-0.043859
1017553659254666688!,great-vivacious-beetle,0.320000,-0.263857,0.497386,1.169617,0.939146,4.105237,-0.847112,6.238541,-7.769511,-0.059431,-0.043818
1017553659254666688!,great-vivacious-beetle,0.330000,-0.223925,0.489433,1.229923,0.858655,3.890050,-0.781987,5.802087,-8.310808,-0.058020,-0.043566
1017553659254666688!,great-vivacious-beetle,0.340000,-0.186000,0.482166,1.285560,0.772875,3.702436,-0.700640,5.308324,-8.829583,-0.056232,-0.043073
1017553659254666688!,great-vivacious-beetle,0.350000,-0.149784,0.475742,1.335958,0.682068,3.547461,-0.605484,4.757416,-9.318289,-0.054050,-0.042304
1017553659254666688!,great-vivacious-beetle,0.360000,-0.114930,0.470286,1.380555,0.586572,3.429956,-0.500301,4.150674,-9.769019,-0.051445,-0.041214
1017553659254666688!,great-vivacious-beetle,0.370000,-0.081045,0.465880,1.418809,0.486806,3.354171,-0.390336,3.490666,-10.173642,-0.048375,-0.039749
1017553659254666688!,great-vivacious-beetle,0.380000,-0.047695,0.462546,1.450209,0.383269,3.323371,-0.282292,2.781325,-10.523945,-0.044774,-0.037841
1017553659254666688!,great-vivacious-beetle,0.390000,-0.014423,0.460233,1.474288,0.276543,3.339367,-0.184214,2.028046,-10.811793,-0.040548,-0.035413
