ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3,U4
1281992861543403125!,great-wine-beetle,0.000000,1.836696,-1.102989,0.377780,-1.451648,0.000000,0.000000,0.000000,0.000000,-0.209731,-0.156887,0.049787,0.163579
1281992861543403125!,great-wine-beetle,0.010000,1.832644,-1.096779,0.375378,-1.452271,-0.809539,1.237942,-0.477445,-0.123408,-0.132216,-0.051685,0.092267,0.103806
1281992861543403125!,great-wine-beetle,0.020000,1.819909,-1.081714,0.366951,-1.454423,-1.739222,1.773696,-1.206175,-0.304318,-0.112176,-0.031559,0.094131,0.088250
1281992861543403125!,great-wine-beetle,0.030000,1.798034,-1.062126,0.351294,-1.458284,-2.636043,2.143576,-1.922270,-0.463066,-0.104559,-0.028948,0.088343,0.082264
1281992861543403125!,great-wine-beetle,0.040000,1.767450,-1.039082,0.328755,-1.463530,-3.475543,2.463063,-2.578033,-0.579107,-0.099239,-0.029139,0.081702,0.078054
1281992861543403125!,great-wine-beetle,0.050000,1.728726,-1.012974,0.299951,-1.469704,-4.256705,2.754089,-3.169535,-0.646869,-0.093893,-0.029137,0.075280,0.073827
1281992861543403125!,great-wine-beetle,0.060000,1.682442,-0.984075,0.265508,-1.476315,-4.979275,3.018717,-3.699445,-0.665328,-0.087891,-0.028358,0.069071,0.069092
1281992861543403125!,great-wine-beetle,0.070000,1.629195,-0.952664,0.226028,-1.482873,-5.640324,3.254813,-4.170250,-0.635653,-0.081035,-0.026719,0.062943,0.063694
1281992861543403125!,great-wine-beetle,0.080000,1.569631,-0.919047,0.182093,-1.488906,-6.234756,3.459687,-4.583639,-0.560579,-0.073304,-0.024265,0.056817,0.057617
1281992861543403125!,great-wine-beetle,0.090000,1.504452,-0.883558,0.134274,-1.493978,-6.756551,3.631227,-4.940984,-0.444081,-0.064807,-0.021091,0.050695,0.050943
1281992861543403125!,great-wine-beetle,0.100000,1.434429,-0.846552,0.083129,-1.497695,-7.200028,3.768422,-5.243910,-0.291060,-0.055747,-0.017334,0.044651,0.043833
1281992861543403125!,great-wine-beetle,0.110000,1.360386,-0.808389,0.029196,-1.499716,-7.560914,3.871645,-5.494700,-0.106970,-0.046404,-0.013156,0.038810,0.036505
1281992861543403125!,great-wine-beetle,0.120000,1.283185,-0.769421,-0.027009,-1.499757,-7.837098,3.942726,-5.696506,0.102588,-0.037095,-0.008734,0.033321,0.029207
1281992861543403125!,great-wine-beetle,0.130000,1.203702,-0.729968,-0.085002,-1.497590,-8.029042,3.984841,-5.853353,0.332233,-0.028133,-0.004246,0.028338,0.022186
1281992861543403125!,great-wine-beetle,0.140000,1.122785,-0.690308,-0.144347,-1.493038,-8.139738,4.002213,-5.969971,0.577177,-0.019801,0.000148,0.023990,0.015661
1281992861543403125!,great-wine-beetle,0.150000,1.041235,-0.650670,-0.204667,-1.485971,-8.174386,3.999838,-6.051548,0.833498,-0.012317,0.004317,0.020369,0.009803
1281992861543403125!,great-wine-beetle,0.160000,0.959784,-0.611231,-0.265643,-1.476291,-8.139890,3.983116,-6.103385,1.098240,-0.005821,0.008164,0.017522,0.004721
1281992861543403125!,great-wine-beetle,0.170000,0.879090,-0.572110,-0.327008,-1.463921,-8.044205,3.957483,-6.130549,1.369430,-0.000372,0.011633,0.015446,0.000463
1281992861543403125!,great-wine-beetle,0.180000,0.799702,-0.533332,-0.388534,-1.448807,-7.895652,3.927887,-6.137523,1.645932,0.004038,0.014694,0.014093,-0.002980
1281992861543403125!,great-wine-beetle,0.190000,0.722077,-0.494872,-0.450040,-1.430896,-7.702330,3.898762,-6.128014,1.927357,0.007475,0.017345,0.013381,-0.005659
1281992861543403125!,great-wine-beetle,0.200000,0.646609,-0.456692,-0.511381,-1.410138,-7.471700,3.874043,-6.104778,2.213873,0.010042,0.019603,0.013205,-0.007657
1281992861543403125!,great-wine-beetle,0.210000,0.573625,-0.418724,-0.572435,-1.386477,-7.210287,3.856887,-6.069506,2.505919,0.011866,0.021488,0.013445,-0.009072
1281992861543403125!,great-wine-beetle,0.220000,0.503394,-0.380869,-0.633088,-1.359853,-6.923544,3.849614,-6.022789,2.803948,0.013075,0.023023,0.013971,-0.010006
1281992861543403125!,great-wine-beetle,0.230000,0.436138,-0.343014,-0.693224,-1.330203,-6.615843,3.853696,-5.964174,3.108175,0.013791,0.024220,0.014654,-0.010555
1281992861543403125!,great-wine-beetle,0.240000,0.372046,-0.305038,-0.752714,-1.297467,-6.290571,3.869763,-5.892260,3.418341,0.014123,0.025084,0.015368,-0.010805
