ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
763692069988742693!,lush-bipedal-bumblebee,0.000000,-2.027670,0.171187,0.000000,0.171187,0.000000,0.000000,0.000000,0.000000,0.018824,0.097740
763692069988742693!,lush-bipedal-bumblebee,0.010000,-2.022613,0.173109,0.000000,0.173109,1.011480,0.384416,0.000000,0.384416,0.017834,0.082593
763692069988742693!,lush-bipedal-bumblebee,0.020000,-2.008086,0.178630,0.000000,0.178630,1.892126,0.719109,0.000000,0.719109,0.016948,0.069035
763692069988742693!,lush-bipedal-bumblebee,0.030000,-1.985319,0.187282,0.000000,0.187282,2.655661,1.009293,0.000000,1.009293,0.016155,0.056907
763692069988742693!,lush-bipedal-bumblebee,0.040000,-1.955416,0.198647,0.000000,0.198647,3.314441,1.259664,0.000000,1.259664,0.015447,0.046068
763692069988742693!,lush-bipedal-bumblebee,0.050000,-1.919364,0.212349,0.000000,0.212349,3.879594,1.474453,0.000000,1.474453,0.014814,0.036388
763692069988742693!,lush-bipedal-bumblebee,0.060000,-1.878048,0.228051,0.000000,0.228051,4.361138,1.657465,0.000000,1.657465,0.014249,0.027753
763692069988742693!,lush-bipedal-bumblebee,0.070000,-1.832263,0.245452,0.000000,0.245452,4.768092,1.812129,0.000000,1.812129,0.013746,0.020057
763692069988742693!,lush-bipedal-bumblebee,0.080000,-1.782715,0.264283,0.000000,0.264283,5.108571,1.941529,0.000000,1.941529,0.013298,0.013207
763692069988742693!,lush-bipedal-bumblebee,0.090000,-1.730040,0.284302,0.000000,0.284302,5.389879,2.048442,0.000000,2.048442,0.012900,0.007117
763692069988742693!,lush-bipedal-bumblebee,0.100000,-1.674804,0.305295,0.000000,0.305295,5.618589,2.135363,0.000000,2.135363,0.012547,0.001712
763692069988742693!,lush-bipedal-bumblebee,0.110000,-1.617512,0.327069,0.000000,0.327069,5.800609,2.204541,0.000000,2.204541,0.012234,-0.003078
763692069988742693!,lush-bipedal-bumblebee,0.120000,-1.558616,0.349452,0.000000,0.349452,5.941256,2.257994,0.000000,2.257994,0.011957,-0.007314
763692069988742693!,lush-bipedal-bumblebee,0.130000,-1.498521,0.372292,0.000000,0.372292,6.045308,2.297539,0.000000,2.297539,0.011713,-0.011054
763692069988742693!,lush-bipedal-bumblebee,0.140000,-1.437581,0.395452,0.000000,0.395452,6.117062,2.324810,0.000000,2.324810,0.011497,-0.014346
763692069988742693!,lush-bipedal-bumblebee,0.150000,-1.376108,0.418815,0.000000,0.418815,6.160377,2.341272,0.000000,2.341272,0.011308,-0.017237
763692069988742693!,lush-bipedal-bumblebee,0.160000,-1.314371,0.442278,0.000000,0.442278,6.178719,2.348243,0.000000,2.348243,0.011143,-0.019769
763692069988742693!,lush-bipedal-bumblebee,0.170000,-1.252611,0.465751,0.000000,0.465751,6.175194,2.346903,0.000000,2.346903,0.010998,-0.021978
763692069988742693!,lush-bipedal-bumblebee,0.180000,-1.191028,0.489155,0.000000,0.489155,6.152589,2.338312,0.000000,2.338312,0.010873,-0.023898
763692069988742693!,lush-bipedal-bumblebee,0.190000,-1.129797,0.512427,0.000000,0.512427,6.113398,2.323417,0.000000,2.323417,0.010764,-0.025560
763692069988742693!,lush-bipedal-bumblebee,0.200000,-1.069066,0.535508,0.000000,0.535508,6.059851,2.303067,0.000000,2.303067,0.010671,-0.026991
763692069988742693!,lush-bipedal-bumblebee,0.210000,-1.008966,0.558349,0.000000,0.558349,5.993942,2.278017,0.000000,2.278017,0.010591,-0.028216
763692069988742693!,lush-bipedal-bumblebee,0.220000,-0.949607,0.580909,0.000000,0.580909,5.917448,2.248946,0.000000,2.248946,0.010523,-0.029258
763692069988742693!,lush-bipedal-bumblebee,0.230000,-0.891084,0.603150,0.000000,0.603150,5.831956,2.216454,0.000000,2.216454,0.010465,-0.030136
763692069988742693!,lush-bipedal-bumblebee,0.240000,-0.833477,0.625044,0.000000,0.625044,5.738881,2.181081,0.000000,2.181081,0.010417,-0.030868
