ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3
449120226845350292!,lush-impartial-bumblebee,0.000000,-1.898833,-0.618917,0.000000,-0.618917,0.000000,0.000000,0.000000,0.000000,0.009585,-0.050536,-0.018806
449120226845350292!,lush-impartial-bumblebee,0.010000,-1.893605,-0.618661,0.000000,-0.618661,1.045606,0.051287,0.000000,0.051287,0.007897,-0.045215,-0.014817
449120226845350292!,lush-impartial-bumblebee,0.020000,-1.878588,-0.617924,0.000000,-0.617924,1.955965,0.095940,0.000000,0.095940,0.006386,-0.040452,-0.011246
449120226845350292!,lush-impartial-bumblebee,0.030000,-1.855053,-0.616770,0.000000,-0.616770,2.745260,0.134654,0.000000,0.134654,0.005034,-0.036191,-0.008051
449120226845350292!,lush-impartial-bumblebee,0.040000,-1.824140,-0.615253,0.000000,-0.615253,3.426267,0.168058,0.000000,0.168058,0.003826,-0.032383,-0.005196
449120226845350292!,lush-impartial-bumblebee,0.050000,-1.786872,-0.613425,0.000000,-0.613425,4.010487,0.196714,0.000000,0.196714,0.002747,-0.028982,-0.002647
449120226845350292!,lush-impartial-bumblebee,0.060000,-1.744163,-0.611330,0.000000,-0.611330,4.508278,0.221130,0.000000,0.221130,0.001784,-0.025948,-0.000372
449120226845350292!,lush-impartial-bumblebee,0.070000,-1.696832,-0.609009,0.000000,-0.609009,4.928962,0.241765,0.000000,0.241765,0.000926,-0.023244,0.001655
449120226845350292!,lush-impartial-bumblebee,0.080000,-1.645613,-0.606497,0.000000,-0.606497,5.280928,0.259028,0.000000,0.259028,0.000163,-0.020837,0.003459
449120226845350292!,lush-impartial-bumblebee,0.090000,-1.591161,-0.603826,0.000000,-0.603826,5.571728,0.273292,0.000000,0.273292,-0.000516,-0.018698,0.005063
449120226845350292!,lush-impartial-bumblebee,0.100000,-1.534061,-0.601025,0.000000,-0.601025,5.808153,0.284889,0.000000,0.284889,-0.001119,-0.016799,0.006487
449120226845350292!,lush-impartial-bumblebee,0.110000,-1.474836,-0.598120,0.000000,-0.598120,5.996315,0.294118,0.000000,0.294118,-0.001653,-0.015116,0.007748
449120226845350292!,lush-impartial-bumblebee,0.120000,-1.413953,-0.595134,0.000000,-0.595134,6.141707,0.301249,0.000000,0.301249,-0.002125,-0.013628,0.008864
449120226845350292!,lush-impartial-bumblebee,0.130000,-1.351833,-0.592087,0.000000,-0.592087,6.249270,0.306525,0.000000,0.306525,-0.002542,-0.012314,0.009849
449120226845350292!,lush-impartial-bumblebee,0.140000,-1.288840,-0.588997,0.000000,-0.588997,6.323445,0.310164,0.000000,0.310164,-0.002909,-0.011157,0.010716
449120226845350292!,lush-impartial-bumblebee,0.150000,-1.225294,-0.585880,0.000000,-0.585880,6.368223,0.312360,0.000000,0.312360,-0.003231,-0.010142,0.011478
449120226845350292!,lush-impartial-bumblebee,0.160000,-1.161476,-0.582750,0.000000,-0.582750,6.387185,0.313290,0.000000,0.313290,-0.003513,-0.009252,0.012144
449120226845350292!,lush-impartial-bumblebee,0.170000,-1.097631,-0.579618,0.000000,-0.579618,6.383544,0.313111,0.000000,0.313111,-0.003759,-0.008476,0.012726
449120226845350292!,lush-impartial-bumblebee,0.180000,-1.033971,-0.576496,0.000000,-0.576496,6.360178,0.311965,0.000000,0.311965,-0.003974,-0.007802,0.013232
449120226845350292!,lush-impartial-bumblebee,0.190000,-0.970673,-0.573391,0.000000,-0.573391,6.319666,0.309978,0.000000,0.309978,-0.004159,-0.007218,0.013670
