ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
12737652864179620!,lush-piquant-bumblebee,0.000000,1.881074,-0.811018,0.000000,-0.811018,0.000000,0.000000,0.000000,0.000000,-0.041840,-0.022704
12737652864179620!,lush-piquant-bumblebee,0.010000,1.876566,-0.812679,0.000000,-0.812679,-0.901726,-0.332157,0.000000,-0.332157,-0.036428,-0.018536
12737652864179620!,lush-piquant-bumblebee,0.020000,1.863615,-0.817450,0.000000,-0.817450,-1.686816,-0.621350,0.000000,-0.621350,-0.031584,-0.014806
12737652864179620!,lush-piquant-bumblebee,0.030000,1.843319,-0.824926,0.000000,-0.824926,-2.367501,-0.872085,0.000000,-0.872085,-0.027251,-0.011469
12737652864179620!,lush-piquant-bumblebee,0.040000,1.816660,-0.834746,0.000000,-0.834746,-2.954798,-1.088420,0.000000,-1.088420,-0.023378,-0.008486
12737652864179620!,lush-piquant-bumblebee,0.050000,1.784520,-0.846585,0.000000,-0.846585,-3.458628,-1.274009,0.000000,-1.274009,-0.019919,-0.005823
12737652864179620!,lush-piquant-bumblebee,0.060000,1.747687,-0.860152,0.000000,-0.860152,-3.887920,-1.432141,0.000000,-1.432141,-0.016834,-0.003447
12737652864179620!,lush-piquant-bumblebee,0.070000,1.706870,-0.875188,0.000000,-0.875188,-4.250716,-1.565780,0.000000,-1.565780,-0.014084,-0.001330
12737652864179620!,lush-piquant-bumblebee,0.080000,1.662702,-0.891457,0.000000,-0.891457,-4.554250,-1.677589,0.000000,-1.677589,-0.011636,0.000555
12737652864179620!,lush-piquant-bumblebee,0.090000,1.615779,-0.908741,0.000000,-0.908741,-4.805036,-1.769967,0.000000,-1.769967,-0.009461,0.002230
12737652864179620!,lush-piquant-bumblebee,0.100000,1.566608,-0.926854,0.000000,-0.926854,-5.008941,-1.845077,0.000000,-1.845077,-0.007531,0.003717
12737652864179620!,lush-piquant-bumblebee,0.110000,1.515633,-0.945631,0.000000,-0.945631,-5.171244,-1.904862,0.000000,-1.904862,-0.005821,0.005033
12737652864179620!,lush-piquant-bumblebee,0.120000,1.463245,-0.964929,0.000000,-0.964929,-5.296691,-1.951071,0.000000,-1.951071,-0.004308,0.006198
