ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3,U4
197636435506116346!,lush-proficient-bumblebee,0.000000,1.418440,-2.501371,0.000000,-2.501371,0.000000,0.000000,0.000000,0.000000,0.080368,0.008153,-0.086081,-0.063436
197636435506116346!,lush-proficient-bumblebee,0.010000,1.413150,-2.496130,0.000000,-2.496130,-1.058129,1.048248,0.000000,1.048248,0.070104,0.006685,-0.075637,-0.055341
197636435506116346!,lush-proficient-bumblebee,0.020000,1.397953,-2.481075,0.000000,-2.481075,-1.979390,1.960906,0.000000,1.960906,0.060917,0.005371,-0.066289,-0.048095
197636435506116346!,lush-proficient-bumblebee,0.030000,1.374136,-2.457481,0.000000,-2.457481,-2.778139,2.752195,0.000000,2.752195,0.052699,0.004196,-0.057928,-0.041613
197636435506116346!,lush-proficient-bumblebee,0.040000,1.342853,-2.426490,0.000000,-2.426490,-3.467301,3.434922,0.000000,3.434922,0.045354,0.003146,-0.050454,-0.035820
197636435506116346!,lush-proficient-bumblebee,0.050000,1.305139,-2.389127,0.000000,-2.389127,-4.058519,4.020619,0.000000,4.020619,0.038795,0.002208,-0.043780,-0.030647
197636435506116346!,lush-proficient-bumblebee,0.060000,1.261977,-2.346369,0.000000,-2.346369,-4.562272,4.519667,0.000000,4.519667,0.032945,0.001371,-0.037828,-0.026033
197636435506116346!,lush-proficient-bumblebee,0.070000,1.214198,-2.299036,0.000000,-2.299036,-4.988012,4.941432,0.000000,4.941432,0.027733,0.000626,-0.032525,-0.021922
197636435506116346!,lush-proficient-bumblebee,0.080000,1.162529,-2.247850,0.000000,-2.247850,-5.344248,5.294341,0.000000,5.294341,0.023094,-0.000037,-0.027805,-0.018263
197636435506116346!,lush-proficient-bumblebee,0.090000,1.107614,-2.193447,0.000000,-2.193447,-5.638629,5.585973,0.000000,5.585973,0.018972,-0.000627,-0.023610,-0.015012
197636435506116346!,lush-proficient-bumblebee,0.100000,1.050030,-2.136401,0.000000,-2.136401,-5.878032,5.823140,0.000000,5.823140,0.015312,-0.001150,-0.019887,-0.012125
197636435506116346!,lush-proficient-bumblebee,0.110000,0.990292,-2.077221,0.000000,-2.077221,-6.068637,6.011966,0.000000,6.011966,0.012069,-0.001614,-0.016587,-0.009568
197636435506116346!,lush-proficient-bumblebee,0.120000,0.928860,-2.016363,0.000000,-2.016363,-6.215999,6.157951,0.000000,6.157951,0.009201,-0.002024,-0.013668,-0.007305
197636435506116346!,lush-proficient-bumblebee,0.130000,0.866143,-1.954231,0.000000,-1.954231,-6.325106,6.266039,0.000000,6.266039,0.006668,-0.002387,-0.011091,-0.005307
197636435506116346!,lush-proficient-bumblebee,0.140000,0.802502,-1.891185,0.000000,-1.891185,-6.400439,6.340669,0.000000,6.340669,0.004437,-0.002706,-0.008821,-0.003548
197636435506116346!,lush-proficient-bumblebee,0.150000,0.738259,-1.827541,0.000000,-1.827541,-6.446023,6.385827,0.000000,6.385827,0.002477,-0.002986,-0.006827,-0.002002
197636435506116346!,lush-proficient-bumblebee,0.160000,0.673695,-1.763580,0.000000,-1.763580,-6.465467,6.405089,0.000000,6.405089,0.000759,-0.003232,-0.005079,-0.000647
197636435506116346!,lush-proficient-bumblebee,0.170000,0.609059,-1.699548,0.000000,-1.699548,-6.462009,6.401664,0.000000,6.401664,-0.000740,-0.003446,-0.003553,0.000535
197636435506116346!,lush-proficient-bumblebee,0.180000,0.544569,-1.635660,0.000000,-1.635660,-6.438554,6.378428,0.000000,6.378428,-0.002045,-0.003633,-0.002226,0.001564
197636435506116346!,lush-proficient-bumblebee,0.190000,0.480416,-1.572107,0.000000,-1.572107,-6.397702,6.337958,0.000000,6.337958,-0.003175,-0.003794,-0.001076,0.002456
197636435506116346!,lush-proficient-bumblebee,0.200000,0.416766,-1.509051,0.000000,-1.509051,-6.341783,6.282561,0.000000,6.282561,-0.004148,-0.003933,-0.000086,0.003224
197636435506116346!,lush-proficient-bumblebee,0.210000,0.353762,-1.446635,0.000000,-1.446635,-6.272880,6.214301,0.000000,6.214301,-0.004982,-0.004053,0.000763,0.003881
197636435506116346!,lush-proficient-bumblebee,0.220000,0.291528,-1.384982,0.000000,-1.384982,-6.192858,6.135026,0.000000,6.135026,-0.005691,-0.004154,0.001484,0.004441
197636435506116346!,lush-proficient-bumblebee,0.230000,0.230171,-1.324198,0.000000,-1.324198,-6.103379,6.046383,0.000000,6.046383,-0.006289,-0.004240,0.002092,0.004912
197636435506116346!,lush-proficient-bumblebee,0.240000,0.169781,-1.264372,0.000000,-1.264372,-6.005930,5.949844,0.000000,5.949844,-0.006788,-0.004311,0.002600,0.005305
197636435506116346!,lush-proficient-bumblebee,0.250000,0.110434,-1.205579,0.000000,-1.205579,-5.901835,5.846721,0.000000,5.846721,-0.007198,-0.004369,0.003017,0.005628
197636435506116346!,lush-proficient-bumblebee,0.260000,0.052193,-1.147882,0.000000,-1.147882,-5.792273,5.738182,0.000000,5.738182,-0.007529,-0.004417,0.003354,0.005890
197636435506116346!,lush-proficient-bumblebee,0.270000,-0.004889,-1.091334,0.000000,-1.091334,-5.678292,5.625265,0.000000,5.625265,-0.007790,-0.004454,0.003620,0.006096
197636435506116346!,lush-proficient-bumblebee,0.280000,-0.060790,-1.035954,0.000000,-1.035954,-5.560823,5.508893,0.000000,5.508893,-0.007991,-0.004483,0.003824,0.006254
197636435506116346!,lush-proficient-bumblebee,0.290000,-0.115495,-0.981761,0.000000,-0.981761,-5.440685,5.389878,0.000000,5.389878,-0.008137,-0.004504,0.003972,0.006369
197636435506116346!,lush-proficient-bumblebee,0.300000,-0.168978,-0.928776,0.000000,-0.928776,-5.318598,5.268931,0.000000,5.268931,-0.008235,-0.004518,0.004073,0.006447
197636435506116346!,lush-proficient-bumblebee,0.310000,-0.221224,-0.877019,0.000000,-0.877019,-5.195197,5.146682,0.000000,5.146682,-0.008292,-0.004526,0.004130,0.006492
197636435506116346!,lush-proficient-bumblebee,0.320000,-0.272220,-0.826499,0.000000,-0.826499,-5.071041,5.023685,0.000000,5.023685,-0.008312,-0.004529,0.004150,0.006507
197636435506116346!,lush-proficient-bumblebee,0.330000,-0.321960,-0.777223,0.000000,-0.777223,-4.946621,4.900427,0.000000,4.900427,-0.008299,-0.004527,0.004138,0.006497
197636435506116346!,lush-proficient-bumblebee,0.340000,-0.370442,-0.729194,0.000000,-0.729194,-4.822369,4.777336,0.000000,4.777336,-0.008258,-0.004521,0.004096,0.006465
197636435506116346!,lush-proficient-bumblebee,0.350000,-0.417667,-0.682410,0.000000,-0.682410,-4.698662,4.654783,0.000000,4.654783,-0.008193,-0.004512,0.004030,0.006413
197636435506116346!,lush-proficient-bumblebee,0.360000,-0.463642,-0.636864,0.000000,-0.636864,-4.575826,4.533095,0.000000,4.533095,-0.008106,-0.004499,0.003941,0.006345
197636435506116346!,lush-proficient-bumblebee,0.370000,-0.508375,-0.592549,0.000000,-0.592549,-4.454146,4.412551,0.000000,4.412551,-0.008001,-0.004484,0.003834,0.006262
197636435506116346!,lush-proficient-bumblebee,0.380000,-0.551877,-0.549454,0.000000,-0.549454,-4.333867,4.293395,0.000000,4.293395,-0.007880,-0.004467,0.003712,0.006167
197636435506116346!,lush-proficient-bumblebee,0.390000,-0.594186,-0.507540,0.000000,-0.507540,-4.215199,4.175836,0.000000,4.175836,-0.007747,-0.004448,0.003576,0.006061
197636435506116346!,lush-proficient-bumblebee,0.400000,-0.635320,-0.466790,0.000000,-0.466790,-4.098314,4.060042,0.000000,4.060042,-0.007602,-0.004427,0.003429,0.005948
197636435506116346!,lush-proficient-bumblebee,0.410000,-0.675300,-0.427183,0.000000,-0.427183,-3.983355,3.946157,0.000000,3.946157,-0.007449,-0.004405,0.003272,0.005827
197636435506116346!,lush-proficient-bumblebee,0.420000,-0.714144,-0.388701,0.000000,-0.388701,-3.870442,3.834298,0.000000,3.834298,-0.007288,-0.004382,0.003109,0.005700
197636435506116346!,lush-proficient-bumblebee,0.430000,-0.751876,-0.351322,0.000000,-0.351322,-3.759671,3.724562,0.000000,3.724562,-0.007122,-0.004359,0.002940,0.005568
197636435506116346!,lush-proficient-bumblebee,0.440000,-0.788518,-0.315023,0.000000,-0.315023,-3.651122,3.617026,0.000000,3.617026,-0.006950,-0.004334,0.002765,0.005434
197636435506116346!,lush-proficient-bumblebee,0.450000,-0.824091,-0.279781,0.000000,-0.279781,-3.544854,3.511751,0.000000,3.511751,-0.006776,-0.004309,0.002588,0.005296
197636435506116346!,lush-proficient-bumblebee,0.460000,-0.858621,-0.245574,0.000000,-0.245574,-3.440915,3.408782,0.000000,3.408782,-0.006599,-0.004284,0.002408,0.005156
197636435506116346!,lush-proficient-bumblebee,0.470000,-0.892130,-0.212378,0.000000,-0.212378,-3.339336,3.308152,0.000000,3.308152,-0.006420,-0.004258,0.002226,0.005015
197636435506116346!,lush-proficient-bumblebee,0.480000,-0.924642,-0.180170,0.000000,-0.180170,-3.240140,3.209882,0.000000,3.209882,-0.006241,-0.004233,0.002043,0.004874
197636435506116346!,lush-proficient-bumblebee,0.490000,-0.956182,-0.148924,0.000000,-0.148924,-3.143336,3.113983,0.000000,3.113983,-0.006061,-0.004207,0.001861,0.004732
197636435506116346!,lush-proficient-bumblebee,0.500000,-0.986773,-0.118619,0.000000,-0.118619,-3.048927,3.020455,0.000000,3.020455,-0.005882,-0.004181,0.001678,0.004591
197636435506116346!,lush-proficient-bumblebee,0.510000,-1.016440,-0.089229,0.000000,-0.089229,-2.956907,2.929294,0.000000,2.929294,-0.005704,-0.004156,0.001497,0.004450
197636435506116346!,lush-proficient-bumblebee,0.520000,-1.045207,-0.060731,0.000000,-0.060731,-2.867262,2.840486,0.000000,2.840486,-0.005527,-0.004131,0.001317,0.004311
197636435506116346!,lush-proficient-bumblebee,0.530000,-1.073097,-0.033101,0.000000,-0.033101,-2.779974,2.754014,0.000000,2.754014,-0.005352,-0.004106,0.001139,0.004173
197636435506116346!,lush-proficient-bumblebee,0.540000,-1.100133,-0.006317,0.000000,-0.006317,-2.695020,2.669852,0.000000,2.669852,-0.005179,-0.004081,0.000963,0.004037
197636435506116346!,lush-proficient-bumblebee,0.550000,-1.126340,0.019645,0.000000,0.019645,-2.612369,2.587974,0.000000,2.587974,-0.005009,-0.004056,0.000790,0.003902
197636435506116346!,lush-proficient-bumblebee,0.560000,-1.151739,0.044806,0.000000,0.044806,-2.531992,2.508347,0.000000,2.508347,-0.004841,-0.004032,0.000619,0.003770
197636435506116346!,lush-proficient-bumblebee,0.570000,-1.176353,0.069191,0.000000,0.069191,-2.453853,2.430937,0.000000,2.430937,-0.004676,-0.004009,0.000451,0.003640
197636435506116346!,lush-proficient-bumblebee,0.580000,-1.200205,0.092820,0.000000,0.092820,-2.377913,2.355707,0.000000,2.355707,-0.004514,-0.003986,0.000286,0.003512
197636435506116346!,lush-proficient-bumblebee,0.590000,-1.223316,0.115715,0.000000,0.115715,-2.304134,2.282616,0.000000,2.282616,-0.004355,-0.003963,0.000125,0.003387
197636435506116346!,lush-proficient-bumblebee,0.600000,-1.245707,0.137897,0.000000,0.137897,-2.232472,2.211624,0.000000,2.211624,-0.004200,-0.003941,-0.000034,0.003264
197636435506116346!,lush-proficient-bumblebee,0.610000,-1.267399,0.159387,0.000000,0.159387,-2.162886,2.142688,0.000000,2.142688,-0.004047,-0.003919,-0.000188,0.003144
197636435506116346!,lush-proficient-bumblebee,0.620000,-1.288413,0.180205,0.000000,0.180205,-2.095331,2.075764,0.000000,2.075764,-0.003898,-0.003898,-0.000340,0.003026
197636435506116346!,lush-proficient-bumblebee,0.630000,-1.308769,0.200371,0.000000,0.200371,-2.029763,2.010808,0.000000,2.010808,-0.003753,-0.003877,-0.000488,0.002912
197636435506116346!,lush-proficient-bumblebee,0.640000,-1.328486,0.219903,0.000000,0.219903,-1.966134,1.947774,0.000000,1.947774,-0.003611,-0.003857,-0.000633,0.002800
197636435506116346!,lush-proficient-bumblebee,0.650000,-1.347583,0.238822,0.000000,0.238822,-1.904401,1.886616,0.000000,1.886616,-0.003472,-0.003837,-0.000774,0.002690
197636435506116346!,lush-proficient-bumblebee,0.660000,-1.366079,0.257146,0.000000,0.257146,-1.844515,1.827290,0.000000,1.827290,-0.003337,-0.003817,-0.000911,0.002584
197636435506116346!,lush-proficient-bumblebee,0.670000,-1.383992,0.274891,0.000000,0.274891,-1.786433,1.769750,0.000000,1.769750,-0.003205,-0.003799,-0.001045,0.002480
197636435506116346!,lush-proficient-bumblebee,0.680000,-1.401340,0.292077,0.000000,0.292077,-1.730106,1.713950,0.000000,1.713950,-0.003077,-0.003780,-0.001176,0.002378
197636435506116346!,lush-proficient-bumblebee,0.690000,-1.418139,0.308719,0.000000,0.308719,-1.675491,1.659844,0.000000,1.659844,-0.002952,-0.003762,-0.001303,0.002280
197636435506116346!,lush-proficient-bumblebee,0.700000,-1.434407,0.324835,0.000000,0.324835,-1.622541,1.607389,0.000000,1.607389,-0.002831,-0.003745,-0.001427,0.002184
197636435506116346!,lush-proficient-bumblebee,0.710000,-1.450160,0.340441,0.000000,0.340441,-1.571213,1.556540,0.000000,1.556540,-0.002712,-0.003728,-0.001547,0.002091
197636435506116346!,lush-proficient-bumblebee,0.720000,-1.465413,0.355551,0.000000,0.355551,-1.521461,1.507252,0.000000,1.507252,-0.002597,-0.003712,-0.001664,0.002000
197636435506116346!,lush-proficient-bumblebee,0.730000,-1.480182,0.370183,0.000000,0.370183,-1.473242,1.459484,0.000000,1.459484,-0.002486,-0.003696,-0.001778,0.001912
197636435506116346!,lush-proficient-bumblebee,0.740000,-1.494483,0.384350,0.000000,0.384350,-1.426513,1.413192,0.000000,1.413192,-0.002377,-0.003680,-0.001888,0.001826
197636435506116346!,lush-proficient-bumblebee,0.750000,-1.508329,0.398066,0.000000,0.398066,-1.381233,1.368334,0.000000,1.368334,-0.002271,-0.003665,-0.001995,0.001743
197636435506116346!,lush-proficient-bumblebee,0.760000,-1.521734,0.411347,0.000000,0.411347,-1.337359,1.324871,0.000000,1.324871,-0.002169,-0.003650,-0.002100,0.001662
197636435506116346!,lush-proficient-bumblebee,0.770000,-1.534714,0.424205,0.000000,0.424205,-1.294852,1.282760,0.000000,1.282760,-0.002070,-0.003636,-0.002201,0.001584
197636435506116346!,lush-proficient-bumblebee,0.780000,-1.547280,0.436654,0.000000,0.436654,-1.253672,1.241965,0.000000,1.241965,-0.001973,-0.003622,-0.002299,0.001508
197636435506116346!,lush-proficient-bumblebee,0.790000,-1.559445,0.448706,0.000000,0.448706,-1.213779,1.202444,0.000000,1.202444,-0.001879,-0.003609,-0.002395,0.001434
197636435506116346!,lush-proficient-bumblebee,0.800000,-1.571224,0.460374,0.000000,0.460374,-1.175136,1.164162,0.000000,1.164162,-0.001788,-0.003596,-0.002487,0.001362
197636435506116346!,lush-proficient-bumblebee,0.810000,-1.582626,0.471670,0.000000,0.471670,-1.137706,1.127082,0.000000,1.127082,-0.001700,-0.003583,-0.002577,0.001292
197636435506116346!,lush-proficient-bumblebee,0.820000,-1.593665,0.482606,0.000000,0.482606,-1.101453,1.091167,0.000000,1.091167,-0.001614,-0.003571,-0.002664,0.001225
197636435506116346!,lush-proficient-bumblebee,0.830000,-1.604352,0.493193,0.000000,0.493193,-1.066340,1.056382,0.000000,1.056382,-0.001531,-0.003559,-0.002748,0.001159
197636435506116346!,lush-proficient-bumblebee,0.840000,-1.614697,0.503442,0.000000,0.503442,-1.032335,1.022694,0.000000,1.022694,-0.001451,-0.003548,-0.002830,0.001096
197636435506116346!,lush-proficient-bumblebee,0.850000,-1.624712,0.513363,0.000000,0.513363,-0.999402,0.990070,0.000000,0.990070,-0.001373,-0.003536,-0.002910,0.001034
197636435506116346!,lush-proficient-bumblebee,0.860000,-1.634408,0.522968,0.000000,0.522968,-0.967511,0.958476,0.000000,0.958476,-0.001297,-0.003526,-0.002987,0.000975
197636435506116346!,lush-proficient-bumblebee,0.870000,-1.643793,0.532266,0.000000,0.532266,-0.936628,0.927881,0.000000,0.927881,-0.001224,-0.003515,-0.003061,0.000917
197636435506116346!,lush-proficient-bumblebee,0.880000,-1.652879,0.541267,0.000000,0.541267,-0.906723,0.898255,0.000000,0.898255,-0.001153,-0.003505,-0.003134,0.000861
197636435506116346!,lush-proficient-bumblebee,0.890000,-1.661674,0.549980,0.000000,0.549980,-0.877766,0.869569,0.000000,0.869569,-0.001084,-0.003495,-0.003204,0.000807
197636435506116346!,lush-proficient-bumblebee,0.900000,-1.670188,0.558415,0.000000,0.558415,-0.849727,0.841792,0.000000,0.841792,-0.001017,-0.003486,-0.003272,0.000754
197636435506116346!,lush-proficient-bumblebee,0.910000,-1.678430,0.566579,0.000000,0.566579,-0.822578,0.814896,0.000000,0.814896,-0.000953,-0.003476,-0.003337,0.000703
