ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
541285401153207949!,rebel-devious-beetle,0.000000,-2.093386,0.544944,-1.949931,-0.444713,0.000000,0.000000,0.000000,0.000000,-0.915600,-0.256479
541285401153207949!,rebel-devious-beetle,0.010000,-2.085065,0.554530,-1.951775,-0.436547,1.664911,1.910590,-0.366236,1.637421,-0.334983,-0.155234
541285401153207949!,rebel-devious-beetle,0.020000,-2.062879,0.576238,-1.955828,-0.418016,2.771996,2.417299,-0.442669,2.071178,-0.125429,-0.114490
541285401153207949!,rebel-devious-beetle,0.030000,-2.030846,0.600334,-1.960168,-0.397166,3.627996,2.387817,-0.425619,2.100599,-0.056929,-0.096350
541285401153207949!,rebel-devious-beetle,0.040000,-1.990912,0.623109,-1.964235,-0.376535,4.345491,2.155501,-0.388981,2.029159,-0.040338,-0.086420
541285401153207949!,rebel-devious-beetle,0.050000,-1.944249,0.643153,-1.967958,-0.356566,4.966263,1.843300,-0.356853,1.969543,-0.043008,-0.079348
541285401153207949!,rebel-devious-beetle,0.060000,-1.891752,0.659904,-1.971417,-0.336917,5.504359,1.497450,-0.335681,1.964183,-0.053232,-0.073131
541285401153207949!,rebel-devious-beetle,0.070000,-1.834229,0.673136,-1.974727,-0.316945,5.962606,1.137529,-0.325799,2.029889,-0.066758,-0.067009
541285401153207949!,rebel-devious-beetle,0.080000,-1.772483,0.682774,-1.977993,-0.295881,6.339346,0.774238,-0.325160,2.173728,-0.081949,-0.060708
541285401153207949!,rebel-devious-beetle,0.090000,-1.707412,0.688827,-1.981289,-0.272937,6.631491,0.415565,-0.330350,2.398056,-0.098086,-0.054180
541285401153207949!,rebel-devious-beetle,0.100000,-1.639892,0.691368,-1.984649,-0.247324,6.836026,0.068857,-0.336879,2.703278,-0.114740,-0.047488
541285401153207949!,rebel-devious-beetle,0.110000,-1.570797,0.690548,-1.988057,-0.218239,6.951021,-0.258776,-0.339026,3.088374,-0.131571,-0.040759
541285401153207949!,rebel-devious-beetle,0.120000,-1.501014,0.686594,-1.991435,-0.184892,6.976153,-0.560487,-0.329669,3.550804,-0.148267,-0.034150
541285401153207949!,rebel-devious-beetle,0.130000,-1.431428,0.679799,-1.994626,-0.146523,6.912931,-0.829782,-0.300189,4.086477,-0.164533,-0.027820
541285401153207949!,rebel-devious-beetle,0.140000,-1.362900,0.670522,-1.997376,-0.102420,6.764723,-1.060589,-0.240475,4.689679,-0.180087,-0.021906
541285401153207949!,rebel-devious-beetle,0.150000,-1.296253,0.659182,-1.999326,-0.051936,6.536646,-1.247244,-0.139051,5.352930,-0.194658,-0.016506
541285401153207949!,rebel-devious-beetle,0.160000,-1.232248,0.646252,-1.999992,0.005495,6.235405,-1.384401,0.016669,6.066792,-0.207991,-0.011668
541285401153207949!,rebel-devious-beetle,0.170000,-1.171575,0.632257,-1.998763,0.070332,5.869159,-1.466894,0.239967,6.819623,-0.219836,-0.007383
541285401153207949!,rebel-devious-beetle,0.180000,-1.114832,0.617777,-1.994888,0.142907,5.447464,-1.489619,0.544243,7.597294,-0.229942,-0.003594
541285401153207949!,rebel-devious-beetle,0.190000,-1.062517,0.603442,-1.987484,0.223396,4.981336,-1.447512,0.942254,8.382934,-0.238052,-0.000199
541285401153207949!,rebel-devious-beetle,0.200000,-1.015005,0.589932,-1.975547,0.311795,4.483408,-1.335690,1.445182,9.156742,-0.243889,0.002932
541285401153207949!,rebel-devious-beetle,0.210000,-0.972538,0.577977,-1.957966,0.407883,3.968140,-1.149829,2.061525,9.895976,-0.247163,0.005943
541285401153207949!,rebel-devious-beetle,0.220000,-0.935200,0.568344,-1.933566,0.511199,3.451965,-0.886792,2.795891,10.575222,-0.247570,0.008979
541285401153207949!,rebel-devious-beetle,0.230000,-0.902895,0.561825,-1.901142,0.621014,2.953267,-0.545506,3.647744,11.167019,-0.244813,0.012167
541285401153207949!,rebel-devious-beetle,0.240000,-0.875334,0.559209,-1.859526,0.736318,2.492045,-0.127992,4.610270,11.642949,-0.238624,0.015606
541285401153207949!,rebel-devious-beetle,0.250000,-0.852015,0.561249,-1.807647,0.855811,2.089150,0.359569,5.669526,11.975191,-0.228798,0.019352
541285401153207949!,rebel-devious-beetle,0.260000,-0.832217,0.568610,-1.744613,0.977919,1.765052,0.905968,6.804067,12.138497,-0.215231,0.023413
541285401153207949!,rebel-devious-beetle,0.270000,-0.815144,0.581628,-1.669946,1.100582,1.538105,1.496908,7.984124,12.114548,-0.197795,0.027717
