ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3
875433695624838405!,rebel-mauve-beetle,0.000000,-1.209062,-0.786013,-1.993152,-0.165366,0.000000,0.000000,0.000000,0.000000,-0.218888,-0.715699,0.782968
875433695624838405!,rebel-mauve-beetle,0.010000,-1.203742,-0.790534,-1.992281,-0.175549,1.063793,-0.902065,0.179405,-2.036036,-0.159032,-0.549906,0.574518
875433695624838405!,rebel-mauve-beetle,0.020000,-1.188713,-0.802461,-1.989605,-0.203651,1.940671,-1.476459,0.366616,-3.581716,-0.115348,-0.426624,0.421957
875433695624838405!,rebel-mauve-beetle,0.030000,-1.165658,-0.818919,-1.984882,-0.245445,2.665420,-1.803770,0.589718,-4.768970,-0.084018,-0.335658,0.312058
875433695624838405!,rebel-mauve-beetle,0.040000,-1.135981,-0.837755,-1.977699,-0.297838,3.259725,-1.951121,0.857765,-5.695720,-0.061982,-0.269066,0.234266
875433695624838405!,rebel-mauve-beetle,0.050000,-1.100903,-0.857437,-1.967591,-0.358587,3.739770,-1.973085,1.172472,-6.433436,-0.046801,-0.220608,0.180188
875433695624838405!,rebel-mauve-beetle,0.060000,-1.061498,-0.876924,-1.954091,-0.426061,4.119613,-1.912414,1.533349,-7.032562,-0.036577,-0.185444,0.143286
875433695624838405!,rebel-mauve-beetle,0.070000,-1.018700,-0.895555,-1.936735,-0.499056,4.412525,-1.801715,1.939635,-7.527331,-0.029852,-0.159863,0.118552
875433695624838405!,rebel-mauve-beetle,0.080000,-0.973315,-0.912958,-1.915066,-0.576648,4.631403,-1.665135,2.390710,-7.939625,-0.025528,-0.141057,0.102203
875433695624838405!,rebel-mauve-beetle,0.090000,-0.926026,-0.928968,-1.888635,-0.658072,4.788796,-1.519890,2.885791,-8.282080,-0.022786,-0.126929,0.091420
875433695624838405!,rebel-mauve-beetle,0.100000,-0.877397,-0.943562,-1.857006,-0.742650,4.896730,-1.377585,3.423535,-8.560598,-0.021025,-0.115926,0.084127
875433695624838405!,rebel-mauve-beetle,0.110000,-0.827864,-0.956813,-1.819758,-0.829747,4.966463,-1.245299,4.001703,-8.776330,-0.019808,-0.106917,0.078823
875433695624838405!,rebel-mauve-beetle,0.120000,-0.777755,-0.968845,-1.776498,-0.918724,5.008252,-1.126501,4.616775,-8.927267,-0.018827,-0.099084,0.074439
875433695624838405!,rebel-mauve-beetle,0.130000,-0.727300,-0.979801,-1.726877,-1.008909,5.031120,-1.021828,5.263723,-9.009535,-0.017869,-0.091852,0.070237
875433695624838405!,rebel-mauve-beetle,0.140000,-0.676645,-0.989817,-1.670603,-1.099585,5.042644,-0.929766,5.935922,-9.018463,-0.016792,-0.084828,0.065724
875433695624838405!,rebel-mauve-beetle,0.150000,-0.625868,-0.999003,-1.607462,-1.189986,5.048789,-0.847261,6.625187,-8.949459,-0.015513,-0.077758,0.060601
875433695624838405!,rebel-mauve-beetle,0.160000,-0.574997,-1.007433,-1.537331,-1.279302,5.053810,-0.770284,7.321927,-8.798723,-0.013986,-0.070496,0.054710
875433695624838405!,rebel-mauve-beetle,0.170000,-0.524058,-1.015105,-1.460229,-1.366650,5.060225,-0.694672,8.015317,-8.564150,-0.012197,-0.062975,0.047995
875433695624838405!,rebel-mauve-beetle,0.180000,-0.473049,-1.021992,-1.376273,-1.451163,5.068941,-0.616190,8.693930,-8.245262,-0.010156,-0.055191,0.040484
875433695624838405!,rebel-mauve-beetle,0.190000,-0.421957,-1.028035,-1.285682,-1.532000,5.079392,-0.530876,9.346098,-7.843414,-0.007891,-0.047187,0.032270
875433695624838405!,rebel-mauve-beetle,0.200000,-0.370777,-1.033145,-1.188788,-1.608348,5.089751,-0.435486,9.960295,-7.362015,-0.005444,-0.039043,0.023488
875433695624838405!,rebel-mauve-beetle,0.210000,-0.319528,-1.037207,-1.086035,-1.679443,5.097206,-0.327749,10.525587,-6.806520,-0.002863,-0.030858,0.014305
875433695624838405!,rebel-mauve-beetle,0.220000,-0.268263,-1.040089,-0.977974,-1.744582,5.098306,-0.206617,11.032082,-6.184341,-0.000204,-0.022750,0.004905
875433695624838405!,rebel-mauve-beetle,0.230000,-0.217080,-1.041652,-0.865250,-1.803148,5.089371,-0.072367,11.471362,-5.504591,0.002478,-0.014840,-0.004527
875433695624838405!,rebel-mauve-beetle,0.240000,-0.166101,-1.041775,-0.748573,-1.854626,5.066707,0.073655,11.836712,-4.777592,0.005125,-0.007255,-0.013791
875433695624838405!,rebel-mauve-beetle,0.250000,-0.115509,-1.040343,-0.628712,-1.898610,5.027638,0.228458,12.123798,-4.014715,0.007699,-0.000084,-0.022765
875433695624838405!,rebel-mauve-beetle,0.260000,-0.065455,-1.037305,-0.506447,-1.934816,4.968948,0.389313,12.329529,-3.227312,0.010130,0.006526,-0.031207
875433695624838405!,rebel-mauve-beetle,0.270000,-0.016142,-1.032626,-0.382590,-1.963065,4.888701,0.552184,12.453251,-2.427065,0.012366,0.012466,-0.038945
875433695624838405!,rebel-mauve-beetle,0.280000,0.032209,-1.026317,-0.257950,-1.983296,4.785932,0.712531,12.496337,-1.625289,0.014359,0.017637,-0.045821
875433695624838405!,rebel-mauve-beetle,0.290000,0.079376,-1.018432,-0.133315,-1.995552,4.660725,0.865579,12.462019,-0.832539,0.016071,0.021958,-0.051702
875433695624838405!,rebel-mauve-beetle,0.300000,0.125139,-1.009074,-0.009433,-1.999978,4.514221,1.006579,12.355147,-0.058273,0.017467,0.025362,-0.056477
875433695624838405!,rebel-mauve-beetle,0.310000,0.169294,-0.998391,0.113003,-1.996805,4.348565,1.131042,12.181888,0.689395,0.018522,0.027802,-0.060061
875433695624838405!,rebel-mauve-beetle,0.320000,0.211663,-0.986574,0.233365,-1.986338,4.166802,1.234937,11.949386,1.403876,0.019219,0.029252,-0.062398
875433695624838405!,rebel-mauve-beetle,0.330000,0.252102,-0.973853,0.351102,-1.968941,3.972743,1.314843,11.665405,2.080179,0.019550,0.029705,-0.063461
875433695624838405!,rebel-mauve-beetle,0.340000,0.290506,-0.960489,0.465740,-1.945016,3.770816,1.368048,11.337972,2.714911,0.019514,0.029180,-0.063256
875433695624838405!,rebel-mauve-beetle,0.350000,0.326817,-0.946766,0.576885,-1.914994,3.565908,1.392608,10.975042,3.306193,0.019122,0.027716,-0.061818
875433695624838405!,rebel-mauve-beetle,0.360000,0.361021,-0.932989,0.684216,-1.879321,3.363173,1.387299,10.584190,3.853448,0.018388,0.025374,-0.059206
875433695624838405!,rebel-mauve-beetle,0.370000,0.393215,-0.919447,0.787545,-1.838416,3.168262,1.352196,10.172448,4.357696,0.017368,0.022294,-0.055602
875433695624838405!,rebel-mauve-beetle,0.380000,0.423511,-0.906438,0.886701,-1.792697,2.986416,1.287766,9.745756,4.820431,0.016097,0.018597,-0.051146
875433695624838405!,rebel-mauve-beetle,0.390000,0.452073,-0.894249,0.981565,-1.742564,2.822831,1.195178,9.309101,5.243701,0.014627,0.014439,-0.046010
875433695624838405!,rebel-mauve-beetle,0.400000,0.479117,-0.883154,1.072061,-1.688397,2.682563,1.076295,8.866428,5.629808,0.013018,0.010010,-0.040412
875433695624838405!,rebel-mauve-beetle,0.410000,0.504902,-0.873403,1.158143,-1.630554,2.570411,0.933626,8.420606,5.980952,0.011342,0.005535,-0.034607
875433695624838405!,rebel-mauve-beetle,0.420000,0.529737,-0.865220,1.239786,-1.569372,2.490804,0.770373,7.973465,6.298948,0.009685,0.001284,-0.028898
875433695624838405!,rebel-mauve-beetle,0.430000,0.553972,-0.858790,1.316981,-1.505178,2.447626,0.590436,7.525878,6.584890,0.008144,-0.002431,-0.023638
875433695624838405!,rebel-mauve-beetle,0.440000,0.577990,-0.854256,1.389715,-1.438294,2.443982,0.398391,7.077908,6.838849,0.006833,-0.005253,-0.019223
875433695624838405!,rebel-mauve-beetle,0.450000,0.602220,-0.851684,1.457994,-1.369034,2.481864,0.199732,6.629053,7.059812,0.005882,-0.006770,-0.016123
875433695624838405!,rebel-mauve-beetle,0.460000,0.627084,-0.851101,1.521798,-1.297741,2.561795,0.000261,6.178421,7.245139,0.005421,-0.006565,-0.014799
875433695624838405!,rebel-mauve-beetle,0.470000,0.652993,-0.852478,1.581097,-1.224799,2.682517,-0.193908,5.725141,7.390607,0.005578,-0.004217,-0.015708
875433695624838405!,rebel-mauve-beetle,0.480000,0.680333,-0.855725,1.635856,-1.150642,2.840614,-0.376579,5.268753,7.490535,0.006472,0.000673,-0.019278
875433695624838405!,rebel-mauve-beetle,0.490000,0.709441,-0.860694,1.686039,-1.075766,3.030184,-0.541893,4.809590,7.538031,0.008199,0.008433,-0.025855
875433695624838405!,rebel-mauve-beetle,0.500000,0.740582,-0.867183,1.731623,-1.000740,3.242668,-0.684862,4.349123,7.525476,0.010815,0.019268,-0.035644
875433695624838405!,rebel-mauve-beetle,0.510000,0.773923,-0.874951,1.772609,-0.926207,3.466938,-0.801973,3.890212,7.445232,0.014315,0.033189,-0.048631
875433695624838405!,rebel-mauve-beetle,0.520000,0.809508,-0.883729,1.809032,-0.852880,3.689734,-0.891762,3.437193,7.290584,0.018612,0.049947,-0.064514
875433695624838405!,rebel-mauve-beetle,0.530000,0.847242,-0.893251,1.840982,-0.781528,3.896508,-0.955216,2.995739,7.056817,0.023523,0.068978,-0.082643
875433695624838405!,rebel-mauve-beetle,0.540000,0.886887,-0.903273,1.868609,-0.712951,4.072632,-0.995860,2.572470,6.742315,0.028762,0.089377,-0.102000
875433695624838405!,rebel-mauve-beetle,0.550000,0.928065,-0.913597,1.892134,-0.647943,4.204864,-1.019424,2.174325,6.349497,0.033950,0.109925,-0.121236
875433695624838405!,rebel-mauve-beetle,0.560000,0.970279,-0.924091,1.911841,-0.587252,4.282830,-1.033046,1.807791,5.885395,0.038650,0.129177,-0.138783
875433695624838405!,rebel-mauve-beetle,0.570000,1.012949,-0.934698,1.928075,-0.531531,4.300256,-1.044134,1.478111,5.361696,0.042413,0.145616,-0.153026
875433695624838405!,rebel-mauve-beetle,0.580000,1.055508,-0.945391,1.941247,-0.481207,4.255713,-1.058993,1.188366,4.794011,0.044852,0.157877,-0.162559
875433695624838405!,rebel-mauve-beetle,0.590000,1.097374,-0.956221,1.951765,-0.436591,4.152552,-1.082006,0.939664,4.200732,0.045686,0.164910,-0.166356
875433695624838405!,rebel-mauve-beetle,0.600000,1.137990,-0.967291,1.960028,-0.397859,3.998292,-1.114930,0.731084,3.601642,0.044791,0.166144,-0.163942
875433695624838405!,rebel-mauve-beetle,0.610000,1.176892,-0.978706,1.966414,-0.364985,3.803495,-1.156771,0.559812,3.016072,0.042226,0.161594,-0.155492
875433695624838405!,rebel-mauve-beetle,0.620000,1.213730,-0.990546,1.971273,-0.337762,3.580318,-1.204325,0.421704,2.461182,0.038219,0.151837,-0.141791
875433695624838405!,rebel-mauve-beetle,0.630000,1.248277,-1.002852,1.974907,-0.315823,3.341058,-1.253093,0.311939,1.950624,0.033122,0.137900,-0.124077
875433695624838405!,rebel-mauve-beetle,0.640000,1.280425,-1.015616,1.977571,-0.298687,3.096929,-1.298309,0.225615,1.493771,0.027356,0.121075,-0.103833
875433695624838405!,rebel-mauve-beetle,0.650000,1.310168,-1.028786,1.979474,-0.285799,2.857228,-1.335824,0.158179,1.095566,0.021338,0.102720,-0.082558
875433695624838405!,rebel-mauve-beetle,0.660000,1.337583,-1.042273,1.980784,-0.276575,2.628922,-1.362683,0.105684,0.756889,0.015438,0.084080,-0.061577
875433695624838405!,rebel-mauve-beetle,0.670000,1.362804,-1.055964,1.981632,-0.270437,2.416608,-1.377345,0.064869,0.475325,0.009939,0.066164,-0.041919
875433695624838405!,rebel-mauve-beetle,0.680000,1.386001,-1.069739,1.982119,-0.266842,2.222763,-1.379608,0.033132,0.246104,0.005027,0.049687,-0.024268
875433695624838405!,rebel-mauve-beetle,0.690000,1.407361,-1.083478,1.982326,-0.265301,2.048153,-1.370329,0.008439,0.063057,0.000794,0.035071,-0.008979
875433695624838405!,rebel-mauve-beetle,0.700000,1.427069,-1.097077,1.982314,-0.265390,1.892297,-1.351060,-0.010783,-0.080540,-0.002743,0.022482,0.003865
875433695624838405!,rebel-mauve-beetle,0.710000,1.445305,-1.110443,1.982131,-0.266750,1.753908,-1.323717,-0.025752,-0.191352,-0.005622,0.011893,0.014385
875433695624838405!,rebel-mauve-beetle,0.720000,1.462228,-1.123508,1.981815,-0.269090,1.631276,-1.290262,-0.037408,-0.275505,-0.007913,0.003151,0.022817
875433695624838405!,rebel-mauve-beetle,0.730000,1.477977,-1.136216,1.981394,-0.272172,1.522535,-1.252538,-0.046482,-0.338382,-0.009703,-0.003970,0.029461
875433695624838405!,rebel-mauve-beetle,0.740000,1.492664,-1.148529,1.980891,-0.275812,1.425861,-1.212137,-0.053538,-0.384511,-0.011082,-0.009719,0.034628
875433695624838405!,rebel-mauve-beetle,0.750000,1.506371,-1.160416,1.980322,-0.279865,1.339590,-1.170358,-0.059012,-0.417569,-0.012133,-0.014343,0.038612
875433695624838405!,rebel-mauve-beetle,0.760000,1.519162,-1.171852,1.979703,-0.284214,1.262264,-1.128208,-0.063238,-0.440487,-0.012928,-0.018063,0.041667
875433695624838405!,rebel-mauve-beetle,0.770000,1.531219,-1.182858,1.979048,-0.288739,1.192573,-1.086374,-0.066494,-0.455757,-0.013518,-0.021035,0.043973
875433695624838405!,rebel-mauve-beetle,0.780000,1.542628,-1.193445,1.978366,-0.293372,1.129399,-1.045404,-0.068991,-0.465247,-0.013952,-0.023420,0.045711
875433695624838405!,rebel-mauve-beetle,0.790000,1.553448,-1.203627,1.977665,-0.298066,1.071816,-1.005664,-0.070890,-0.470356,-0.014272,-0.025350,0.047022
