ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
171557359691261035!,rebel-vivacious-beetle,0.000000,0.955959,-1.010319,1.890179,-0.653623,0.000000,0.000000,0.000000,0.000000,0.352721,0.006977
171557359691261035!,rebel-vivacious-beetle,0.010000,0.955115,-1.003826,1.890950,-0.651388,-0.166334,1.296096,0.153721,0.446245,0.205911,-0.031359
171557359691261035!,rebel-vivacious-beetle,0.020000,0.952300,-0.985752,1.892806,-0.645975,-0.390723,2.316283,0.216694,0.634947,0.110316,-0.053263
171557359691261035!,rebel-vivacious-beetle,0.030000,0.947216,-0.958491,1.894989,-0.639545,-0.615775,3.131318,0.219306,0.649810,0.046381,-0.065121
171557359691261035!,rebel-vivacious-beetle,0.040000,0.940045,-0.923859,1.896989,-0.633587,-0.803032,3.786426,0.181068,0.542125,0.001132,-0.071290
171557359691261035!,rebel-vivacious-beetle,0.050000,0.931304,-0.883356,1.898459,-0.629168,-0.928967,4.309812,0.113628,0.342864,-0.033345,-0.074454
171557359691261035!,rebel-vivacious-beetle,0.060000,0.921683,-0.838216,1.899144,-0.627098,-0.980208,4.718551,0.023536,0.071277,-0.061431,-0.076089
171557359691261035!,rebel-vivacious-beetle,0.070000,0.911959,-0.789509,1.898835,-0.628032,-0.950043,5.022614,-0.085783,-0.259363,-0.085206,-0.076872
171557359691261035!,rebel-vivacious-beetle,0.080000,0.902952,-0.738251,1.897346,-0.632517,-0.836295,5.227679,-0.212617,-0.637781,-0.105318,-0.076978
171557359691261035!,rebel-vivacious-beetle,0.090000,0.895492,-0.685415,1.894505,-0.640978,-0.640293,5.336737,-0.356094,-1.052487,-0.121502,-0.076253
171557359691261035!,rebel-vivacious-beetle,0.100000,0.890383,-0.631953,1.890146,-0.653718,-0.366518,5.351323,-0.515460,-1.490391,-0.132917,-0.074324
171557359691261035!,rebel-vivacious-beetle,0.110000,0.888365,-0.578812,1.884116,-0.670899,-0.022693,5.272535,-0.689332,-1.935881,-0.138372,-0.070672
171557359691261035!,rebel-vivacious-beetle,0.120000,0.890085,-0.526923,1.876279,-0.692514,0.379756,5.102003,-0.874968,-2.370615,-0.136458,-0.064681
171557359691261035!,rebel-vivacious-beetle,0.130000,0.896051,-0.477199,1.866537,-0.718359,0.825237,4.843099,-1.067491,-2.773698,-0.125700,-0.055691
