ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3,U4
1863597921275814388!,rebel-wine-beetle,0.000000,-1.130648,-0.613444,-1.996770,-0.113612,0.000000,0.000000,0.000000,0.000000,-0.172502,-0.103646,0.073689,0.134910
1863597921275814388!,rebel-wine-beetle,0.010000,-1.128408,-0.609650,-1.996765,-0.113709,0.445094,0.757560,0.001127,-0.019793,-0.149206,-0.106909,0.041482,0.116441
1863597921275814388!,rebel-wine-beetle,0.020000,-1.121864,-0.599151,-1.996706,-0.114742,0.858369,1.342596,0.010809,-0.188098,-0.129817,-0.105585,0.019887,0.101127
1863597921275814388!,rebel-wine-beetle,0.030000,-1.111458,-0.583425,-1.996519,-0.117950,1.214786,1.804203,0.026853,-0.454546,-0.113097,-0.101630,0.004892,0.087963
1863597921275814388!,rebel-wine-beetle,0.040000,-1.097841,-0.563548,-1.996142,-0.124166,1.497962,2.174162,0.049025,-0.788141,-0.098292,-0.096402,-0.006162,0.076331
1863597921275814388!,rebel-wine-beetle,0.050000,-1.081795,-0.540328,-1.995508,-0.133968,1.698277,2.471942,0.078552,-1.170064,-0.084933,-0.090739,-0.014916,0.065849
1863597921275814388!,rebel-wine-beetle,0.060000,-1.064172,-0.514432,-1.994532,-0.147786,1.811198,2.708376,0.117723,-1.588797,-0.072730,-0.085076,-0.022281,0.056281
1863597921275814388!,rebel-wine-beetle,0.070000,-1.045853,-0.486450,-1.993103,-0.165953,1.835832,2.888583,0.169545,-2.036239,-0.061496,-0.079570,-0.028684,0.047477
1863597921275814388!,rebel-wine-beetle,0.080000,-1.027715,-0.456939,-1.991076,-0.188728,1.774083,3.013947,0.237466,-2.505263,-0.051103,-0.074187,-0.034235,0.039336
1863597921275814388!,rebel-wine-beetle,0.090000,-1.010604,-0.426456,-1.988270,-0.216293,1.630252,3.083492,0.325064,-2.988152,-0.041450,-0.068768,-0.038850,0.031781
1863597921275814388!,rebel-wine-beetle,0.100000,-0.995309,-0.395576,-1.984471,-0.248747,1.410978,3.094881,0.435663,-3.475659,-0.032447,-0.063074,-0.042327,0.024745
1863597921275814388!,rebel-wine-beetle,0.110000,-0.982543,-0.364901,-1.979433,-0.286088,1.125392,3.045248,0.571836,-3.956522,-0.024004,-0.056812,-0.044401,0.018159
1863597921275814388!,rebel-wine-beetle,0.120000,-0.972913,-0.335064,-1.972890,-0.328187,0.785361,2.932014,0.734820,-4.417358,-0.016029,-0.049671,-0.044779,0.011956
1863597921275814388!,rebel-wine-beetle,0.130000,-0.966891,-0.306720,-1.964572,-0.374774,0.405678,2.753782,0.923865,-4.842912,-0.008430,-0.041345,-0.043176,0.006067
1863597921275814388!,rebel-wine-beetle,0.140000,-0.964782,-0.280535,-1.954231,-0.425417,0.004031,2.511350,1.135618,-5.216673,-0.001124,-0.031571,-0.039356,0.000431
1863597921275814388!,rebel-wine-beetle,0.150000,-0.966701,-0.257157,-1.941667,-0.479509,-0.399385,2.208756,1.363666,-5.521870,0.005951,-0.020174,-0.033164,-0.004998
1863597921275814388!,rebel-wine-beetle,0.160000,-0.972536,-0.237184,-1.926764,-0.536265,-0.782750,1.854199,1.598368,-5.742831,0.012826,-0.007108,-0.024580,-0.010246
1863597921275814388!,rebel-wine-beetle,0.170000,-0.981944,-0.221112,-1.909531,-0.594719,-1.124050,1.460564,1.827159,-5.866671,0.019484,0.007490,-0.013759,-0.015299
1863597921275814388!,rebel-wine-beetle,0.180000,-0.994445,-0.209042,-1.890168,-0.653654,-1.403924,1.043042,2.035537,-5.886156,0.025832,0.023368,-0.000918,-0.020089
1863597921275814388!,rebel-wine-beetle,0.190000,-1.009354,-0.201077,-1.868957,-0.712039,-1.606748,0.621532,2.208584,-5.797083,0.031805,0.040054,0.013418,-0.024570
1863597921275814388!,rebel-wine-beetle,0.200000,-1.025858,-0.197144,-1.846307,-0.768864,-1.722066,0.217554,2.332324,-5.600713,0.037310,0.056911,0.028536,-0.028680
1863597921275814388!,rebel-wine-beetle,0.210000,-1.043070,-0.196979,-1.822747,-0.823160,-1.745592,-0.148078,2.395344,-5.304077,0.042237,0.073192,0.043607,-0.032340
1863597921275814388!,rebel-wine-beetle,0.220000,-1.060089,-0.200131,-1.798904,-0.874040,-1.679510,-0.457755,2.390239,-4.919466,0.046465,0.088124,0.057779,-0.035467
1863597921275814388!,rebel-wine-beetle,0.230000,-1.076063,-0.206000,-1.775456,-0.920737,-1.531918,-0.699249,2.314544,-4.463133,0.049879,0.101007,0.070286,-0.037980
1863597921275814388!,rebel-wine-beetle,0.240000,-1.090238,-0.213890,-1.753089,-0.962642,-1.315510,-0.867048,2.170904,-3.953482,0.052387,0.111308,0.080554,-0.039814
1863597921275814388!,rebel-wine-beetle,0.250000,-1.102002,-0.223083,-1.732443,-0.999321,-1.045824,-0.962594,1.966460,-3.409095,0.053924,0.118727,0.088272,-0.040922
1863597921275814388!,rebel-wine-beetle,0.260000,-1.110902,-0.232898,-1.714075,-1.030508,-0.739448,-0.993420,1.711608,-2.846968,0.054462,0.123217,0.093413,-0.041283
1863597921275814388!,rebel-wine-beetle,0.270000,-1.116648,-0.242748,-1.698431,-1.056093,-0.412558,-0.971478,1.418461,-2.281201,0.054008,0.124963,0.096211,-0.040899
1863597921275814388!,rebel-wine-beetle,0.280000,-1.119105,-0.252179,-1.685838,-1.076081,-0.079935,-0.911100,1.099346,-1.722287,0.052600,0.124327,0.097084,-0.039794
1863597921275814388!,rebel-wine-beetle,0.290000,-1.118274,-0.260879,-1.676505,-1.090565,0.245507,-0.827022,0.765612,-1.176960,0.050298,0.121771,0.096554,-0.038011
1863597921275814388!,rebel-wine-beetle,0.300000,-1.114278,-0.268678,-1.670535,-1.099688,0.552817,-0.732804,0.426919,-0.648532,0.047185,0.117782,0.095153,-0.035607
1863597921275814388!,rebel-wine-beetle,0.310000,-1.107336,-0.275530,-1.667947,-1.103609,0.832862,-0.639757,0.090977,-0.137499,0.043355,0.112817,0.093355,-0.032650
1863597921275814388!,rebel-wine-beetle,0.320000,-1.097767,-0.281495,-1.668674,-1.102509,1.078150,-0.556347,-0.236342,0.357709,0.038914,0.107263,0.091530,-0.029219
1863597921275814388!,rebel-wine-beetle,0.330000,-1.085947,-0.286694,-1.672615,-1.096521,1.282566,-0.488036,-0.550725,0.840068,0.033969,0.101407,0.089923,-0.025393
1863597921275814388!,rebel-wine-beetle,0.340000,-1.072303,-0.291294,-1.679629,-1.085747,1.441239,-0.437656,-0.848679,1.312891,0.028620,0.095443,0.088663,-0.021249
1863597921275814388!,rebel-wine-beetle,0.350000,-1.057311,-0.295475,-1.689543,-1.070255,1.550444,-0.405529,-1.127239,1.779500,0.022963,0.089478,0.087770,-0.016862
1863597921275814388!,rebel-wine-beetle,0.360000,-1.041479,-0.299411,-1.702153,-1.050083,1.607619,-0.389904,-1.383496,2.242605,0.017086,0.083543,0.087182,-0.012301
1863597921275814388!,rebel-wine-beetle,0.370000,-1.025337,-0.303245,-1.717227,-1.025247,1.611430,-0.387323,-1.614324,2.703893,0.011068,0.077614,0.086771,-0.007628
1863597921275814388!,rebel-wine-beetle,0.380000,-1.009424,-0.307080,-1.734496,-0.995753,1.561891,-0.392970,-1.816255,3.163726,0.004974,0.071625,0.086371,-0.002896
1863597921275814388!,rebel-wine-beetle,0.390000,-0.994274,-0.310963,-1.753657,-0.961607,1.460508,-0.401004,-1.985514,3.620929,-0.001137,0.065481,0.085795,0.001848
1863597921275814388!,rebel-wine-beetle,0.400000,-0.980399,-0.314875,-1.774364,-0.922838,1.310441,-0.404908,-2.118180,4.072677,-0.007222,0.059077,0.084851,0.006567
1863597921275814388!,rebel-wine-beetle,0.410000,-0.968271,-0.318729,-1.796236,-0.879509,1.116651,-0.397856,-2.210470,4.514482,-0.013239,0.052310,0.083358,0.011227
1863597921275814388!,rebel-wine-beetle,0.420000,-0.958306,-0.322358,-1.818853,-0.831729,0.885993,-0.373138,-2.259112,4.940301,-0.019154,0.045095,0.081164,0.015800
1863597921275814388!,rebel-wine-beetle,0.430000,-0.950843,-0.325523,-1.841767,-0.779675,0.627233,-0.324639,-2.261759,5.342779,-0.024934,0.037376,0.078158,0.020259
1863597921275814388!,rebel-wine-beetle,0.440000,-0.946121,-0.327929,-1.864498,-0.723636,0.350872,-0.247250,-2.217557,5.713691,-0.030531,0.029143,0.074270,0.024566
1863597921275814388!,rebel-wine-beetle,0.450000,-0.944218,-0.329347,-1.886505,-0.664154,0.068381,-0.137030,-2.128070,6.044708,-0.035867,0.020423,0.069441,0.028659
1863597921275814388!,rebel-wine-beetle,0.460000,-0.945142,-0.329370,-1.907368,-0.601621,-0.207525,0.007106,-1.995765,6.327330,-0.040904,0.011325,0.063763,0.032511
1863597921275814388!,rebel-wine-beetle,0.470000,-0.948692,-0.327845,-1.926624,-0.536768,-0.465377,0.185036,-1.826175,6.554695,-0.045555,0.001957,0.057274,0.036052
1863597921275814388!,rebel-wine-beetle,0.480000,-0.954634,-0.324413,-1.943962,-0.470119,-0.693411,0.393326,-1.625278,6.720598,-0.049779,-0.007475,0.050191,0.039257
