ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4,U5,U6
1704404178587343749!,talented-antique-butterfly,0.000000,-2.157430,-0.491629,-1.520959,-1.262929,-0.663758,-0.747948,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.087964,0.115492,0.031695,-0.113354,0.060648,0.158670
1704404178587343749!,talented-antique-butterfly,0.010000,-2.150740,-0.489005,-1.519313,-1.264439,-0.662179,-0.749346,1.337097,0.520413,0.328669,-0.300738,0.315469,-0.278772,0.072035,0.101837,0.015818,-0.094157,0.040343,0.136144
1704404178587343749!,talented-antique-butterfly,0.020000,-2.131614,-0.481443,-1.514764,-1.268524,-0.657744,-0.753241,2.488675,0.983350,0.579358,-0.513015,0.570359,-0.498048,0.059564,0.089922,0.004914,-0.078868,0.025820,0.117326
1704404178587343749!,talented-antique-butterfly,0.030000,-2.101684,-0.469648,-1.508021,-1.274362,-0.651003,-0.759075,3.500921,1.365493,0.767718,-0.650878,0.777075,-0.666440,0.048590,0.079078,-0.004414,-0.065307,0.013248,0.100289
1704404178587343749!,talented-antique-butterfly,0.040000,-2.062230,-0.454466,-1.499680,-1.281229,-0.642411,-0.766360,4.394410,1.659817,0.898638,-0.718790,0.940373,-0.788280,0.038096,0.068871,-0.013812,-0.052319,0.000746,0.083952
1704404178587343749!,talented-antique-butterfly,0.050000,-2.014406,-0.436761,-1.490319,-1.288426,-0.632399,-0.774643,5.174154,1.868321,0.972073,-0.717500,1.061215,-0.866350,0.027665,0.059041,-0.023847,-0.039420,-0.012361,0.067798
1704404178587343749!,talented-antique-butterfly,0.060000,-1.959363,-0.417358,-1.480522,-1.295260,-0.621394,-0.783498,5.836843,1.997995,0.986689,-0.647465,1.139207,-0.903507,0.017278,0.049494,-0.034442,-0.026571,-0.026008,0.051723
1704404178587343749!,talented-antique-butterfly,0.070000,-1.898299,-0.396999,-1.470878,-1.301052,-0.609825,-0.792536,6.376325,2.058547,0.942171,-0.510633,1.174178,-0.903482,0.007167,0.040274,-0.045161,-0.014019,-0.039715,0.035918
1704404178587343749!,talented-antique-butterfly,0.080000,-1.832471,-0.376323,-1.461969,-1.305155,-0.598117,-0.801409,6.787691,2.061217,0.840565,-0.311037,1.167147,-0.871078,-0.002307,0.031533,-0.055421,-0.002172,-0.052815,0.020757
1704404178587343749!,talented-antique-butterfly,0.090000,-1.763169,-0.355850,-1.454344,-1.306969,-0.586678,-0.809820,7.070066,2.017907,0.686921,-0.054684,1.120842,-0.811999,-0.010748,0.023474,-0.064644,0.008519,-0.064636,0.006680
1704404178587343749!,talented-antique-butterfly,0.100000,-1.691669,-0.335978,-1.448487,-1.305959,-0.575881,-0.817533,7.227892,1.940431,0.489297,0.251012,1.039755,-0.732417,-0.017813,0.016295,-0.072360,0.017661,-0.074625,-0.005915
1704404178587343749!,talented-antique-butterfly,0.110000,-1.619170,-0.317003,-1.444782,-1.301679,-0.566043,-0.824376,7.270858,1.839957,0.258236,0.598005,0.929848,-0.638464,-0.023260,0.010141,-0.078267,0.024976,-0.082420,-0.016756
1704404178587343749!,talented-antique-butterfly,0.120000,-1.546744,-0.299124,-1.443484,-1.293779,-0.557409,-0.830238,7.212840,1.726578,0.005898,0.978394,0.798022,-0.535779,-0.026972,0.005078,-0.082240,0.030339,-0.087873,-0.025739
1704404178587343749!,talented-antique-butterfly,0.130000,-1.475313,-0.282424,-1.444746,-1.281957,-0.550162,-0.835058,7.070510,1.609059,-0.254856,1.385040,0.651472,-0.429210,-0.028953,0.001083,-0.084313,0.033769,-0.091023,-0.032928
1704404178587343749!,talented-antique-butterfly,0.140000,-1.405636,-0.266899,-1.448592,-1.265976,-0.544417,-0.838815,6.861598,1.494850,-0.511263,1.811857,0.497157,-0.322670,-0.029299,-0.001941,-0.084630,0.035397,-0.092050,-0.038522
1704404178587343749!,talented-antique-butterfly,0.150000,-1.338296,-0.252476,-1.454925,-1.245652,-0.540223,-0.841522,6.603564,1.390201,-0.751251,2.253876,0.341371,-0.219147,-0.028163,-0.004140,-0.083397,0.035422,-0.091209,-0.042801
1704404178587343749!,talented-antique-butterfly,0.160000,-1.273713,-0.239023,-1.463530,-1.220843,-0.537571,-0.843218,6.312635,1.300334,-0.963811,2.707106,0.189458,-0.120784,-0.025721,-0.005678,-0.080834,0.034074,-0.088778,-0.046077
1704404178587343749!,talented-antique-butterfly,0.170000,-1.212133,-0.226381,-1.474077,-1.191465,-0.536396,-0.843966,6.003278,1.229633,-1.139208,3.168251,0.045687,-0.029037,-0.022144,-0.006717,-0.077150,0.031570,-0.085017,-0.048644
