ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3
1431900701652981912!,talented-ruddy-butterfly,0.000000,-1.396907,-0.697973,-0.480455,-0.297828,0.265161,-0.964204,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.370081,-0.435325,0.037543
1431900701652981912!,talented-ruddy-butterfly,0.010000,-1.389289,-0.692414,-0.472549,-0.292929,0.269831,-0.962908,1.522724,1.110934,1.580157,0.979135,0.932285,0.261250,0.286643,-0.337366,0.027741
1431900701652981912!,talented-ruddy-butterfly,0.020000,-1.368189,-0.677148,-0.450693,-0.279402,0.282697,-0.959209,2.696276,1.941259,2.789752,1.725635,1.637553,0.482618,0.222824,-0.262063,0.020579
1431900701652981912!,talented-ruddy-butterfly,0.030000,-1.336665,-0.654616,-0.418131,-0.259274,0.301729,-0.953394,3.601507,2.560383,3.715452,2.295646,2.161499,0.684068,0.172375,-0.202313,0.015216
1431900701652981912!,talented-ruddy-butterfly,0.040000,-1.297128,-0.626694,-0.377407,-0.234120,0.325282,-0.945617,4.292641,3.015520,4.415692,2.727237,2.538393,0.873179,0.131616,-0.154003,0.011127
1431900701652981912!,talented-ruddy-butterfly,0.050000,-1.251525,-0.594855,-0.330569,-0.205189,0.352018,-0.935993,4.809311,3.340851,4.933246,3.047938,2.795726,1.051447,0.098343,-0.114681,0.007979
1431900701652981912!,talented-ruddy-butterfly,0.060000,-1.201458,-0.560278,-0.279288,-0.173493,0.380850,-0.924637,5.182657,3.562440,5.301633,3.278780,2.956463,1.217742,0.071183,-0.082794,0.005556
1431900701652981912!,talented-ruddy-butterfly,0.070000,-1.148256,-0.523913,-0.224944,-0.139861,0.410894,-0.911683,5.438576,3.701094,5.548579,3.436632,3.040250,1.370235,0.049196,-0.057245,0.003710
1431900701652981912!,talented-ruddy-butterfly,0.080000,-1.093007,-0.486515,-0.168658,-0.104968,0.441451,-0.897285,5.599254,3.773931,5.697683,3.535473,3.063966,1.507427,0.031655,-0.037150,0.002336
1431900701652981912!,talented-ruddy-butterfly,0.090000,-1.036563,-0.448666,-0.111300,-0.069341,0.471998,-0.881600,5.683880,3.795274,5.769213,3.587127,3.041916,1.628605,0.017918,-0.021715,0.001349
1431900701652981912!,talented-ruddy-butterfly,0.100000,-0.979591,-0.410811,-0.053547,-0.033395,0.502143,-0.864785,5.708947,3.777148,5.780481,3.601630,2.986036,1.733860,0.007389,-0.010192,0.000682
1431900701652981912!,talented-ruddy-butterfly,0.110000,-0.922606,-0.373289,0.004081,0.002547,0.531602,-0.846994,5.688395,3.729551,5.746039,3.587420,2.906066,1.823944,-0.000490,-0.001886,0.000274
1431900701652981912!,talented-ruddy-butterfly,0.120000,-0.866000,-0.336347,0.061193,0.038238,0.560178,-0.828372,5.633744,3.660662,5.677851,3.551485,2.809764,1.900072,-0.006233,0.003836,0.000071
1431900701652981912!,talented-ruddy-butterfly,0.130000,-0.810064,-0.300165,0.117503,0.073490,0.587739,-0.809051,5.554290,3.577043,5.585525,3.499503,2.703152,1.963717,-0.010293,0.007530,0.000028
1431900701652981912!,talented-ruddy-butterfly,0.140000,-0.755009,-0.264864,0.172810,0.108167,0.614206,-0.789146,5.457357,3.483848,5.476593,3.436002,2.590783,2.016449,-0.013059,0.009670,0.000106
1431900701652981912!,talented-ruddy-butterfly,0.150000,-0.700980,-0.230521,0.226976,0.142170,0.639538,-0.768760,5.348593,3.385042,5.356828,3.364539,2.476004,2.059809,-0.014854,0.010646,0.000273
1431900701652981912!,talented-ruddy-butterfly,0.160000,-0.648075,-0.197176,0.279913,0.175434,0.663723,-0.747978,5.232251,3.283611,5.230547,3.287856,2.361208,2.095233,-0.015936,0.010767,0.000502
1431900701652981912!,talented-ruddy-butterfly,0.170000,-0.596356,-0.164849,0.331570,0.207915,0.686769,-0.726875,5.111455,3.181747,5.100897,3.208030,2.248052,2.124014,-0.016508,0.010278,0.000772
1431900701652981912!,talented-ruddy-butterfly,0.180000,-0.545858,-0.133535,0.381924,0.239589,0.708696,-0.705514,4.988440,3.081021,4.970103,3.126617,2.137645,2.147287,-0.016724,0.009362,0.001066
1431900701652981912!,talented-ruddy-butterfly,0.190000,-0.496596,-0.103221,0.430967,0.270444,0.729533,-0.683945,4.864822,2.982539,4.839742,3.044796,2.030665,2.166019,-0.016700,0.008158,0.001371
1431900701652981912!,talented-ruddy-butterfly,0.200000,-0.448578,-0.073885,0.478705,0.300476,0.749316,-0.662212,4.741718,2.887037,4.710876,2.963430,1.927489,2.181021,-0.016520,0.006769,0.001677
1431900701652981912!,talented-ruddy-butterfly,0.210000,-0.401799,-0.045498,0.525150,0.329691,0.768081,-0.640352,4.619877,2.794972,4.584190,2.883139,1.828285,2.192967,-0.016243,0.005270,0.001977
1431900701652981912!,talented-ruddy-butterfly,0.220000,-0.356250,-0.018029,0.570319,0.358096,0.785866,-0.618397,4.499794,2.706595,4.460108,2.804360,1.733071,2.202406,-0.015911,0.003714,0.002264
1431900701652981912!,talented-ruddy-butterfly,0.230000,-0.311882,0.008584,0.614271,0.385730,0.802723,-0.596352,4.381677,2.622000,4.338741,2.727439,1.641775,2.209919,-0.015554,0.002139,0.002534
1431900701652981912!,talented-ruddy-butterfly,0.240000,-0.268676,0.034378,0.657034,0.412612,0.818690,-0.574236,4.265707,2.541190,4.220187,2.652600,1.554242,2.215890,-0.015190,0.000571,0.002784
1431900701652981912!,talented-ruddy-butterfly,0.250000,-0.226610,0.059389,0.698634,0.438761,0.833804,-0.552061,4.151987,2.464084,4.104465,2.579986,1.470277,2.220626,-0.014829,-0.000969,0.003011
1431900701652981912!,talented-ruddy-butterfly,0.260000,-0.185663,0.083652,0.739098,0.464201,0.848097,-0.529841,4.040570,2.390541,3.991546,2.509675,1.389658,2.224372,-0.014477,-0.002469,0.003214
1431900701652981912!,talented-ruddy-butterfly,0.270000,-0.145812,0.107200,0.778452,0.488952,0.861602,-0.507585,3.931478,2.320379,3.881372,2.441692,1.312154,2.227320,-0.014139,-0.003919,0.003394
1431900701652981912!,talented-ruddy-butterfly,0.280000,-0.107037,0.130066,0.816723,0.513038,0.874347,-0.485300,3.824715,2.253385,3.773873,2.376019,1.237535,2.229620,-0.013813,-0.005315,0.003550
1431900701652981912!,talented-ruddy-butterfly,0.290000,-0.069315,0.152278,0.853934,0.536480,0.886361,-0.462994,3.720272,2.189332,3.668972,2.312607,1.165573,2.231387,-0.013501,-0.006651,0.003682
1431900701652981912!,talented-ruddy-butterfly,0.300000,-0.032624,0.173864,0.890111,0.559300,0.897668,-0.440672,3.618136,2.127985,3.566593,2.251379,1.096053,2.232709,-0.013200,-0.007927,0.003794
1431900701652981912!,talented-ruddy-butterfly,0.310000,0.003059,0.194850,0.925278,0.581518,0.908291,-0.418338,3.518289,2.069106,3.466663,2.192238,1.028769,2.233654,-0.012909,-0.009141,0.003885
1431900701652981912!,talented-ruddy-butterfly,0.320000,0.037753,0.215257,0.959456,0.603154,0.918252,-0.395997,3.420713,2.012465,3.369115,2.135069,0.963532,2.234274,-0.012628,-0.010294,0.003958
1431900701652981912!,talented-ruddy-butterfly,0.330000,0.071483,0.235108,0.992670,0.624228,0.927569,-0.373651,3.325380,1.957839,3.273884,2.079750,0.900163,2.234609,-0.012355,-0.011388,0.004015
