ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3
840145128554192641!,talented-steel-butterfly,0.000000,-1.483166,1.590824,-0.493278,1.732680,-0.664350,0.747421,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.084694,0.692653,-0.757789
840145128554192641!,talented-steel-butterfly,0.010000,-1.474951,1.586672,-0.485693,1.732849,-0.662931,0.748681,1.642159,-0.829444,1.515067,0.030652,0.284828,0.252205,0.049396,0.578343,-0.621932
840145128554192641!,talented-steel-butterfly,0.020000,-1.451764,1.574666,-0.464390,1.733073,-0.658954,0.752183,2.994221,-1.572730,2.740866,0.006471,0.512036,0.448572,0.016272,0.486447,-0.509867
840145128554192641!,talented-steel-butterfly,0.030000,-1.416182,1.555497,-0.432012,1.732725,-0.652917,0.757430,4.116633,-2.262293,3.724731,-0.086008,0.696034,0.599992,-0.010390,0.408248,-0.415026
840145128554192641!,talented-steel-butterfly,0.040000,-1.370299,1.529644,-0.390805,1.731119,-0.645195,0.764018,5.047558,-2.905694,4.500285,-0.245063,0.847578,0.715761,-0.029065,0.338400,-0.332838
840145128554192641!,talented-steel-butterfly,0.050000,-1.315906,1.497582,-0.342727,1.727632,-0.636076,0.771626,5.810320,-3.497371,5.092341,-0.460093,0.974634,0.803422,-0.039692,0.273960,-0.260423
840145128554192641!,talented-steel-butterfly,0.060000,-1.254645,1.459907,-0.289543,1.721779,-0.625778,0.780001,6.419512,-4.026583,5.521120,-0.715664,1.082978,0.868849,-0.043019,0.213736,-0.196265
840145128554192641!,talented-steel-butterfly,0.070000,-1.188010,1.417307,-0.232803,1.713245,-0.614466,0.788943,6.885766,-4.482270,5.805201,-0.994503,1.176893,0.916620,-0.040291,0.157753,-0.139812
840145128554192641!,talented-steel-butterfly,0.080000,-1.117388,1.370568,-0.173867,1.701882,-0.602269,0.798293,7.219249,-4.856259,5.963361,-1.279722,1.259670,0.950353,-0.033035,0.106734,-0.091058
840145128554192641!,talented-steel-butterfly,0.090000,-1.044054,1.320534,-0.113900,1.687705,-0.589284,0.807926,7.431751,-5.145010,6.015226,-1.556530,1.333963,0.972963,-0.022860,0.061623,-0.050153
840145128554192641!,talented-steel-butterfly,0.100000,-0.969155,1.268060,-0.053868,1.670862,-0.575584,0.817743,7.537428,-5.350080,5.980977,-1.813361,1.402028,0.986844,-0.011278,0.023201,-0.017106
840145128554192641!,talented-steel-butterfly,0.110000,-0.893684,1.213961,0.005467,1.651600,-0.561220,0.827666,7.552476,-5.477555,5.880482,-2.042359,1.465843,0.993952,0.000451,-0.008160,0.008380
840145128554192641!,talented-steel-butterfly,0.120000,-0.818467,1.158974,0.063533,1.630223,-0.546227,0.837637,7.494135,-5.536818,5.732266,-2.239265,1.527148,0.995860,0.011401,-0.032580,0.026941
840145128554192641!,talented-steel-butterfly,0.130000,-0.744153,1.103731,0.119938,1.607065,-0.530620,0.847610,7.379466,-5.539055,5.552631,-2.402864,1.587438,0.993768,0.020995,-0.050613,0.039491
840145128554192641!,talented-steel-butterfly,0.140000,-0.671227,1.048748,0.174439,1.582460,-0.514403,0.857548,7.224262,-5.495852,5.355128,-2.534213,1.647935,0.988519,0.028961,-0.063120,0.047094
840145128554192641!,talented-steel-butterfly,0.150000,-0.600024,0.994426,0.226913,1.556721,-0.497567,0.867425,7.042275,-5.418117,5.150396,-2.635834,1.709565,0.980630,0.035255,-0.071105,0.050850
840145128554192641!,talented-steel-butterfly,0.160000,-0.530749,0.941064,0.277333,1.530133,-0.480096,0.877216,6.844845,-5.315402,4.946324,-2.711021,1.772942,0.970323,0.039979,-0.075580,0.051784
840145128554192641!,talented-steel-butterfly,0.170000,-0.463509,0.888869,0.325738,1.502945,-0.461969,0.886896,6.640852,-5.195603,4.748410,-2.763322,1.838375,0.957579,0.043311,-0.077467,0.050792
840145128554192641!,talented-steel-butterfly,0.180000,-0.398330,0.837982,0.372213,1.475370,-0.443164,0.896440,6.436902,-5.064948,4.560209,-2.796203,1.905891,0.942196,0.045457,-0.077548,0.048604
840145128554192641!,talented-steel-butterfly,0.190000,-0.335183,0.788484,0.416868,1.447589,-0.423660,0.905821,6.237647,-4.928155,4.383779,-2.812857,1.975263,0.923847,0.046615,-0.076444,0.045790
