ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4
707860626645383309!,talented-zippy-butterfly,0.000000,-1.209062,-0.786013,-0.253401,-0.491543,0.727485,-0.686124,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.374527,0.006683,-0.038188,0.335326
707860626645383309!,talented-zippy-butterfly,0.010000,-1.206667,-0.786710,-0.251734,-0.489890,0.729183,-0.684319,0.478260,-0.138038,0.332645,0.330435,0.338680,0.360884,0.356772,0.005403,-0.036830,0.320641
707860626645383309!,talented-zippy-butterfly,0.020000,-1.199631,-0.788695,-0.246861,-0.485003,0.734142,-0.678996,0.927708,-0.256965,0.639687,0.646640,0.651007,0.703880,0.337543,0.004927,-0.035561,0.302598
707860626645383309!,talented-zippy-butterfly,0.030000,-1.188236,-0.791797,-0.239070,-0.477021,0.742070,-0.670323,1.348599,-0.360669,0.914462,0.948413,0.930570,1.030173,0.317501,0.005015,-0.034376,0.282410
707860626645383309!,talented-zippy-butterfly,0.040000,-1.172759,-0.795880,-0.228705,-0.466087,0.752617,-0.658458,1.741752,-0.451696,1.152292,1.235671,1.172856,1.340573,0.297148,0.005502,-0.033252,0.260986
707860626645383309!,talented-zippy-butterfly,0.050000,-1.153468,-0.800826,-0.216152,-0.452346,0.765397,-0.643558,2.108595,-0.531767,1.350220,1.508056,1.375014,1.635333,0.276849,0.006277,-0.032156,0.239004
707860626645383309!,talented-zippy-butterfly,0.060000,-1.130615,-0.806533,-0.201816,-0.435948,0.780001,-0.625778,2.451105,-0.601997,1.506775,1.764787,1.535645,1.914104,0.256855,0.007258,-0.031050,0.216957
707860626645383309!,talented-zippy-butterfly,0.070000,-1.104429,-0.812908,-0.186115,-0.417057,0.796011,-0.605282,2.771684,-0.663096,1.621751,2.004571,1.654602,2.175981,0.237324,0.008381,-0.029901,0.195200
707860626645383309!,talented-zippy-butterfly,0.080000,-1.075117,-0.819866,-0.169462,-0.395850,0.813013,-0.582246,3.072984,-0.715419,1.696021,2.225637,1.732820,2.419606,0.218339,0.009596,-0.028676,0.173977
707860626645383309!,talented-zippy-butterfly,0.090000,-1.042856,-0.827322,-0.152259,-0.372529,0.830605,-0.556862,3.357720,-0.758969,1.731365,2.425839,1.772151,2.643309,0.199917,0.010856,-0.027346,0.153441
707860626645383309!,talented-zippy-butterfly,0.100000,-1.007812,-0.835184,-0.134890,-0.347325,0.848404,-0.529349,3.628451,-0.793444,1.730366,2.602782,1.775251,2.845250,0.182027,0.012121,-0.025886,0.133682
