ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4,U5,U6
1691282149725427510!,thoughtful-antique-butterfly,0.000000,1.418440,-2.501371,0.343816,-0.814604,0.387092,-0.316481,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.034151,0.110789,-0.094621,-0.053307,-0.077183,0.107129
1691282149725427510!,thoughtful-antique-butterfly,0.010000,1.411588,-2.504632,0.342508,-0.814346,0.387201,-0.316347,-1.369745,-0.649548,-0.261030,0.051697,0.021520,0.026339,0.038303,0.046604,-0.033496,-0.038828,-0.025570,0.027499
1691282149725427510!,thoughtful-antique-butterfly,0.020000,1.394547,-2.512132,0.338937,-0.813400,0.387663,-0.315780,-2.038500,-0.847734,-0.452576,0.137776,0.070507,0.086557,0.040838,0.019201,-0.006755,-0.033251,-0.002835,-0.006732
1691282149725427510!,thoughtful-antique-butterfly,0.030000,1.372312,-2.520617,0.333614,-0.811492,0.388676,-0.314533,-2.407991,-0.846994,-0.611521,0.244787,0.131474,0.162465,0.042817,0.007448,0.005399,-0.031556,0.007659,-0.021739
1691282149725427510!,thoughtful-antique-butterfly,0.040000,1.347023,-2.528636,0.326782,-0.808430,0.390325,-0.312485,-2.648665,-0.755117,-0.754006,0.368592,0.197487,0.246682,0.044732,0.002362,0.011402,-0.031635,0.013008,-0.028668
1691282149725427510!,thoughtful-antique-butterfly,0.050000,1.319600,-2.535499,0.318567,-0.804045,0.392646,-0.309563,-2.833874,-0.616320,-0.887224,0.509128,0.265275,0.336471,0.046791,0.000124,0.014851,-0.032594,0.016239,-0.032254
1691282149725427510!,thoughtful-antique-butterfly,0.060000,1.290438,-2.540821,0.309045,-0.798159,0.395648,-0.305716,-2.995615,-0.447765,-1.014376,0.667984,0.333049,0.431021,0.049073,-0.000891,0.017275,-0.034048,0.018638,-0.034499
1691282149725427510!,thoughtful-antique-butterfly,0.070000,1.259699,-2.544331,0.298271,-0.790577,0.399327,-0.300895,-3.148060,-0.255275,-1.136748,0.847350,0.399581,0.530295,0.051600,-0.001372,0.019324,-0.035825,0.020753,-0.036242
1691282149725427510!,thoughtful-antique-butterfly,0.080000,1.227443,-2.545796,0.286288,-0.781078,0.403664,-0.295051,-3.297586,-0.040053,-1.254593,1.049511,0.463790,0.634519,0.054363,-0.001610,0.021269,-0.037841,0.022812,-0.037826
1691282149725427510!,thoughtful-antique-butterfly,0.090000,1.193682,-2.544983,0.273144,-0.769424,0.408633,-0.288131,-3.447046,0.198425,-1.367478,1.276576,0.524566,0.743949,0.057334,-0.001727,0.023216,-0.040044,0.024901,-0.039371
1691282149725427510!,thoughtful-antique-butterfly,0.100000,1.158410,-2.541653,0.258893,-0.755352,0.414191,-0.280081,-3.597586,0.461130,-1.474424,1.530279,0.580699,0.858752,0.060466,-0.001768,0.025194,-0.042389,0.027040,-0.040903
