ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3
1349061483465294120!,thoughtful-ruddy-butterfly,0.000000,-1.898833,-0.618917,0.037423,-0.118004,0.491653,0.090982,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.034508,0.017637,-0.107250
1349061483465294120!,thoughtful-ruddy-butterfly,0.010000,-1.897533,-0.623628,0.037658,-0.118618,0.491684,0.090810,0.260548,-0.940930,0.046992,-0.122590,0.006380,-0.034545,-0.016208,-0.001153,-0.042352
1349061483465294120!,thoughtful-ruddy-butterfly,0.020000,-1.894314,-0.635054,0.038272,-0.120162,0.491751,0.090446,0.383855,-1.342681,0.075706,-0.186081,0.007026,-0.038200,-0.008404,-0.009436,-0.014935
1349061483465294120!,thoughtful-ruddy-butterfly,0.030000,-1.890145,-0.649355,0.039134,-0.122209,0.491812,0.090118,0.449866,-1.515674,0.096629,-0.222879,0.005072,-0.027679,-0.005069,-0.013250,-0.003379
1349061483465294120!,thoughtful-ruddy-butterfly,0.040000,-1.885438,-0.664894,0.040188,-0.124559,0.491846,0.089929,0.491598,-1.591562,0.114273,-0.246867,0.001854,-0.010139,-0.003656,-0.015155,0.001465
1349061483465294120!,thoughtful-ruddy-butterfly,0.050000,-1.880365,-0.680982,0.041412,-0.127114,0.491845,0.089935,0.523166,-1.626062,0.130632,-0.264074,-0.002069,0.011316,-0.003089,-0.016231,0.003470
1349061483465294120!,thoughtful-ruddy-butterfly,0.060000,-1.874997,-0.697327,0.042798,-0.129821,0.491802,0.090168,0.550726,-1.642757,0.146637,-0.277205,-0.006471,0.035293,-0.002910,-0.016938,0.004275
1349061483465294120!,thoughtful-ruddy-butterfly,0.070000,-1.869358,-0.713799,0.044345,-0.132645,0.491714,0.090651,0.577009,-1.651632,0.162764,-0.287550,-0.011268,0.061120,-0.002926,-0.017467,0.004575
1349061483465294120!,thoughtful-ruddy-butterfly,0.080000,-1.863457,-0.730343,0.046055,-0.135563,0.491575,0.091400,0.603262,-1.656913,0.179298,-0.295801,-0.016442,0.088430,-0.003056,-0.017901,0.004666
1349061483465294120!,thoughtful-ruddy-butterfly,0.090000,-1.857289,-0.746931,0.047935,-0.138555,0.491382,0.092430,0.630076,-1.660391,0.196440,-0.302393,-0.022004,0.116980,-0.003264,-0.018272,0.004674
1349061483465294120!,thoughtful-ruddy-butterfly,0.100000,-1.850849,-0.763548,0.049990,-0.141606,0.491132,0.093752,0.657760,-1.662816,0.214357,-0.307647,-0.027980,0.146574,-0.003537,-0.018595,0.004651
1349061483465294120!,thoughtful-ruddy-butterfly,0.110000,-1.844126,-0.780187,0.052230,-0.144706,0.490819,0.095377,0.686489,-1.664493,0.233203,-0.311831,-0.034402,0.177039,-0.003867,-0.018876,0.004623
1349061483465294120!,thoughtful-ruddy-butterfly,0.120000,-1.837108,-0.796840,0.054665,-0.147843,0.490439,0.097311,0.716384,-1.665529,0.253131,-0.315183,-0.041311,0.208203,-0.004253,-0.019116,0.004601
1349061483465294120!,thoughtful-ruddy-butterfly,0.130000,-1.829784,-0.813500,0.057306,-0.151011,0.489987,0.099563,0.747539,-1.665941,0.274299,-0.317923,-0.048746,0.239896,-0.004694,-0.019316,0.004589
1349061483465294120!,thoughtful-ruddy-butterfly,0.140000,-1.822139,-0.830162,0.060169,-0.154206,0.489457,0.102137,0.780037,-1.665697,0.296875,-0.320255,-0.056748,0.271946,-0.005191,-0.019476,0.004591
1349061483465294120!,thoughtful-ruddy-butterfly,0.150000,-1.814161,-0.846819,0.063266,-0.157424,0.488843,0.105035,0.813960,-1.664732,0.321040,-0.322365,-0.065357,0.304179,-0.005744,-0.019597,0.004609
1349061483465294120!,thoughtful-ruddy-butterfly,0.160000,-1.805833,-0.863463,0.066618,-0.160663,0.488139,0.108259,0.849393,-1.662959,0.346989,-0.324417,-0.074611,0.336417,-0.006354,-0.019677,0.004645
1349061483465294120!,thoughtful-ruddy-butterfly,0.170000,-1.797141,-0.880086,0.070241,-0.163926,0.487338,0.111809,0.886429,-1.660266,0.374939,-0.326558,-0.084541,0.368483,-0.007023,-0.019717,0.004701
1349061483465294120!,thoughtful-ruddy-butterfly,0.180000,-1.788065,-0.896677,0.074160,-0.167214,0.486433,0.115683,0.925173,-1.656519,0.405124,-0.328904,-0.095174,0.400196,-0.007751,-0.019719,0.004778
1349061483465294120!,thoughtful-ruddy-butterfly,0.190000,-1.778589,-0.913227,0.078397,-0.170529,0.485417,0.119875,0.965742,-1.651558,0.437805,-0.331543,-0.106530,0.431375,-0.008540,-0.019681,0.004878
1349061483465294120!,thoughtful-ruddy-butterfly,0.200000,-1.768693,-0.929721,0.082982,-0.173877,0.484282,0.124382,1.008273,-1.645193,0.473265,-0.334525,-0.118617,0.461838,-0.009391,-0.019605,0.005002
1349061483465294120!,thoughtful-ruddy-butterfly,0.210000,-1.758354,-0.946145,0.087945,-0.177263,0.483021,0.129193,1.052921,-1.637207,0.511814,-0.337859,-0.131435,0.491403,-0.010306,-0.019493,0.005150
1349061483465294120!,thoughtful-ruddy-butterfly,0.220000,-1.747550,-0.962481,0.093320,-0.180690,0.481626,0.134301,1.099866,-1.627346,0.553788,-0.341506,-0.144971,0.519892,-0.011286,-0.019346,0.005326
1349061483465294120!,thoughtful-ruddy-butterfly,0.230000,-1.736254,-0.978709,0.099147,-0.184163,0.480090,0.139693,1.149311,-1.615322,0.599547,-0.345367,-0.159198,0.547124,-0.012332,-0.019165,0.005528
1349061483465294120!,thoughtful-ruddy-butterfly,0.240000,-1.724445,-0.994805,0.105460,-0.187682,0.478407,0.145350,1.201481,-1.600803,0.649477,-0.349303,-0.174075,0.572954,-0.013444,-0.018954,0.005758
1349061483465294120!,thoughtful-ruddy-butterfly,0.250000,-1.712093,-1.010742,0.112305,-0.191247,0.476572,0.151258,1.256630,-1.583422,0.703979,-0.353082,-0.189549,0.597218,-0.014622,-0.018716,0.006014
1349061483465294120!,thoughtful-ruddy-butterfly,0.260000,-1.699166,-1.026488,0.119731,-0.194855,0.474579,0.157399,1.315041,-1.562769,0.763462,-0.356388,-0.205550,0.619761,-0.015866,-0.018456,0.006297
1349061483465294120!,thoughtful-ruddy-butterfly,0.270000,-1.685630,-1.042008,0.127790,-0.198499,0.472424,0.163754,1.377021,-1.538390,0.828343,-0.358811,-0.221991,0.640435,-0.017175,-0.018176,0.006604
1349061483465294120!,thoughtful-ruddy-butterfly,0.280000,-1.671446,-1.057263,0.136541,-0.202169,0.470103,0.170304,1.442901,-1.509787,0.899028,-0.359838,-0.238772,0.659098,-0.018547,-0.017882,0.006935
1349061483465294120!,thoughtful-ruddy-butterfly,0.290000,-1.656572,-1.072207,0.146044,-0.205848,0.467612,0.177028,1.513027,-1.476421,0.975904,-0.358841,-0.255775,0.675620,-0.019979,-0.017581,0.007285
1349061483465294120!,thoughtful-ruddy-butterfly,0.300000,-1.640962,-1.086791,0.156364,-0.209511,0.464952,0.183902,1.587759,-1.437714,1.059317,-0.355069,-0.272867,0.689880,-0.021467,-0.017279,0.007652
1349061483465294120!,thoughtful-ruddy-butterfly,0.310000,-1.624571,-1.100956,0.167566,-0.213124,0.462122,0.190902,1.667445,-1.393049,1.149551,-0.347652,-0.289907,0.701785,-0.023004,-0.016984,0.008029
1349061483465294120!,thoughtful-ruddy-butterfly,0.320000,-1.607345,-1.114641,0.179720,-0.216645,0.459124,0.198004,1.752426,-1.341802,1.246799,-0.335575,-0.306736,0.711246,-0.024583,-0.016705,0.008408
1349061483465294120!,thoughtful-ruddy-butterfly,0.330000,-1.589230,-1.127778,0.192896,-0.220020,0.455961,0.205183,1.843012,-1.283343,1.351134,-0.317680,-0.323186,0.718190,-0.026192,-0.016452,0.008781
1349061483465294120!,thoughtful-ruddy-butterfly,0.340000,-1.570167,-1.140291,0.207166,-0.223183,0.452638,0.212413,1.939458,-1.217056,1.462474,-0.292673,-0.339080,0.722559,-0.027820,-0.016236,0.009137
1349061483465294120!,thoughtful-ruddy-butterfly,0.350000,-1.550094,-1.152100,0.222599,-0.226056,0.449162,0.219667,2.041934,-1.142366,1.580540,-0.259136,-0.354235,0.724317,-0.029451,-0.016068,0.009464
