ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3
1755009745273746920!,thoughtful-steel-butterfly,0.000000,-0.160052,-1.356644,-0.732984,0.559537,-0.249126,0.433516,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.967624,1.012068,-0.847008
1755009745273746920!,thoughtful-steel-butterfly,0.010000,-0.139747,-1.348757,-0.731349,0.561742,-0.247882,0.434229,4.050366,1.591571,0.326896,0.438568,0.248664,0.141951,-0.420736,0.499986,-0.428230
1755009745273746920!,thoughtful-steel-butterfly,0.020000,-0.090353,-1.328359,-0.727129,0.567562,-0.244748,0.436003,5.816974,2.503149,0.517375,0.723191,0.378012,0.212195,-0.176545,0.266940,-0.235881
1755009745273746920!,thoughtful-steel-butterfly,0.030000,-0.028488,-1.300328,-0.721323,0.575833,-0.240610,0.438300,6.545418,3.107502,0.644105,0.928248,0.449059,0.246517,-0.067527,0.157095,-0.143522
1755009745273746920!,thoughtful-steel-butterfly,0.040000,0.038270,-1.267044,-0.714407,0.585921,-0.235917,0.440843,6.798581,3.546905,0.738687,1.085367,0.488939,0.261656,-0.019143,0.102917,-0.096566
1755009745273746920!,thoughtful-steel-butterfly,0.050000,0.106440,-1.229850,-0.706632,0.597420,-0.230918,0.443482,6.831557,3.886336,0.815752,1.209512,0.510355,0.265738,0.002006,0.074301,-0.070668
1755009745273746920!,thoughtful-steel-butterfly,0.060000,0.174400,-1.189594,-0.698137,0.610039,-0.225768,0.446127,6.760628,4.158432,0.882334,1.308390,0.519559,0.262929,0.010914,0.057649,-0.054794
1755009745273746920!,thoughtful-steel-butterfly,0.070000,0.241380,-1.146869,-0.689010,0.623547,-0.220572,0.448718,6.639435,4.380547,0.941893,1.386372,0.519846,0.255535,0.014313,0.046781,-0.043902
1755009745273746920!,thoughtful-steel-butterfly,0.080000,0.307002,-1.102130,-0.679315,0.637750,-0.215412,0.451218,6.493306,4.562520,0.996155,1.446252,0.513129,0.244968,0.015214,0.038878,-0.035669
1755009745273746920!,thoughtful-steel-butterfly,0.090000,0.371078,-1.055751,-0.669100,0.652473,-0.210352,0.453599,6.334698,4.710480,1.045968,1.490048,0.500661,0.232177,0.014959,0.032644,-0.029007
1755009745273746920!,thoughtful-steel-butterfly,0.100000,0.433514,-1.008057,-0.658409,0.667563,-0.205448,0.455841,6.170129,4.828746,1.091719,1.519383,0.483359,0.217851,0.014139,0.027472,-0.023391
1755009745273746920!,thoughtful-steel-butterfly,0.110000,0.494276,-0.959327,-0.647286,0.682877,-0.200744,0.457932,6.003262,4.920802,1.133522,1.535651,0.461951,0.202506,0.013013,0.023067,-0.018551
1755009745273746920!,thoughtful-steel-butterfly,0.120000,0.553364,-0.909806,-0.635769,0.698287,-0.196275,0.459865,5.836298,4.989686,1.171338,1.540096,0.437046,0.186535,0.011692,0.019273,-0.014332
1755009745273746920!,thoughtful-steel-butterfly,0.130000,0.610791,-0.859707,-0.623899,0.713678,-0.192072,0.461637,5.670650,5.038165,1.205060,1.533861,0.409168,0.170241,0.010224,0.015994,-0.010633
1755009745273746920!,thoughtful-steel-butterfly,0.140000,0.666579,-0.809217,-0.611717,0.728951,-0.188160,0.463245,5.507226,5.068827,1.234534,1.518003,0.378773,0.153850,0.008635,0.013164,-0.007382
1755009745273746920!,thoughtful-steel-butterfly,0.150000,0.720758,-0.758497,-0.599264,0.744015,-0.184562,0.464690,5.346586,5.084111,1.259587,1.493505,0.346258,0.137525,0.006937,0.010726,-0.004516
1755009745273746920!,thoughtful-steel-butterfly,0.160000,0.773359,-0.707687,-0.586584,0.758790,-0.181296,0.465974,5.189022,5.086299,1.280043,1.461291,0.311973,0.121379,0.005147,0.008634,-0.001986
