ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4
404548014256221245!,thoughtful-zippy-butterfly,0.000000,-0.160052,-1.356644,-0.029721,0.639105,0.368997,0.337403,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.469519,0.221902,-0.192498,-0.234547
404548014256221245!,thoughtful-zippy-butterfly,0.010000,-0.147093,-1.355803,-0.029038,0.640709,0.368705,0.337723,2.588649,0.174217,0.136625,0.319207,-0.058164,0.063500,0.290115,0.092393,-0.108067,-0.038387
404548014256221245!,thoughtful-zippy-butterfly,0.020000,-0.115061,-1.352615,-0.027317,0.645459,0.367653,0.338868,3.816868,0.470656,0.208143,0.629130,-0.152109,0.165030,0.207398,0.034349,-0.069015,0.048916
404548014256221245!,thoughtful-zippy-butterfly,0.030000,-0.073844,-1.346177,-0.025028,0.653227,0.365582,0.341100,4.424913,0.820103,0.250372,0.922025,-0.262006,0.280810,0.166842,0.008468,-0.049949,0.086439
404548014256221245!,thoughtful-zippy-butterfly,0.040000,-0.027993,-1.336177,-0.022386,0.663815,0.362376,0.344505,4.742838,1.178891,0.278889,1.191407,-0.379003,0.398662,0.144793,-0.002950,-0.039758,0.101263
404548014256221245!,thoughtful-zippy-butterfly,0.050000,0.020328,-1.322635,-0.019493,0.676968,0.357978,0.349072,4.918719,1.524997,0.300331,1.433025,-0.499510,0.512254,0.130875,-0.007848,-0.033526,0.105690
404548014256221245!,thoughtful-zippy-butterfly,0.060000,0.070033,-1.305735,-0.016408,0.692397,0.352360,0.354743,5.019494,1.847563,0.317251,1.644140,-0.622248,0.618069,0.120570,-0.009786,-0.029077,0.105330
404548014256221245!,thoughtful-zippy-butterfly,0.070000,0.120521,-1.285739,-0.013174,0.709787,0.345499,0.361428,5.075893,2.140962,0.330270,1.823019,-0.746888,0.713970,0.111969,-0.010353,-0.025461,0.102776
404548014256221245!,thoughtful-zippy-butterfly,0.080000,0.171421,-1.262956,-0.009832,0.728814,0.337374,0.369024,5.102578,2.402125,0.339077,1.968643,-0.873444,0.798530,0.104326,-0.010253,-0.022279,0.099252
404548014256221245!,thoughtful-zippy-butterfly,0.090000,0.222471,-1.237718,-0.006429,0.749140,0.327964,0.377412,5.107194,2.629424,0.342914,2.080545,-1.001996,0.870715,0.097398,-0.009797,-0.019373,0.095361
404548014256221245!,thoughtful-zippy-butterfly,0.100000,0.273473,-1.210367,-0.003021,0.770428,0.317247,0.386464,5.094396,2.822238,0.340843,2.158700,-1.132565,0.929718,0.091155,-0.009117,-0.016695,0.091409
404548014256221245!,thoughtful-zippy-butterfly,0.110000,0.324269,-1.181250,0.000326,0.792341,0.305202,0.396045,5.067613,2.980756,0.331892,2.203440,-1.265058,0.974884,0.085637,-0.008268,-0.014239,0.087564
404548014256221245!,thoughtful-zippy-butterfly,0.120000,0.374732,-1.150706,0.003536,0.814546,0.291809,0.406014,5.029777,3.105883,0.315147,2.215386,-1.399240,1.005659,0.080899,-0.007274,-0.012010,0.083919
404548014256221245!,thoughtful-zippy-butterfly,0.130000,0.424765,-1.119064,0.006525,0.836716,0.277053,0.416223,4.983593,3.199153,0.289812,2.195395,-1.534722,1.021566,0.076980,-0.006144,-0.010019,0.080525
404548014256221245!,thoughtful-zippy-butterfly,0.140000,0.474308,-1.086652,0.009210,0.858517,0.260941,0.426509,4.931531,3.262693,0.255222,2.144566,-1.670853,1.022240,0.073908,-0.004884,-0.008273,0.077406
404548014256221245!,thoughtful-zippy-butterfly,0.150000,0.523318,-1.053757,0.011497,0.879644,0.243475,0.436715,4.875938,3.299139,0.210915,2.064188,-1.806916,1.007381,0.071679,-0.003498,-0.006774,0.074568
404548014256221245!,thoughtful-zippy-butterfly,0.160000,0.571771,-1.020632,0.013291,0.899811,0.224661,0.446685,4.818959,3.311569,0.156631,1.955727,-1.942052,0.976756,0.070261,-0.001993,-0.005515,0.071998
404548014256221245!,thoughtful-zippy-butterfly,0.170000,0.619665,-0.987499,0.014494,0.918746,0.204514,0.456261,4.762492,3.303438,0.092334,1.820812,-2.075263,0.930216,0.069604,-0.000377,-0.004488,0.069670
404548014256221245!,thoughtful-zippy-butterfly,0.180000,0.667014,-0.954542,0.015008,0.936195,0.183061,0.465283,4.708147,3.278530,0.018223,1.661247,-2.205421,0.867700,0.069636,0.001341,-0.003680,0.067547
404548014256221245!,thoughtful-zippy-butterfly,0.190000,0.713842,-0.921908,0.014738,0.951926,0.160337,0.473595,4.657207,3.240902,-0.065251,1.479012,-2.331273,0.789259,0.070267,0.003150,-0.003076,0.065574
404548014256221245!,thoughtful-zippy-butterfly,0.200000,0.760187,-0.889700,0.013596,0.965725,0.136391,0.481038,4.610600,3.194835,-0.157377,1.276281,-2.451457,0.695075,0.071389,0.005036,-0.002657,0.063689
404548014256221245!,thoughtful-zippy-butterfly,0.210000,0.806094,-0.857981,0.011500,0.977399,0.111287,0.487458,4.568873,3.144773,-0.257173,1.055424,-2.564525,0.585482,0.072879,0.006986,-0.002405,0.061818
404548014256221245!,thoughtful-zippy-butterfly,0.220000,0.851610,-0.826766,0.008379,0.986783,0.085101,0.492705,4.532159,3.095241,-0.363377,0.819006,-2.668970,0.460989,0.074601,0.008981,-0.002298,0.059877
404548014256221245!,thoughtful-zippy-butterfly,0.230000,0.896782,-0.796029,0.004179,0.993736,0.057926,0.496633,4.500163,3.050744,-0.474457,0.569770,-2.763263,0.322301,0.076404,0.011000,-0.002316,0.057783
404548014256221245!,thoughtful-zippy-butterfly,0.240000,0.941652,-0.765697,-0.001144,0.998144,0.029870,0.499107,4.472145,3.015647,-0.588617,0.310605,-2.845886,0.170320,0.078131,0.013016,-0.002434,0.055455
404548014256221245!,thoughtful-zippy-butterfly,0.250000,0.986255,-0.735654,-0.007611,0.999924,0.001055,0.499999,4.446913,2.994022,-0.703820,0.044492,-2.915379,0.006154,0.079624,0.014997,-0.002627,0.052820
404548014256221245!,thoughtful-zippy-butterfly,0.260000,1.030612,-0.705745,-0.015224,0.999021,-0.028383,0.499194,4.422891,2.989493,-0.817796,-0.225553,-2.970358,-0.168885,0.080726,0.016904,-0.002870,0.049830
404548014256221245!,thoughtful-zippy-butterfly,0.270000,1.074724,-0.675784,-0.023962,0.995410,-0.058293,0.496590,4.397929,3.004999,-0.928211,-0.496540,-3.009633,-0.353287,0.081305,0.018700,-0.003141,0.046445
404548014256221245!,thoughtful-zippy-butterfly,0.280000,1.118572,-0.645555,-0.033777,0.989098,-0.088513,0.492103,4.369724,3.042735,-1.032554,-0.765602,-3.032129,-0.545380,0.081240,0.020334,-0.003415,0.042675
404548014256221245!,thoughtful-zippy-butterfly,0.290000,1.162114,-0.614826,-0.044600,0.980116,-0.118873,0.485664,4.335588,3.103886,-1.128346,-1.030060,-3.037018,-0.743353,0.080449,0.021762,-0.003674,0.038550
404548014256221245!,thoughtful-zippy-butterfly,0.300000,1.205277,-0.583356,-0.056336,0.968524,-0.149193,0.477223,4.292713,3.188556,-1.213176,-1.287496,-3.023715,-0.945298,0.078885,0.022936,-0.003902,0.034137
404548014256221245!,thoughtful-zippy-butterfly,0.310000,1.247959,-0.550913,-0.068864,0.954403,-0.179290,0.466750,4.238336,3.295691,-1.284773,-1.535820,-2.991891,-1.149255,0.076543,0.023813,-0.004088,0.029532
404548014256221245!,thoughtful-zippy-butterfly,0.320000,1.290031,-0.517279,-0.082043,0.937854,-0.208976,0.454235,4.169878,3.423094,-1.341087,-1.773303,-2.941472,-1.353259,0.073459,0.024360,-0.004227,0.024853
404548014256221245!,thoughtful-zippy-butterfly,0.330000,1.331339,-0.482265,-0.095713,0.918993,-0.238067,0.439686,4.085143,3.567498,-1.380345,-1.998594,-2.872635,-1.555382,0.069707,0.024551,-0.004318,0.020232
404548014256221245!,thoughtful-zippy-butterfly,0.340000,1.371709,-0.445720,-0.109695,0.897948,-0.266380,0.423133,3.982481,3.724730,-1.401106,-2.210714,-2.785792,-1.753777,0.065397,0.024375,-0.004366,0.015800
404548014256221245!,thoughtful-zippy-butterfly,0.350000,1.410953,-0.407539,-0.123799,0.874855,-0.293738,0.404621,3.860940,3.889933,-1.402286,-2.409024,-2.681558,-1.946704,0.060659,0.023838,-0.004379,0.011680
404548014256221245!,thoughtful-zippy-butterfly,0.360000,1.448878,-0.367673,-0.137825,0.849854,-0.319971,0.384212,3.720364,4.057841,-1.383176,-2.593185,-2.560723,-2.132563,0.055639,0.022958,-0.004369,0.007974
404548014256221245!,thoughtful-zippy-butterfly,0.370000,1.485293,-0.326123,-0.151567,0.823089,-0.344916,0.361985,3.561435,4.223082,-1.343439,-2.763091,-2.424218,-2.309902,0.050488,0.021770,-0.004347,0.004758
404548014256221245!,thoughtful-zippy-butterfly,0.380000,1.520018,-0.282950,-0.164817,0.794700,-0.368421,0.338032,3.385662,4.380477,-1.283090,-2.918812,-2.273080,-2.477428,0.045350,0.020321,-0.004324,0.002082
404548014256221245!,thoughtful-zippy-butterfly,0.390000,1.552893,-0.238263,-0.177369,0.764829,-0.390347,0.312457,3.195297,4.525314,-1.202473,-3.060525,-2.108418,-2.634004,0.040357,0.018664,-0.004309,-0.000037
404548014256221245!,thoughtful-zippy-butterfly,0.400000,1.583787,-0.192223,-0.189015,0.733613,-0.410562,0.285375,2.993255,4.653630,-1.102216,-3.188430,-1.931372,-2.778611,0.035617,0.016857,-0.004308,-0.001600
404548014256221245!,thoughtful-zippy-butterfly,0.410000,1.612606,-0.145026,-0.199555,0.701185,-0.428948,0.256912,2.782858,4.762318,-0.983210,-3.302717,-1.743113,-2.910354,0.031215,0.014958,-0.004322,-0.002632
404548014256221245!,thoughtful-zippy-butterfly,0.420000,1.639283,-0.096881,-0.208809,0.667681,-0.445400,0.227198,2.567581,4.849068,-0.846574,-3.403599,-1.544858,-3.028539,0.027226,0.013031,-0.004356,-0.003189
404548014256221245!,thoughtful-zippy-butterfly,0.430000,1.663789,-0.048017,-0.216609,0.633233,-0.459824,0.196373,2.351032,4.912554,-0.693583,-3.491241,-1.337805,-3.132582,0.023696,0.011132,-0.004407,-0.003329
404548014256221245!,thoughtful-zippy-butterfly,0.440000,1.686127,0.001323,-0.222802,0.597974,-0.472138,0.164579,2.136763,4.952376,-0.525642,-3.565741,-1.123132,-3.222001,0.020648,0.009310,-0.004472,-0.003117
404548014256221245!,thoughtful-zippy-butterfly,0.450000,1.706336,0.050896,-0.227246,0.562035,-0.482271,0.131963,1.928122,4.968963,-0.344242,-3.627131,-0.901989,-3.296396,0.018088,0.007603,-0.004544,-0.002616
404548014256221245!,thoughtful-zippy-butterfly,0.460000,1.724504,0.100474,-0.229803,0.525543,-0.490165,0.098681,1.728036,4.963753,-0.150984,-3.675261,-0.675501,-3.355334,0.015986,0.006027,-0.004607,-0.001859
404548014256221245!,thoughtful-zippy-butterfly,0.470000,1.740737,0.149848,-0.230361,0.488629,-0.495772,0.064887,1.538925,4.938437,0.052482,-3.710007,-0.444803,-3.398533,0.014321,0.004603,-0.004652,-0.000903
404548014256221245!,thoughtful-zippy-butterfly,0.480000,1.755156,0.198833,-0.228829,0.451428,-0.499054,0.030740,1.362760,4.895099,0.264481,-3.731218,-0.211019,-3.425785,0.013062,0.003346,-0.004672,0.000203
404548014256221245!,thoughtful-zippy-butterfly,0.490000,1.767903,0.247259,-0.225128,0.414076,-0.499987,-0.003599,1.201046,4.836116,0.483332,-3.738721,0.024741,-3.436936,0.012173,0.002263,-0.004659,0.001419
404548014256221245!,thoughtful-zippy-butterfly,0.500000,1.779129,0.294987,-0.219201,0.376711,-0.498556,-0.037970,1.054828,4.764033,0.707359,-3.732332,0.261372,-3.431888,0.011614,0.001353,-0.004604,0.002713
404548014256221245!,thoughtful-zippy-butterfly,0.510000,1.788994,0.341899,-0.211005,0.339474,-0.494758,-0.072210,0.924717,4.681450,0.934895,-3.711873,0.497776,-3.410588,0.011342,0.000612,-0.004503,0.004057
404548014256221245!,thoughtful-zippy-butterfly,0.520000,1.797661,0.387958,-0.200513,0.302508,-0.488601,-0.106155,0.810623,4.591063,1.164206,-3.677157,0.732842,-3.373065,0.011301,0.000013,-0.004342,0.005462
404548014256221245!,thoughtful-zippy-butterfly,0.530000,1.805288,0.433065,-0.187718,0.265955,-0.480104,-0.139644,0.712637,4.495042,1.393746,-3.628108,0.965484,-3.319386,0.011468,-0.000435,-0.004127,0.006881
404548014256221245!,thoughtful-zippy-butterfly,0.540000,1.812028,0.477215,-0.172629,0.229963,-0.469296,-0.172515,0.630147,4.395754,1.621865,-3.564642,1.194611,-3.249714,0.011797,-0.000758,-0.003849,0.008323
404548014256221245!,thoughtful-zippy-butterfly,0.550000,1.818030,0.520388,-0.155270,0.194677,-0.456218,-0.204610,0.562553,4.295183,1.847033,-3.486755,1.419136,-3.164243,0.012257,-0.000965,-0.003510,0.009773
404548014256221245!,thoughtful-zippy-butterfly,0.560000,1.823436,0.562577,-0.135678,0.160242,-0.440922,-0.235771,0.509113,4.195148,2.067767,-3.394495,1.637963,-3.063205,0.012821,-0.001067,-0.003112,0.011221
404548014256221245!,thoughtful-zippy-butterfly,0.570000,1.828382,0.603792,-0.113906,0.126801,-0.423470,-0.265844,0.468923,4.097296,2.282614,-3.287982,1.849982,-2.946892,0.013460,-0.001076,-0.002655,0.012658
404548014256221245!,thoughtful-zippy-butterfly,0.580000,1.832994,0.644058,-0.090020,0.094496,-0.403937,-0.294678,0.440960,4.003063,2.490152,-3.167418,2.054068,-2.815662,0.014149,-0.001007,-0.002143,0.014080
404548014256221245!,thoughtful-zippy-butterfly,0.590000,1.837389,0.683415,-0.064101,0.063467,-0.382407,-0.322126,0.424114,3.913666,2.688991,-3.033101,2.249079,-2.669956,0.014864,-0.000874,-0.001579,0.015485
404548014256221245!,thoughtful-zippy-butterfly,0.600000,1.841672,0.721915,-0.036243,0.033848,-0.358976,-0.348046,0.417207,3.830096,2.877774,-2.885438,2.433868,-2.510300,0.015584,-0.000691,-0.000969,0.016868
404548014256221245!,thoughtful-zippy-butterfly,0.610000,1.845936,0.759617,-0.006554,0.005773,-0.333754,-0.372302,0.419024,3.753118,3.055184,-2.724958,2.607278,-2.337322,0.016290,-0.000470,-0.000318,0.018225
404548014256221245!,thoughtful-zippy-butterfly,0.620000,1.850264,0.796587,0.024848,-0.020636,-0.306859,-0.394763,0.428324,3.683276,3.219947,-2.552324,2.768160,-2.151762,0.016963,-0.000225,0.000366,0.019550
404548014256221245!,thoughtful-zippy-butterfly,0.630000,1.854725,0.832897,0.057827,-0.045260,-0.278424,-0.415307,0.443859,3.620894,3.370843,-2.368346,2.915378,-1.954480,0.017588,0.000032,0.001075,0.020836
404548014256221245!,thoughtful-zippy-butterfly,0.640000,1.859376,0.868618,0.092241,-0.067990,-0.248590,-0.433824,0.464389,3.566081,3.506713,-2.173988,3.047829,-1.746465,0.018148,0.000288,0.001798,0.022075
404548014256221245!,thoughtful-zippy-butterfly,0.650000,1.864262,0.903824,0.127933,-0.088729,-0.217511,-0.450210,0.488691,3.518736,3.626479,-1.970373,3.164457,-1.528848,0.018628,0.000534,0.002526,0.023257
404548014256221245!,thoughtful-zippy-butterfly,0.660000,1.869418,0.938585,0.164737,-0.107390,-0.185350,-0.464376,0.515572,3.478552,3.729155,-1.758792,3.264278,-1.302898,0.019017,0.000758,0.003246,0.024371
404548014256221245!,thoughtful-zippy-butterfly,0.670000,1.874864,0.972966,0.202477,-0.123902,-0.152282,-0.476246,0.543885,3.445025,3.813872,-1.540702,3.346404,-1.070029,0.019301,0.000950,0.003948,0.025403
404548014256221245!,thoughtful-zippy-butterfly,0.680000,1.880615,1.007026,0.240969,-0.138208,-0.118487,-0.485758,0.572541,3.417463,3.879893,-1.317715,3.410066,-0.831793,0.019470,0.001101,0.004617,0.026342
404548014256221245!,thoughtful-zippy-butterfly,0.690000,1.886672,1.040815,0.280023,-0.150268,-0.084156,-0.492867,0.600521,3.395003,3.926641,-1.091595,3.454644,-0.589870,0.019516,0.001204,0.005242,0.027173
404548014256221245!,thoughtful-zippy-butterfly,0.700000,1.893032,1.074368,0.319442,-0.160062,-0.049481,-0.497546,0.626894,3.376632,3.953716,-0.864234,3.479697,-0.346056,0.019435,0.001253,0.005810,0.027884
404548014256221245!,thoughtful-zippy-butterfly,0.710000,1.899683,1.107710,0.359029,-0.167588,-0.014663,-0.499785,0.650821,3.361213,3.960919,-0.637628,3.484982,-0.102242,0.019226,0.001242,0.006310,0.028465
404548014256221245!,thoughtful-zippy-butterfly,0.720000,1.906613,1.140844,0.398582,-0.172869,0.020098,-0.499596,0.671574,3.347515,3.948264,-0.413849,3.470485,0.139615,0.018890,0.001170,0.006730,0.028906
404548014256221245!,thoughtful-zippy-butterfly,0.730000,1.913749,1.173830,0.437903,-0.175940,0.054609,-0.497009,0.688452,3.334272,3.916064,-0.194815,3.436581,0.377594,0.018423,0.001020,0.007067,0.029227
404548014256221245!,thoughtful-zippy-butterfly,0.740000,1.921086,1.206621,0.476798,-0.176865,0.088670,-0.492075,0.701109,3.320089,3.864801,0.017357,3.383714,0.609735,0.017850,0.000808,0.007309,0.029407
404548014256221245!,thoughtful-zippy-butterfly,0.750000,1.928518,1.239276,0.515083,-0.175716,0.122107,-0.484861,0.709125,3.303695,3.795290,0.220925,3.312772,0.834288,0.017171,0.000519,0.007459,0.029479
404548014256221245!,thoughtful-zippy-butterfly,0.760000,1.936000,1.271762,0.552581,-0.172589,0.154744,-0.475452,0.712421,3.283764,3.708509,0.414071,3.224739,1.049546,0.016419,0.000168,0.007511,0.029441
404548014256221245!,thoughtful-zippy-butterfly,0.770000,1.943488,1.304035,0.589126,-0.167598,0.186415,-0.463950,0.710978,3.259131,3.605631,0.595147,3.120823,1.253949,0.015624,-0.000234,0.007464,0.029303
404548014256221245!,thoughtful-zippy-butterfly,0.780000,1.950936,1.336037,0.624564,-0.160872,0.216970,-0.450471,0.704856,3.228793,3.488002,0.762721,3.002434,1.446131,0.014820,-0.000675,0.007323,0.029084
404548014256221245!,thoughtful-zippy-butterfly,0.790000,1.958299,1.367706,0.658757,-0.152553,0.246273,-0.435143,0.694192,3.191921,3.357111,0.915614,2.871149,1.624950,0.014039,-0.001146,0.007093,0.028810
404548014256221245!,thoughtful-zippy-butterfly,0.800000,1.965535,1.398970,0.691579,-0.142793,0.274203,-0.418106,0.679197,3.147883,3.214548,1.052927,2.728671,1.789520,0.013317,-0.001636,0.006782,0.028509
404548014256221245!,thoughtful-zippy-butterfly,0.810000,1.972569,1.429794,0.722928,-0.131742,0.300665,-0.399500,0.660163,3.096170,3.061988,1.174077,2.576767,1.939286,0.012686,-0.002133,0.006402,0.028215
404548014256221245!,thoughtful-zippy-butterfly,0.820000,1.979361,1.460102,0.752713,-0.119561,0.325577,-0.379473,0.637421,3.036533,2.901079,1.278747,2.417226,2.073908,0.012179,-0.002626,0.005965,0.027959
404548014256221245!,thoughtful-zippy-butterfly,0.830000,1.985877,1.489811,0.780860,-0.106414,0.348869,-0.358176,0.611300,2.968954,2.733431,1.366923,2.251817,2.193308,0.011827,-0.003104,0.005485,0.027771
404548014256221245!,thoughtful-zippy-butterfly,0.840000,1.992087,1.518841,0.807308,-0.092463,0.370494,-0.335759,0.582129,2.893610,2.560572,1.438877,2.082249,2.297658,0.011650,-0.003559,0.004975,0.027682
404548014256221245!,thoughtful-zippy-butterfly,0.850000,1.997965,1.547113,0.832013,-0.077866,0.390416,-0.312371,0.550227,2.810853,2.383921,1.495144,1.910120,2.387361,0.011667,-0.003982,0.004451,0.027720
404548014256221245!,thoughtful-zippy-butterfly,0.860000,2.003487,1.574553,0.854942,-0.062776,0.408617,-0.288152,0.515895,2.721177,2.204750,1.536488,1.736890,2.463015,0.011888,-0.004371,0.003925,0.027909
404548014256221245!,thoughtful-zippy-butterfly,0.870000,2.008630,1.601093,0.876076,-0.047336,0.425093,-0.263241,0.479410,2.625189,2.024171,1.563859,1.563851,2.525377,0.012315,-0.004722,0.003412,0.028268
