ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4
790691363450493838!,talented-zippy-butterfly,0.000000,-0.000349,2.144941,-0.918189,1.747991,-0.600088,0.799934,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.108702,-0.105626,0.182510,0.632679
790691363450493838!,talented-zippy-butterfly,0.010000,-0.001835,2.136243,-0.922509,1.745912,-0.601589,0.798806,-0.301355,-1.737886,-0.861704,-0.416188,-0.299821,-0.225798,0.134865,0.018258,0.259595,0.572625
790691363450493838!,talented-zippy-butterfly,0.020000,-0.010686,2.111610,-0.938824,1.739373,-0.603731,0.797188,-1.472809,-3.194675,-2.392172,-0.902331,-0.128318,-0.097178,-0.020682,0.015697,0.212141,0.333041
790691363450493838!,talented-zippy-butterfly,0.030000,-0.029848,2.073539,-0.968439,1.728508,-0.603188,0.797599,-2.361653,-4.431875,-3.515668,-1.292603,0.238542,0.180398,-0.141746,0.016383,0.176008,0.142477
790691363450493838!,talented-zippy-butterfly,0.040000,-0.056825,2.023850,-1.007532,1.713759,-0.598111,0.801413,-3.029977,-5.531845,-4.282996,-1.690218,0.779005,0.581387,-0.243101,0.020237,0.146024,-0.023195
790691363450493838!,talented-zippy-butterfly,0.050000,-0.089474,1.963603,-1.052617,1.694613,-0.586797,0.809734,-3.485256,-6.545707,-4.704035,-2.181758,1.485707,1.076660,-0.333913,0.027138,0.119777,-0.177553
790691363450493838!,talented-zippy-butterfly,0.060000,-0.125492,1.893473,-1.100136,1.669713,-0.567579,0.823319,-3.688216,-7.511795,-4.758015,-2.852012,2.356090,1.624238,-0.419250,0.037265,0.097208,-0.326575
790691363450493838!,talented-zippy-butterfly,0.070000,-0.161992,1.813741,-1.146217,1.636822,-0.538846,0.842405,-3.562101,-8.471563,-4.403817,-3.788975,3.379050,2.161415,-0.501310,0.051397,0.080221,-0.471218
790691363450493838!,talented-zippy-butterfly,0.080000,-0.195208,1.724235,-1.186536,1.592828,-0.499205,0.866484,-3.011240,-9.472091,-3.594215,-5.074145,4.519600,2.603865,-0.579860,0.071013,0.071762,-0.609534
790691363450493838!,talented-zippy-butterfly,0.090000,-0.220452,1.624336,-1.216356,1.533920,-0.447805,0.894131,-1.953627,-10.552394,-2.298195,-6.757094,5.705596,2.857518,-0.651100,0.097801,0.073829,-0.737597
790691363450493838!,talented-zippy-butterfly,0.100000,-0.232437,1.513175,-1.230806,1.456089,-0.384727,0.923030,-0.359578,-11.715541,-0.524853,-8.825081,6.828417,2.846145,-0.704598,0.132282,0.084686,-0.847793
790691363450493838!,talented-zippy-butterfly,0.110000,-0.225991,1.390137,-1.225408,1.355996,-0.311411,0.950275,1.724610,-12.902088,1.665937,-11.184556,7.759475,2.542826,-0.719936,0.172109,0.096817,-0.925000
790691363450493838!,talented-zippy-butterfly,0.120000,-0.196760,1.255700,-1.196469,1.231582,-0.230458,0.973082,4.177031,-13.967147,4.169512,-13.655477,8.353035,1.978277,-0.665387,0.211389,0.097711,-0.942534
790691363450493838!,talented-zippy-butterfly,0.130000,-0.141971,1.112255,-1.141545,1.083080,-0.145953,0.989292,6.811811,-14.680584,6.849433,-15.969557,8.471560,1.249834,-0.507261,0.241932,0.074556,-0.867456
790691363450493838!,talented-zippy-butterfly,0.140000,-0.061021,0.964693,-1.059722,0.913732,-0.063278,0.997996,9.405104,-14.761890,9.559829,-17.794082,8.012117,0.508011,-0.230606,0.257116,0.021857,-0.678876
790691363450493838!,talented-zippy-butterfly,0.150000,0.044556,0.820759,-0.951337,0.730224,0.011605,0.999933,11.726334,-13.933143,12.166057,-18.770158,6.931296,-0.080441,0.141942,0.255902,-0.052100,-0.386362
790691363450493838!,talented-zippy-butterfly,0.160000,0.171079,0.690500,-0.817921,0.542586,0.072688,0.997355,13.584331,-12.015019,14.568124,-18.592953,5.270195,-0.384096,0.551281,0.243836,-0.127186,-0.033767
790691363450493838!,talented-zippy-butterfly,0.170000,0.313379,0.584788,-0.661770,0.363238,0.114693,0.993401,14.863111,-8.976368,16.700165,-17.062148,3.147793,-0.363428,0.936315,0.228591,-0.182562,0.329738
790691363450493838!,talented-zippy-butterfly,0.180000,0.465286,0.514595,-0.485975,0.206208,0.133768,0.991013,15.489585,-4.931135,18.467343,-14.116428,0.713065,-0.096250,1.269842,0.214157,-0.209247,0.680653
790691363450493838!,talented-zippy-butterfly,0.190000,0.619978,0.488979,-0.295005,0.085485,0.127523,0.991836,15.380041,-0.077948,19.669342,-9.804598,-1.880948,0.241838,1.569158,0.197552,-0.213411,1.034080
790691363450493838!,talented-zippy-butterfly,0.200000,0.769329,0.514717,-0.096250,0.013944,0.095084,0.995469,14.360941,5.304027,19.936507,-4.333260,-4.495463,0.429393,1.864179,0.170650,-0.209338,1.416395
790691363450493838!,talented-zippy-butterfly,0.210000,0.902921,0.595192,0.098434,0.001222,0.036814,0.999322,12.184058,10.795149,18.787231,1.851639,-7.017600,0.258518,2.159399,0.123952,-0.209583,1.831677
790691363450493838!,talented-zippy-butterfly,0.220000,1.008107,0.728576,0.272660,0.050994,-0.045730,0.998954,8.661811,15.786710,15.815275,8.022352,-9.343640,-0.427729,2.419366,0.049321,-0.219173,2.249553
790691363450493838!,talented-zippy-butterfly,0.230000,1.071574,0.906041,0.407440,0.158427,-0.149918,0.988698,3.867982,19.518609,10.934032,13.241576,-11.356554,-1.722015,2.585506,-0.057771,-0.235806,2.618747
790691363450493838!,talented-zippy-butterfly,0.240000,1.082697,1.111147,0.485317,0.309189,-0.271930,0.962317,-1.735774,21.252378,4.531093,16.584181,-12.922298,-3.651564,2.609061,-0.195615,-0.252717,2.893280
790691363450493838!,talented-zippy-butterfly,0.250000,1.037241,1.321347,0.495040,0.481098,-0.406587,0.913612,-7.342177,20.512140,-2.561920,17.427505,-13.886493,-6.179945,2.480342,-0.353754,-0.262148,3.053914
790691363450493838!,talented-zippy-butterfly,0.260000,0.939876,1.511426,0.434921,0.648280,-0.547096,0.837070,-12.021828,17.260981,-9.298768,15.667946,-14.080040,-9.202500,2.235847,-0.512136,-0.257994,3.110056
790691363450493838!,talented-zippy-butterfly,0.270000,0.803661,1.658289,0.313394,0.786717,-0.684917,0.728621,-15.048525,11.919877,-14.750252,11.752096,-13.336791,-12.536811,1.938786,-0.643617,-0.237397,3.080980
790691363450493838!,talented-zippy-butterfly,0.280000,0.646839,1.744483,0.146331,0.878751,-0.809993,0.586440,-16.142170,5.211773,-18.360876,6.494482,-11.514548,-15.903925,1.645744,-0.719878,-0.201157,2.970609
790691363450493838!,talented-zippy-butterfly,0.290000,0.487579,1.760572,-0.047169,0.915560,-0.911160,0.412053,-15.528819,-2.055251,-20.036105,0.797087,-8.551558,-18.909782,1.384341,-0.719681,-0.154086,2.759062
790691363450493838!,talented-zippy-butterfly,0.300000,0.340166,1.704581,-0.248965,0.896543,-0.977395,0.211423,-13.818298,-9.149453,-20.059898,-4.598780,-4.559630,-21.078888,1.160969,-0.640339,-0.105637,2.433036
790691363450493838!,talented-zippy-butterfly,0.310000,0.211925,1.581003,-0.444884,0.826945,-0.999988,-0.004835,-11.757754,-15.519557,-18.913789,-9.286415,0.106278,-21.979820,0.987079,-0.507262,-0.069786,2.033766
790691363450493838!,talented-zippy-butterfly,0.320000,0.103356,1.398805,-0.625606,0.714252,-0.974870,-0.222773,-9.892371,-20.843952,-17.028958,-13.244397,4.893849,-21.415861,0.897640,-0.367676,-0.062858,1.668066
790691363450493838!,talented-zippy-butterfly,0.330000,0.011695,1.169536,-0.784642,0.564682,-0.903680,-0.428208,-8.258739,-24.997810,-14.572128,-16.685753,9.260461,-19.543069,0.940252,-0.260298,-0.098356,1.443981
790691363450493838!,talented-zippy-butterfly,0.340000,-0.063297,0.905471,-0.915614,0.382445,-0.792447,-0.609940,-6.420651,-27.886878,-11.409991,-19.756293,12.885378,-16.740948,1.136284,-0.188635,-0.178961,1.387625
790691363450493838!,talented-zippy-butterfly,0.350000,-0.115656,0.619300,-1.009838,0.171597,-0.648804,-0.760956,-3.820877,-29.304577,-7.322865,-22.310175,15.708768,-13.393569,1.446119,-0.129643,-0.288553,1.435119
790691363450493838!,talented-zippy-butterfly,0.360000,-0.136707,0.327178,-1.058406,-0.060730,-0.480628,-0.876925,-0.222854,-28.986193,-2.327971,-23.984275,17.784039,-9.747143,1.771989,-0.065669,-0.393120,1.498089
790691363450493838!,talented-zippy-butterfly,0.370000,-0.117686,0.047152,-1.053988,-0.304043,-0.295237,-0.955424,4.116399,-26.860793,3.219110,-24.468584,19.146035,-5.916342,2.006457,0.002211,-0.457887,1.516250
790691363450493838!,talented-zippy-butterfly,0.380000,-0.054007,-0.203884,-0.993640,-0.546068,-0.100064,-0.994981,8.625073,-23.206470,8.812200,-23.720320,19.731855,-1.984410,2.091311,0.063823,-0.469065,1.468126
790691363450493838!,talented-zippy-butterfly,0.390000,0.053114,-0.413191,-0.878999,-0.775359,0.096507,-0.995332,12.736592,-18.540299,14.055457,-21.934668,19.426398,1.883574,2.038864,0.112197,-0.437864,1.363405
790691363450493838!,talented-zippy-butterfly,0.400000,0.197770,-0.573291,-0.714560,-0.982746,0.285146,-0.958484,16.092378,-13.378958,18.777663,-19.362189,18.176531,5.407451,1.904848,0.147177,-0.387761,1.226216
790691363450493838!,talented-zippy-butterfly,0.410000,0.371459,-0.680907,-0.505663,-1.161173,0.456753,-0.889594,18.537389,-8.072713,22.960894,-16.151480,16.074263,8.253160,1.745783,0.172834,-0.340813,1.075329
790691363450493838!,talented-zippy-butterfly,0.420000,0.564596,-0.735361,-0.257679,-1.304452,0.603994,-0.796989,19.993870,-2.777650,26.588246,-12.305817,13.372601,10.134367,1.588100,0.194069,-0.311573,0.906854
790691363450493838!,talented-zippy-butterfly,0.430000,0.766553,-0.737208,0.023157,-1.406061,0.722548,-0.691321,20.332186,2.431106,29.512405,-7.772243,10.429625,10.900732,1.421782,0.214165,-0.306970,0.692355
790691363450493838!,talented-zippy-butterfly,0.440000,0.965047,-0.688155,0.328334,-1.459256,0.811822,-0.583905,19.338686,7.393034,31.428855,-2.590054,7.602548,10.570073,1.214323,0.234095,-0.327832,0.393093
790691363450493838!,talented-zippy-butterfly,0.450000,1.146340,-0.592127,0.646163,-1.458050,0.874773,-0.484532,16.809953,11.756737,31.969634,3.000182,5.150197,9.298153,0.936688,0.253245,-0.369664,-0.014317
790691363450493838!,talented-zippy-butterfly,0.460000,1.294664,-0.457732,0.961384,-1.400560,0.915816,-0.401599,12.722400,14.977763,30.859010,8.566654,3.203403,7.305116,0.587281,0.271266,-0.423527,-0.516816
790691363450493838!,talented-zippy-butterfly,0.470000,1.395564,-0.299176,1.256955,-1.289523,0.940038,-0.341070,7.352747,16.516941,28.018379,13.624591,1.759902,4.850544,0.203315,0.288971,-0.474493,-1.051849
790691363450493838!,talented-zippy-butterfly,0.480000,1.438805,-0.134928,1.516009,-1.131943,0.951968,-0.306196,1.249160,16.083911,23.548318,17.810647,0.711298,2.211436,-0.155016,0.308008,-0.502253,-1.524941
790691363450493838!,talented-zippy-butterfly,0.490000,1.420254,0.015554,1.723102,-0.937485,0.954726,-0.297486,-4.934072,13.795379,17.628408,20.965102,-0.099274,-0.318601,-0.441706,0.329164,-0.487319,-1.856688
790691363450493838!,talented-zippy-butterfly,0.500000,1.342007,0.136034,1.864636,-0.716526,0.950002,-0.312243,-10.630221,10.122373,10.464450,23.053644,-0.795568,-2.420529,-0.652292,0.350015,-0.423153,-2.027057
790691363450493838!,talented-zippy-butterfly,0.510000,1.211125,0.215648,1.929569,-0.479937,0.938781,-0.344515,-15.387294,5.633798,2.405075,24.010892,-1.397096,-3.806992,-0.798777,0.364197,-0.328345,-2.065765
790691363450493838!,talented-zippy-butterfly,0.520000,1.038916,0.248429,1.911551,-0.239944,0.922333,-0.386396,-18.790352,0.792753,-5.973972,23.693323,-1.822244,-4.349726,-0.858951,0.364805,-0.245160,-2.001442
790691363450493838!,talented-zippy-butterfly,0.530000,0.841049,0.232204,1.811199,-0.010301,0.903188,-0.429246,-20.454875,-4.107287,-13.947077,21.927369,-1.943392,-4.089139,-0.765800,0.348530,-0.214174,-1.818320
790691363450493838!,talented-zippy-butterfly,0.540000,0.637080,0.167417,1.636727,0.193978,0.885031,-0.465531,-20.016819,-8.839876,-20.746218,18.611530,-1.655627,-3.147546,-0.463619,0.318891,-0.245505,-1.478575
790691363450493838!,talented-zippy-butterfly,0.550000,0.449563,0.057378,1.403417,0.357646,0.872017,-0.489475,-17.209857,-13.054571,-25.676416,13.840933,-0.940665,-1.675829,0.007154,0.286625,-0.309775,-1.001467
790691363450493838!,talented-zippy-butterfly,0.560000,0.301719,-0.089735,1.131903,0.467754,0.867886,-0.496764,-12.126639,-16.163336,-28.321828,7.953701,0.099549,0.173921,0.483448,0.265706,-0.356692,-0.513630
