ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
2290677045606007093!,great-bipedal-bumblebee,0.000000,1.382094,0.434754,0.000000,0.434754,0.000000,0.000000,0.000000,0.000000,0.045399,0.152588
2290677045606007093!,great-bipedal-bumblebee,0.010000,1.391066,0.439070,0.000000,0.439070,1.794405,0.863328,0.000000,0.863328,0.317255,0.406630
2290677045606007093!,great-bipedal-bumblebee,0.020000,1.446119,0.472783,0.000000,0.472783,9.215830,5.878872,0.000000,5.878872,0.277555,0.350985
2290677045606007093!,great-bipedal-bumblebee,0.030000,1.570646,0.553452,0.000000,0.553452,15.671628,10.242932,0.000000,10.242932,0.242021,0.301189
2290677045606007093!,great-bipedal-bumblebee,0.040000,1.755436,0.674865,0.000000,0.674865,21.263206,14.023896,0.000000,14.023896,0.210241,0.256662
2290677045606007093!,great-bipedal-bumblebee,0.050000,1.992329,0.831515,0.000000,0.831515,26.081925,17.283381,0.000000,17.283381,0.181840,0.216880
2290677045606007093!,great-bipedal-bumblebee,0.060000,2.274016,1.018469,0.000000,1.018469,30.210056,20.076873,0.000000,20.076873,0.156483,0.181370
2290677045606007093!,great-bipedal-bumblebee,0.070000,2.593755,1.231180,0.000000,1.231180,33.721669,22.454327,0.000000,22.454327,0.133868,0.149709
2290677045606007093!,great-bipedal-bumblebee,0.080000,2.658780,1.465762,0.000000,1.465762,36.683500,24.460754,0.000000,24.460754,0.110479,0.138825
2290677045606007093!,great-bipedal-bumblebee,0.090000,2.658780,1.718749,0.000000,1.718749,2.562843,26.136644,0.000000,26.136644,-0.078663,1.028565
2290677045606007093!,great-bipedal-bumblebee,0.100000,2.658780,1.987024,0.000000,1.987024,6.922357,27.518408,0.000000,27.518408,-0.088536,0.973886
2290677045606007093!,great-bipedal-bumblebee,0.110000,2.658780,2.267810,0.000000,2.267810,6.365352,28.638791,0.000000,28.638791,-0.117486,1.033238
2290677045606007093!,great-bipedal-bumblebee,0.120000,2.658780,2.558640,0.000000,2.558640,6.436520,29.527233,0.000000,29.527233,-0.140557,1.072056
2290677045606007093!,great-bipedal-bumblebee,0.130000,2.658780,2.659029,0.000000,2.659029,6.427427,30.210193,0.000000,30.210193,-0.154148,1.095764
2290677045606007093!,great-bipedal-bumblebee,0.140000,2.658780,2.659029,0.000000,2.659029,6.428588,0.563954,0.000000,0.563954,0.277134,0.348189
2290677045606007093!,great-bipedal-bumblebee,0.150000,2.658780,2.659029,0.000000,2.659029,6.428440,4.351782,0.000000,4.351782,0.222030,0.443705
2290677045606007093!,great-bipedal-bumblebee,0.160000,2.658780,2.659029,0.000000,2.659029,6.428459,3.867820,0.000000,3.867820,0.229071,0.431501
2290677045606007093!,great-bipedal-bumblebee,0.170000,2.658780,2.659029,0.000000,2.659029,6.428457,3.929655,0.000000,3.929655,0.228171,0.433060
2290677045606007093!,great-bipedal-bumblebee,0.180000,2.658780,2.659029,0.000000,2.659029,6.428457,3.921754,0.000000,3.921754,0.228286,0.432861
2290677045606007093!,great-bipedal-bumblebee,0.190000,2.658780,2.659029,0.000000,2.659029,6.428457,3.922764,0.000000,3.922764,0.228271,0.432886
2290677045606007093!,great-bipedal-bumblebee,0.200000,2.658780,2.659029,0.000000,2.659029,6.428457,3.922635,0.000000,3.922635,0.228273,0.432883
2290677045606007093!,great-bipedal-bumblebee,0.210000,2.658780,2.659029,0.000000,2.659029,6.428457,3.922651,0.000000,3.922651,0.228273,0.432884
2290677045606007093!,great-bipedal-bumblebee,0.220000,2.658780,2.659029,0.000000,2.659029,6.428457,3.922649,0.000000,3.922649,0.228273,0.432884
2290677045606007093!,great-bipedal-bumblebee,0.230000,2.658780,2.659029,0.000000,2.659029,6.428457,3.922650,0.000000,3.922650,0.228273,0.432884
2290677045606007093!,great-bipedal-bumblebee,0.240000,2.658780,2.659029,0.000000,2.659029,6.428457,3.922650,0.000000,3.922650,0.228273,0.432884
2290677045606007093!,great-bipedal-bumblebee,0.250000,2.658780,2.659029,0.000000,2.659029,6.428457,3.922650,0.000000,3.922650,0.228273,0.432884
2290677045606007093!,great-bipedal-bumblebee,0.260000,2.658780,2.659029,0.000000,2.659029,6.428457,3.922650,0.000000,3.922650,0.228273,0.432884
2290677045606007093!,great-bipedal-bumblebee,0.270000,2.658780,2.659029,0.000000,2.659029,6.428457,3.922650,0.000000,3.922650,0.228273,0.432884
