ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3
1626808365280848577!,great-mauve-beetle,0.000000,1.757976,-0.986013,0.335500,-1.461999,0.000000,0.000000,0.000000,0.000000,0.131889,0.865542,-0.881241
1626808365280848577!,great-mauve-beetle,0.010000,1.747756,-0.997187,0.322543,-1.464912,-2.045156,-2.231101,-2.590193,-0.570306,-0.166218,0.142931,-0.680955
1626808365280848577!,great-mauve-beetle,0.020000,1.713961,-1.013490,0.285916,-1.472499,-4.702298,-1.020867,-4.734918,-0.919383,-0.175022,0.170286,-0.660077
1626808365280848577!,great-mauve-beetle,0.030000,1.654946,-1.018841,0.228407,-1.482508,-7.088735,-0.033384,-6.761017,-1.041657,-0.191139,0.148556,-0.608282
1626808365280848577!,great-mauve-beetle,0.040000,1.573449,-1.014466,0.151599,-1.492320,-9.188503,0.934200,-8.581556,-0.871767,-0.208259,0.121963,-0.552598
1626808365280848577!,great-mauve-beetle,0.050000,1.472366,-1.000341,0.057641,-1.498892,-10.979695,1.911613,-10.168241,-0.391030,-0.225333,0.101244,-0.498162
1626808365280848577!,great-mauve-beetle,0.060000,1.354953,-0.976485,-0.051049,-1.499131,-12.424944,2.878874,-11.500367,0.391615,-0.242331,0.087721,-0.445311
1626808365280848577!,great-mauve-beetle,0.070000,1.224938,-0.943188,-0.171791,-1.490130,-13.481927,3.808967,-12.557277,1.447681,-0.258935,0.080981,-0.394909
1626808365280848577!,great-mauve-beetle,0.080000,1.086422,-0.901000,-0.301739,-1.469338,-14.117623,4.678447,-13.322280,2.735829,-0.274460,0.080195,-0.348824
1626808365280848577!,great-mauve-beetle,0.090000,0.943742,-0.850671,-0.437910,-1.434655,-14.319879,5.471272,-13.785920,4.207977,-0.288080,0.084354,-0.309311
1626808365280848577!,great-mauve-beetle,0.100000,0.801236,-0.793052,-0.577246,-1.384481,-14.102296,6.178527,-13.946217,5.814743,-0.299124,0.092273,-0.278132
1626808365280848577!,great-mauve-beetle,0.110000,0.662958,-0.729013,-0.716694,-1.317706,-13.501961,6.795690,-13.806439,7.509261,-0.307295,0.102616,-0.255911
1626808365280848577!,great-mauve-beetle,0.120000,0.532470,-0.659439,-0.853264,-1.233670,-12.572380,7.319459,-13.371767,9.248542,-0.312731,0.114015,-0.241983
