ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
1233731688818897850!,rebel-devious-beetle,0.000000,0.710217,-1.364609,1.673314,-1.095454,0.000000,0.000000,0.000000,0.000000,0.867229,-0.152255
1233731688818897850!,rebel-devious-beetle,0.010000,0.716892,-1.353448,1.680164,-1.084919,1.329904,2.229457,1.362984,2.110791,0.364920,-0.341773
1233731688818897850!,rebel-devious-beetle,0.020000,0.730437,-1.316123,1.696757,-1.058780,1.382640,5.232425,1.945708,3.118113,0.163108,-0.311045
1233731688818897850!,rebel-devious-beetle,0.030000,0.743168,-1.251419,1.717247,-1.025213,1.188855,7.699315,2.143177,3.589853,0.013617,-0.283120
1233731688818897850!,rebel-devious-beetle,0.040000,0.753647,-1.164166,1.738226,-0.989227,0.960474,9.730647,2.049528,3.601342,-0.113442,-0.256869
1233731688818897850!,rebel-devious-beetle,0.050000,0.762374,-1.058487,1.757046,-0.955400,0.869658,11.365959,1.719819,3.162864,-0.236592,-0.232471
1233731688818897850!,rebel-devious-beetle,0.060000,0.771545,-0.938490,1.771494,-0.928337,1.076544,12.597022,1.181551,2.254688,-0.365694,-0.210845
1233731688818897850!,rebel-devious-beetle,0.070000,0.785027,-0.808485,1.779577,-0.912746,1.750849,13.364983,0.439609,0.857104,-0.504516,-0.193397
1233731688818897850!,rebel-devious-beetle,0.080000,0.808385,-0.673599,1.779175,-0.913529,3.076020,13.542989,-0.522714,-1.018030,-0.651054,-0.181480
1233731688818897850!,rebel-devious-beetle,0.090000,0.848982,-0.540725,1.767921,-0.935123,5.213570,12.909775,-1.734761,-3.279699,-0.794431,-0.175270
1233731688818897850!,rebel-devious-beetle,0.100000,0.915329,-0.419513,1.743213,-0.980413,8.206264,11.141740,-3.213422,-5.713589,-0.907305,-0.171917
1233731688818897850!,rebel-devious-beetle,0.110000,1.015154,-0.323106,1.702626,-1.049317,11.829498,7.887758,-4.897860,-7.947288,-0.935033,-0.163115
1233731688818897850!,rebel-devious-beetle,0.120000,1.151990,-0.267323,1.645208,-1.137229,15.462172,3.007678,-6.546567,-9.470792,-0.788742,-0.133524
1233731688818897850!,rebel-devious-beetle,0.130000,1.321262,-0.266596,1.573779,-1.234188,18.162480,-3.031356,-7.662637,-9.771034,-0.365184,-0.063771
1233731688818897850!,rebel-devious-beetle,0.140000,1.509338,-0.325766,1.497508,-1.325696,19.150332,-8.861431,-7.564932,-8.545352,0.371297,0.057155
1233731688818897850!,rebel-devious-beetle,0.150000,1.698323,-0.433655,1.430972,-1.397254,18.455305,-12.594910,-5.742608,-5.881183,1.263691,0.210772
1233731688818897850!,rebel-devious-beetle,0.160000,1.875944,-0.562792,1.390813,-1.437233,17.051951,-12.924332,-2.275275,-2.201787,1.932788,0.339098
1233731688818897850!,rebel-devious-beetle,0.170000,2.040585,-0.679568,1.389461,-1.438540,15.975838,-10.217588,1.912571,1.847320,2.034447,0.376280
1233731688818897850!,rebel-devious-beetle,0.180000,2.197008,-0.762585,1.427311,-1.400994,15.399116,-6.252227,5.535665,5.639648,1.601319,0.307910
1233731688818897850!,rebel-devious-beetle,0.190000,2.348134,-0.808119,1.494534,-1.329048,14.839789,-2.802708,7.786089,8.755569,1.005267,0.186007
1233731688818897850!,rebel-devious-beetle,0.200000,2.492279,-0.824901,1.577661,-1.229221,13.901911,-0.600780,8.700112,11.166280,0.584235,0.077889
1233731688818897850!,rebel-devious-beetle,0.210000,2.625206,-0.824333,1.665899,-1.106698,12.473583,0.607688,8.767733,13.197962,0.411818,0.010497
1233731688818897850!,rebel-devious-beetle,0.220000,2.741083,-0.814224,1.752359,-0.963970,10.475433,1.402242,8.380481,15.234513,0.383629,-0.031758
1233731688818897850!,rebel-devious-beetle,0.230000,2.833040,-0.796442,1.833046,-0.799965,7.679035,2.195883,7.625227,17.472512,0.404466,-0.072219
1233731688818897850!,rebel-devious-beetle,0.240000,2.891448,-0.769672,1.903851,-0.612659,3.753509,3.244058,6.399352,19.886134,0.423527,-0.129918
1233731688818897850!,rebel-devious-beetle,0.250000,2.903600,-0.730490,1.959311,-0.401374,-1.548333,4.720531,4.553367,22.227322,0.410049,-0.217064
1233731688818897850!,rebel-devious-beetle,0.260000,2.855777,-0.674201,1.992859,-0.168857,-8.149944,6.685329,2.040934,24.087158,0.345128,-0.326843
1233731688818897850!,rebel-devious-beetle,0.270000,2.737163,-0.596174,1.998483,0.077882,-15.555720,9.053840,-0.975510,25.031886,0.215623,-0.422966
1233731688818897850!,rebel-devious-beetle,0.280000,2.544115,-0.493237,1.972984,0.327621,-22.899615,11.628753,-4.102711,24.707124,-0.003830,-0.450071
1233731688818897850!,rebel-devious-beetle,0.290000,2.283078,-0.364887,1.918191,0.566165,-29.091444,14.140888,-6.757247,22.893838,-0.334760,-0.363775
1233731688818897850!,rebel-devious-beetle,0.300000,1.971176,-0.213406,1.842364,0.778263,-32.980874,16.329759,-8.254849,19.541509,-0.768452,-0.170734
1233731688818897850!,rebel-devious-beetle,0.310000,1.636527,-0.042803,1.760233,0.949516,-33.677563,18.066287,-8.020063,14.867752,-1.251020,0.054920
1233731688818897850!,rebel-devious-beetle,0.320000,1.312411,0.143384,1.690150,1.069296,-30.826295,19.454714,-5.865928,9.271796,-1.710867,0.213328
1233731688818897850!,rebel-devious-beetle,0.330000,1.033268,0.343336,1.649640,1.130791,-24.592280,20.722197,-2.178496,3.178071,-2.090097,0.246559
1233731688818897850!,rebel-devious-beetle,0.340000,0.831096,0.556341,1.649840,1.130499,-15.387222,21.871228,2.119990,-3.093894,-2.333919,0.173107
1233731688818897850!,rebel-devious-beetle,0.350000,0.733593,0.778662,1.690683,1.068453,-3.727292,22.282005,5.796543,-9.172242,-2.339272,0.069390
1233731688818897850!,rebel-devious-beetle,0.360000,0.760791,0.996576,1.759726,0.950454,9.335507,20.698910,7.719889,-14.293053,-1.917540,0.028798
1233731688818897850!,rebel-devious-beetle,0.370000,0.916100,1.183507,1.836387,0.792263,21.472907,16.049320,7.378722,-17.103137,-0.857808,0.119274
1233731688818897850!,rebel-devious-beetle,0.380000,1.172158,1.311678,1.899650,0.625562,29.255142,9.164326,5.334395,-16.199003,0.794144,0.337217
1233731688818897850!,rebel-devious-beetle,0.390000,1.473006,1.373910,1.939236,0.489246,30.420357,3.356969,2.822473,-11.187502,2.391398,0.566899
1233731688818897850!,rebel-devious-beetle,0.400000,1.757747,1.396970,1.956080,0.416835,26.252817,1.662762,0.745566,-3.498709,2.970218,0.634179
1233731688818897850!,rebel-devious-beetle,0.410000,1.991504,1.420295,1.955198,0.420954,20.433327,3.338920,-0.885624,4.113437,2.339922,0.484532
1233731688818897850!,rebel-devious-beetle,0.420000,2.172051,1.462394,1.939068,0.489914,15.630717,5.228283,-2.413139,9.551155,1.330544,0.249178
1233731688818897850!,rebel-devious-beetle,0.430000,2.311841,1.516139,1.907379,0.601585,12.234917,5.497636,-3.998225,12.676741,0.709209,0.078739
1233731688818897850!,rebel-devious-beetle,0.440000,2.420288,1.565808,1.858705,0.738387,9.307457,4.299839,-5.774684,14.536323,0.529784,-0.005446
