ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3
1491546728109010829!,thoughtful-steel-butterfly,0.000000,2.047652,-1.165329,0.192239,-0.418710,0.499414,-0.024193,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.523944,-0.485538,0.025471
1491546728109010829!,thoughtful-steel-butterfly,0.010000,2.051203,-1.173939,0.196475,-0.425617,0.499232,-0.027700,0.708351,-1.718173,0.846786,-1.375059,-0.038905,-0.701178,-0.084927,-0.701759,-0.397055
1491546728109010829!,thoughtful-steel-butterfly,0.020000,2.085021,-1.192572,0.222448,-0.463995,0.497818,-0.046657,6.043324,-1.959636,4.381451,-6.208141,-0.292787,-3.123966,0.026966,-0.749657,-0.349451
1491546728109010829!,thoughtful-steel-butterfly,0.030000,2.169965,-1.213261,0.284491,-0.546187,0.491629,-0.091111,10.864443,-2.026624,8.046753,-9.990777,-1.081528,-5.835835,-0.121212,-0.632124,-0.340364
1491546728109010829!,thoughtful-steel-butterfly,0.040000,2.298416,-1.227692,0.381817,-0.656160,0.472201,-0.164397,14.517169,-0.541458,11.249477,-11.499486,-3.086238,-8.864643,-0.364930,-0.401502,-0.386911
1491546728109010829!,thoughtful-steel-butterfly,0.050000,2.449253,-1.213567,0.501038,-0.761398,0.422344,-0.267629,14.838651,3.957058,11.943194,-8.518311,-7.345882,-11.592480,-0.463850,-0.119523,-0.617101
1491546728109010829!,thoughtful-steel-butterfly,0.060000,2.570241,-1.132518,0.598004,-0.800430,0.315531,-0.387866,7.888975,13.056475,6.083948,2.336602,-14.196957,-11.549282,0.362508,-0.246288,-1.179292
1491546728109010829!,thoughtful-steel-butterfly,0.070000,2.574207,-0.944462,0.590280,-0.691418,0.136740,-0.480939,-7.958514,24.729866,-8.584608,19.821139,-20.486281,-5.824622,2.870029,-1.497777,-1.574134
1491546728109010829!,thoughtful-steel-butterfly,0.080000,2.389452,-0.662345,0.405566,-0.408971,-0.087442,-0.492295,-28.871795,31.088060,-28.352329,35.155408,-23.104302,4.103822,5.025860,-3.031110,-0.734110
1491546728109010829!,thoughtful-steel-butterfly,0.090000,1.995860,-0.370609,0.026409,-0.022381,-0.309867,-0.392406,-49.228729,26.412181,-46.814748,40.064795,-20.819114,16.440045,4.020682,-3.382814,1.658188
1491546728109010829!,thoughtful-steel-butterfly,0.100000,1.459457,-0.182739,-0.473169,0.331999,-0.470932,-0.167996,-55.236154,10.169024,-50.190277,29.114194,-10.449369,29.291976,-0.078816,-1.562055,3.268721
1491546728109010829!,thoughtful-steel-butterfly,0.110000,1.030187,-0.200459,-0.849855,0.481773,-0.477606,0.147961,-24.652507,-16.004091,-19.228855,-1.058029,9.648456,31.144374,-1.977827,0.753648,-0.385320
1491546728109010829!,thoughtful-steel-butterfly,0.120000,1.049124,-0.445984,-0.794098,0.330246,-0.299085,0.400685,25.498670,-30.908244,27.921653,-25.154670,22.004969,16.425238,-0.918467,1.747286,-5.316239
1491546728109010829!,thoughtful-steel-butterfly,0.130000,1.533250,-0.721214,-0.302363,0.072844,-0.039882,0.498407,67.710198,-21.220958,67.544723,-21.603484,28.784251,2.303308,-1.436726,1.258306,-3.219051
1491546728109010829!,thoughtful-steel-butterfly,0.140000,2.283168,-0.834959,0.450187,-0.034846,0.259522,0.427374,77.427805,-0.491248,77.530070,-0.256969,31.613710,-19.197394,-0.869206,-1.259345,4.623950
1491546728109010829!,thoughtful-steel-butterfly,0.150000,2.791317,-0.788108,0.976190,0.051720,0.482522,0.131043,16.508515,10.324781,18.179080,13.935385,10.014713,-36.875731,6.980563,-5.571868,4.266570
1491546728109010829!,thoughtful-steel-butterfly,0.160000,2.571598,-0.735673,0.785154,0.163561,0.453485,-0.210598,-51.362117,-3.175440,-46.778493,5.930520,-11.690355,-25.173022,8.150568,-4.096794,-2.363898
1491546728109010829!,thoughtful-steel-butterfly,0.170000,1.914597,-0.859341,0.138200,0.059578,0.264785,-0.424133,-73.605950,-24.635822,-76.096315,-29.450043,-26.298901,-16.418289,-2.941890,1.838743,-2.298964
1491546728109010829!,thoughtful-steel-butterfly,0.180000,1.297507,-1.128383,-0.555441,-0.375664,-0.069912,-0.495088,-46.527972,-26.172082,-56.154557,-49.869590,-42.415065,5.989511,-21.086858,10.989419,-0.685669
1491546728109010829!,thoughtful-steel-butterfly,0.190000,1.233267,-1.123321,-0.717405,-0.681871,-0.407881,-0.289194,30.729414,30.904047,22.370840,-6.030674,-18.649396,26.303206,-4.464320,2.660913,-3.998506
1491546728109010829!,thoughtful-steel-butterfly,0.200000,1.690631,-0.600471,-0.304995,-0.468266,-0.499939,-0.007835,51.570758,73.769549,49.775399,46.668846,-0.398445,25.425527,6.431142,-1.538549,-3.846873
1491546728109010829!,thoughtful-steel-butterfly,0.210000,2.072665,0.204689,0.072841,0.231211,-0.426249,0.261365,21.877418,84.437516,21.902652,86.340174,18.509979,30.187083,10.184672,-8.821359,9.515671
1491546728109010829!,thoughtful-steel-butterfly,0.220000,2.089561,0.735997,0.098664,0.926600,-0.131086,0.482511,-15.319771,16.174391,-13.224456,38.060495,39.566327,10.749150,14.606530,-12.536211,11.578631
1491546728109010829!,thoughtful-steel-butterfly,0.230000,1.853220,0.396237,-0.095223,0.847425,0.211908,0.452874,-28.031060,-79.154967,-19.211824,-41.069384,20.952631,-9.804133,-0.012484,3.106401,-7.157998
1491546728109010829!,thoughtful-steel-butterfly,0.240000,1.789590,-0.418969,-0.100199,0.235780,0.394715,0.306921,19.720134,-81.784131,22.816781,-72.846351,15.145380,-19.477661,-11.963398,9.287037,-8.069951
1491546728109010829!,thoughtful-steel-butterfly,0.250000,2.246514,-1.010284,0.331906,-0.432115,0.498451,0.039333,62.385611,-32.826173,55.204020,-56.608030,3.012055,-38.170655,-17.102316,8.157523,0.335560
1491546728109010829!,thoughtful-steel-butterfly,0.260000,2.714185,-0.977741,0.737352,-0.674207,0.382820,-0.321635,20.319262,41.369588,15.741303,11.554637,-23.144845,-27.547730,-0.684665,1.648268,-2.846205
1491546728109010829!,thoughtful-steel-butterfly,0.270000,2.576228,-0.411666,0.577319,-0.345616,0.098670,-0.490167,-41.871653,66.341121,-42.640012,43.087892,-27.929576,-5.622200,15.584124,-6.431280,-2.483474
1491546728109010829!,thoughtful-steel-butterfly,0.280000,1.910834,0.072744,-0.088742,0.031583,-0.211273,-0.453171,-85.019244,29.004573,-85.018373,28.962255,-35.007914,16.321089,6.991045,-5.811858,4.778712
1491546728109010829!,thoughtful-steel-butterfly,0.290000,1.148742,0.167680,-0.851125,0.190752,-0.479042,-0.143245,-53.991379,-10.046693,-53.842128,2.890394,-14.102499,47.161674,-1.759175,-0.640877,5.293183
1491546728109010829!,thoughtful-steel-butterfly,0.300000,1.110392,-0.050365,-0.884971,0.085747,-0.420416,0.270648,32.746264,-31.062065,33.675766,-17.435831,16.521349,25.663685,-1.824222,2.996919,-6.788326
1491546728109010829!,thoughtful-steel-butterfly,0.310000,1.688431,-0.227640,-0.300905,-0.021385,-0.184247,0.464815,77.060349,-2.515345,77.356431,0.340375,29.703568,11.774117,-2.176979,1.890830,-3.880955
1491546728109010829!,thoughtful-steel-butterfly,0.320000,2.497165,-0.115068,0.510839,0.118401,0.159290,0.473948,78.369282,24.142965,78.396319,24.372994,40.111667,-13.481189,-0.733577,-1.365149,5.799946
1491546728109010829!,thoughtful-steel-butterfly,0.330000,2.920246,0.069799,0.938711,0.340947,0.460692,0.194326,-0.414801,10.912552,-0.032670,13.705134,15.287839,-36.243189,8.590318,-6.177219,2.993583
1491546728109010829!,thoughtful-steel-butterfly,0.340000,2.569395,0.009627,0.594236,0.323870,0.473275,-0.161278,-58.777761,-23.619629,-57.674275,-16.683712,-9.756568,-28.630929,7.647193,-3.604761,-3.034948
1491546728109010829!,thoughtful-steel-butterfly,0.350000,1.904445,-0.349534,-0.074743,-0.061755,0.279603,-0.414514,-67.620745,-48.381406,-69.208525,-59.301335,-30.968415,-20.889175,-8.925365,4.606859,-1.257938
