ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4
1445246914996110574!,thoughtful-zippy-butterfly,0.000000,0.097082,-2.420335,-0.185926,-0.440459,0.311623,-0.391013,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.243009,0.135694,0.209606,0.400403
1445246914996110574!,thoughtful-zippy-butterfly,0.010000,0.099754,-2.427011,-0.180859,-0.446794,0.315645,-0.387773,0.538015,-1.328145,1.021857,-1.259580,0.795183,0.647275,0.814794,0.691986,0.789455,1.016665
1445246914996110574!,thoughtful-zippy-butterfly,0.020000,0.121854,-2.467382,-0.151207,-0.486110,0.335334,-0.370879,3.993003,-6.658642,5.195605,-6.492898,3.012703,2.723964,0.968699,0.613112,0.800438,1.359675
1445246914996110574!,thoughtful-zippy-butterfly,0.030000,0.180800,-2.554356,-0.066153,-0.569661,0.373796,-0.332079,7.989449,-10.335031,12.366465,-9.790406,4.403008,4.956130,1.474156,0.531899,0.788374,2.054841
1445246914996110574!,thoughtful-zippy-butterfly,0.040000,0.284220,-2.654943,0.110008,-0.662545,0.420451,-0.270594,12.818772,-8.597909,23.230855,-7.687498,4.566515,7.095472,1.933855,0.243861,0.874914,3.268976
1445246914996110574!,thoughtful-zippy-butterfly,0.050000,0.425920,-2.686196,0.400269,-0.686360,0.462397,-0.190235,15.205931,4.422297,33.930637,4.662466,3.486641,8.474829,1.819122,-0.403018,1.202199,4.952911
1445246914996110574!,thoughtful-zippy-butterfly,0.060000,0.549309,-2.515658,0.753557,-0.526115,0.489596,-0.101468,8.489991,31.105872,33.408568,28.547709,1.851047,8.931499,0.548373,-1.123166,1.687102,5.769744
1445246914996110574!,thoughtful-zippy-butterfly,0.070000,0.533472,-2.061303,0.988999,-0.113870,0.499899,-0.010036,-13.455357,57.371069,9.132842,52.087432,0.201064,10.015132,-1.224412,-0.633401,1.384066,2.377166
1445246914996110574!,thoughtful-zippy-butterfly,0.080000,0.257765,-1.483553,0.871187,0.420052,0.490782,0.095564,-43.231925,52.422110,-33.657637,49.336865,-2.492662,12.801355,-1.678263,1.968936,-0.244503,-5.888788
1445246914996110574!,thoughtful-zippy-butterfly,0.090000,-0.218452,-1.186896,0.374152,0.723293,0.444829,0.228313,-49.537071,4.627892,-59.031428,7.573355,-7.652526,14.909656,-1.117359,4.743942,-1.353762,-12.572554
1445246914996110574!,thoughtful-zippy-butterfly,0.100000,-0.539675,-1.422540,-0.135843,0.536265,0.335849,0.370413,-9.320591,-45.414014,-33.419335,-40.445754,-14.557232,13.198871,-1.040751,4.783971,-1.083127,-12.141931
1445246914996110574!,thoughtful-zippy-butterfly,0.110000,-0.331683,-1.898036,-0.168761,0.095317,0.156850,0.474761,52.299433,-36.475807,28.102589,-34.498135,-19.673304,6.499589,-1.815730,0.187616,0.664592,-1.044466
1445246914996110574!,thoughtful-zippy-butterfly,0.120000,0.234928,-1.916551,0.232456,0.083447,-0.047473,0.497741,54.762494,35.384701,37.733334,35.363649,-17.005066,-1.621905,-1.288093,-6.101668,3.727666,16.933992
1445246914996110574!,thoughtful-zippy-butterfly,0.130000,0.346744,-1.353081,0.258081,0.644953,-0.204880,0.456097,-34.286439,59.541394,-37.846850,59.383402,-11.512913,-5.171641,7.610071,-4.028633,2.974895,21.318750
1445246914996110574!,thoughtful-zippy-butterfly,0.140000,-0.300886,-1.127463,-0.448871,0.867055,-0.320422,0.383836,-86.411345,-29.786847,-83.675253,-29.583839,-12.902735,-10.771056,15.598113,6.356343,-3.218288,-0.485764
1445246914996110574!,thoughtful-zippy-butterfly,0.150000,-0.691711,-1.837568,-0.946438,0.146144,-0.451250,0.215345,12.249971,-94.951607,-4.216473,-97.066055,-13.753570,-28.820311,3.696405,8.271179,-3.019623,-16.994343
