ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3,U4
642489944630516362!,great-proficient-bumblebee,0.000000,1.246422,-0.472507,0.000000,-0.472507,0.000000,0.000000,0.000000,0.000000,0.033289,0.032800,-0.020164,-0.069541
642489944630516362!,great-proficient-bumblebee,0.010000,1.242306,-0.472741,0.000000,-0.472741,-0.823235,-0.046894,0.000000,-0.046894,-0.035032,-0.033468,-0.079608,-0.125705
642489944630516362!,great-proficient-bumblebee,0.020000,1.232345,-0.466774,0.000000,-0.466774,-1.168904,1.240411,0.000000,1.240411,-0.039821,-0.030084,-0.069490,-0.121869
642489944630516362!,great-proficient-bumblebee,0.030000,1.219161,-0.448753,0.000000,-0.448753,-1.467258,2.361352,0.000000,2.361352,-0.044103,-0.027053,-0.060434,-0.118439
642489944630516362!,great-proficient-bumblebee,0.040000,1.203197,-0.420237,0.000000,-0.420237,-1.723323,3.333375,0.000000,3.333375,-0.047930,-0.024338,-0.052335,-0.115373
642489944630516362!,great-proficient-bumblebee,0.050000,1.184851,-0.382628,0.000000,-0.382628,-1.941623,4.172188,0.000000,4.172188,-0.051346,-0.021909,-0.045097,-0.112637
642489944630516362!,great-proficient-bumblebee,0.060000,1.164480,-0.337183,0.000000,-0.337183,-2.126229,4.891934,0.000000,4.891934,-0.054393,-0.019738,-0.038634,-0.110195
642489944630516362!,great-proficient-bumblebee,0.070000,1.142403,-0.285030,0.000000,-0.285030,-2.280807,5.505349,0.000000,5.505349,-0.057108,-0.017798,-0.032870,-0.108021
642489944630516362!,great-proficient-bumblebee,0.080000,1.118913,-0.227213,0.000000,-0.227213,-2.408654,6.023897,0.000000,6.023897,-0.059523,-0.016066,-0.027735,-0.106086
642489944630516362!,great-proficient-bumblebee,0.090000,1.094265,-0.164632,0.000000,-0.164632,-2.512738,6.457908,0.000000,6.457908,-0.061669,-0.014523,-0.023165,-0.104366
642489944630516362!,great-proficient-bumblebee,0.100000,1.068684,-0.098091,0.000000,-0.098091,-2.595729,6.816677,0.000000,6.816677,-0.063573,-0.013148,-0.019105,-0.102841
642489944630516362!,great-proficient-bumblebee,0.110000,1.042370,-0.028304,0.000000,-0.028304,-2.660026,7.108565,0.000000,7.108565,-0.065260,-0.011926,-0.015502,-0.101489
642489944630516362!,great-proficient-bumblebee,0.120000,1.015500,0.044095,0.000000,0.044095,-2.707788,7.341090,0.000000,7.341090,-0.066751,-0.010841,-0.012311,-0.100295
642489944630516362!,great-proficient-bumblebee,0.130000,0.988231,0.118541,0.000000,0.118541,-2.740950,7.521012,0.000000,7.521012,-0.068066,-0.009878,-0.009489,-0.099241
642489944630516362!,great-proficient-bumblebee,0.140000,0.960702,0.194533,0.000000,0.194533,-2.761252,7.654404,0.000000,7.654404,-0.069223,-0.009026,-0.007000,-0.098313
642489944630516362!,great-proficient-bumblebee,0.150000,0.933036,0.271631,0.000000,0.271631,-2.770254,7.746721,0.000000,7.746721,-0.070240,-0.008274,-0.004808,-0.097498
