ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3,U4
1872046640001481745!,lush-proficient-bumblebee,0.000000,-0.052354,2.135281,0.000000,2.135281,0.000000,0.000000,0.000000,0.000000,0.054472,0.119423,0.176567,0.130064
1872046640001481745!,lush-proficient-bumblebee,0.010000,-0.053052,2.117927,0.000000,2.117927,-0.139560,-3.470696,0.000000,-3.470696,0.299211,0.345274,0.393765,0.368324
1872046640001481745!,lush-proficient-bumblebee,0.020000,-0.062334,2.042059,0.000000,2.042059,-1.716860,-11.702869,0.000000,-11.702869,0.297152,0.301454,0.339740,0.369318
1872046640001481745!,lush-proficient-bumblebee,0.030000,-0.086385,1.889153,0.000000,1.889153,-3.089698,-18.859245,0.000000,-18.859245,0.295306,0.262238,0.291395,0.370209
1872046640001481745!,lush-proficient-bumblebee,0.040000,-0.123263,1.669425,0.000000,1.669425,-4.279525,-25.052915,0.000000,-25.052915,0.293654,0.227171,0.248167,0.371007
1872046640001481745!,lush-proficient-bumblebee,0.050000,-0.171191,1.392220,0.000000,1.392220,-5.305669,-30.385751,0.000000,-30.385751,0.292175,0.195842,0.209550,0.371723
1872046640001481745!,lush-proficient-bumblebee,0.060000,-0.228650,1.065531,0.000000,1.065531,-6.185549,-34.949563,0.000000,-34.949563,0.290853,0.167877,0.175082,0.372363
1872046640001481745!,lush-proficient-bumblebee,0.070000,-0.294266,0.696576,0.000000,0.696576,-6.934839,-38.826960,0.000000,-38.826960,0.289671,0.142939,0.144347,0.372936
1872046640001481745!,lush-proficient-bumblebee,0.080000,-0.366807,0.291832,0.000000,0.291832,-7.567644,-42.092277,0.000000,-42.092277,0.288616,0.120724,0.116973,0.373449
1872046640001481745!,lush-proficient-bumblebee,0.090000,-0.445171,-0.142911,0.000000,-0.142911,-8.096658,-44.812402,0.000000,-44.812402,0.287676,0.100960,0.092620,0.373906
1872046640001481745!,lush-proficient-bumblebee,0.100000,-0.528375,-0.602490,0.000000,-0.602490,-8.533300,-47.047505,0.000000,-47.047505,0.286838,0.083399,0.070985,0.374314
1872046640001481745!,lush-proficient-bumblebee,0.110000,-0.615545,-1.082308,0.000000,-1.082308,-8.887842,-48.851703,0.000000,-48.851703,0.286092,0.067820,0.051793,0.374678
1872046640001481745!,lush-proficient-bumblebee,0.120000,-0.705900,-1.578279,0.000000,-1.578279,-9.169520,-50.273651,0.000000,-50.273651,0.285430,0.054022,0.034799,0.375002
1872046640001481745!,lush-proficient-bumblebee,0.130000,-0.798749,-2.086774,0.000000,-2.086774,-9.386636,-51.357080,0.000000,-51.357080,0.284842,0.041823,0.019777,0.375290
1872046640001481745!,lush-proficient-bumblebee,0.140000,-0.893479,-2.604580,0.000000,-2.604580,-9.546649,-52.141282,0.000000,-52.141282,0.284322,0.031062,0.006528,0.375546
1872046640001481745!,lush-proficient-bumblebee,0.150000,-0.989548,-3.103749,0.000000,-3.103749,-9.656262,-52.661544,0.000000,-52.661544,0.283779,0.021850,-0.004699,0.375841
1872046640001481745!,lush-proficient-bumblebee,0.160000,-1.086437,-3.103749,0.000000,-3.103749,-9.721490,-0.295938,0.000000,-0.295938,0.211786,0.238043,0.360581,0.435905
1872046640001481745!,lush-proficient-bumblebee,0.170000,-1.183783,-3.103749,0.000000,-3.103749,-9.747746,-6.986565,0.000000,-6.986565,0.218453,0.208739,0.314784,0.430208
1872046640001481745!,lush-proficient-bumblebee,0.180000,-1.281221,-3.103749,0.000000,-3.103749,-9.739863,-6.131720,0.000000,-6.131720,0.215390,0.211015,0.321399,0.432663
1872046640001481745!,lush-proficient-bumblebee,0.190000,-1.378431,-3.103749,0.000000,-3.103749,-9.702174,-6.240941,0.000000,-6.240941,0.213858,0.209446,0.321218,0.433852
1872046640001481745!,lush-proficient-bumblebee,0.200000,-1.475135,-3.103749,0.000000,-3.103749,-9.638561,-6.226986,0.000000,-6.226986,0.212387,0.208539,0.321817,0.435002
1872046640001481745!,lush-proficient-bumblebee,0.210000,-1.571090,-3.103749,0.000000,-3.103749,-9.552495,-6.228769,0.000000,-6.228769,0.211137,0.207700,0.322237,0.435978
1872046640001481745!,lush-proficient-bumblebee,0.220000,-1.666088,-3.103749,0.000000,-3.103749,-9.447081,-6.228541,0.000000,-6.228541,0.210064,0.206989,0.322608,0.436816
1872046640001481745!,lush-proficient-bumblebee,0.230000,-1.759949,-3.103749,0.000000,-3.103749,-9.325095,-6.228570,0.000000,-6.228570,0.209152,0.206383,0.322923,0.437529
1872046640001481745!,lush-proficient-bumblebee,0.240000,-1.852519,-3.103749,0.000000,-3.103749,-9.189014,-6.228567,0.000000,-6.228567,0.208383,0.205872,0.323189,0.438130
