ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
1268682931972345019!,great-vivacious-beetle,0.000000,1.660480,1.997172,1.407476,0.518663,0.000000,0.000000,0.000000,0.000000,1.208550,0.751049
1268682931972345019!,great-vivacious-beetle,0.010000,1.640353,2.006177,1.405229,0.524720,-4.026786,1.783577,-0.454277,1.216580,-0.188389,-0.014432
1268682931972345019!,great-vivacious-beetle,0.020000,1.597164,2.020036,1.402201,0.532760,-4.606847,0.981091,-0.150824,0.396962,-0.187187,-0.015461
1268682931972345019!,great-vivacious-beetle,0.030000,1.548415,2.025719,1.402160,0.532867,-5.140108,0.146078,0.141114,-0.371322,-0.175622,-0.010162
1268682931972345019!,great-vivacious-beetle,0.040000,1.494397,2.022935,1.404898,0.525607,-5.661935,-0.715101,0.403167,-1.077627,-0.166285,-0.006169
1268682931972345019!,great-vivacious-beetle,0.050000,1.435251,2.011359,1.410069,0.511570,-6.164914,-1.611907,0.626164,-1.725930,-0.156849,-0.002653
1268682931972345019!,great-vivacious-beetle,0.060000,1.371187,1.990613,1.417252,0.491320,-6.640235,-2.543274,0.802405,-2.314602,-0.146475,0.000383
1268682931972345019!,great-vivacious-beetle,0.070000,1.302539,1.960385,1.425951,0.465470,-7.074682,-3.499542,0.926725,-2.838988,-0.134315,0.002970
1268682931972345019!,great-vivacious-beetle,0.080000,1.229788,1.920503,1.435633,0.434694,-7.452621,-4.462793,0.996844,-3.292203,-0.119713,0.005113
1268682931972345019!,great-vivacious-beetle,0.090000,1.153580,1.871015,1.445754,0.399745,-7.757863,-5.408189,1.013712,-3.666279,-0.102251,0.006822
1268682931972345019!,great-vivacious-beetle,0.100000,1.074746,1.812288,1.455789,0.361493,-7.976148,-6.306455,0.981763,-3.953711,-0.081883,0.008108
1268682931972345019!,great-vivacious-beetle,0.110000,0.994261,1.745020,1.465275,0.320890,-8.096956,-7.127079,0.908535,-4.148625,-0.058891,0.009049
1268682931972345019!,great-vivacious-beetle,0.120000,0.913125,1.670130,1.473848,0.278875,-8.114671,-7.841537,0.803628,-4.247159,-0.033843,0.009809
1268682931972345019!,great-vivacious-beetle,0.130000,0.832356,1.588780,1.481254,0.236400,-8.030168,-8.426973,0.678054,-4.248597,-0.007662,0.010546
1268682931972345019!,great-vivacious-beetle,0.140000,0.752929,1.502317,1.487349,0.194408,-7.850554,-8.869143,0.543203,-4.155867,0.018555,0.011414
1268682931972345019!,great-vivacious-beetle,0.150000,0.675724,1.412179,1.492095,0.153792,-7.588041,-9.163927,0.409751,-3.975408,0.043716,0.012547
1268682931972345019!,great-vivacious-beetle,0.160000,0.601485,1.319798,1.495556,0.115374,-7.258090,-9.317186,0.286709,-3.716513,0.066902,0.014035
1268682931972345019!,great-vivacious-beetle,0.170000,0.530800,1.226511,1.497872,0.079875,-6.877276,-9.343096,0.180792,-3.390327,0.087471,0.015914
1268682931972345019!,great-vivacious-beetle,0.180000,0.464097,1.133487,1.499235,0.047905,-6.461319,-9.261495,0.096138,-3.008746,0.105093,0.018158
1268682931972345019!,great-vivacious-beetle,0.190000,0.401658,1.041690,1.499867,0.019958,-6.023631,-9.094868,0.034376,-2.583422,0.119722,0.020692
1268682931972345019!,great-vivacious-beetle,0.200000,0.343655,0.951869,1.499996,-0.003577,-5.574612,-8.865680,-0.005068,-2.125069,0.131514,0.023399
1268682931972345019!,great-vivacious-beetle,0.210000,0.290168,0.864559,1.499833,-0.022409,-5.121362,-8.594156,-0.024549,-1.643025,0.140753,0.026140
1268682931972345019!,great-vivacious-beetle,0.220000,0.241213,0.780097,1.499560,-0.036337,-4.667723,-8.296577,-0.027748,-1.145106,0.147778,0.028787
1268682931972345019!,great-vivacious-beetle,0.230000,0.196788,0.698697,1.499318,-0.045222,-4.215797,-7.985569,-0.019238,-0.637808,0.152884,0.031188
1268682931972345019!,great-vivacious-beetle,0.240000,0.156872,0.620414,1.499198,-0.049034,-3.765836,-7.669131,-0.004136,-0.126454,0.156330,0.033221
1268682931972345019!,great-vivacious-beetle,0.250000,0.121448,0.545290,1.499240,-0.047744,-3.317570,-7.351819,0.012238,0.384308,0.158301,0.034772
1268682931972345019!,great-vivacious-beetle,0.260000,0.090502,0.473340,1.499429,-0.041367,-2.870726,-7.035100,0.024561,0.890284,0.158918,0.035744
1268682931972345019!,great-vivacious-beetle,0.270000,0.064019,0.404573,1.499701,-0.029960,-2.425525,-6.717970,0.027718,1.387455,0.158255,0.036069
1268682931972345019!,great-vivacious-beetle,0.280000,0.041978,0.339001,1.499938,-0.013636,-1.983138,-6.397732,0.017016,1.871818,0.156353,0.035703
1268682931972345019!,great-vivacious-beetle,0.290000,0.024339,0.276644,1.499982,0.007427,-1.545923,-6.070768,-0.011582,2.339313,0.153237,0.034629
1268682931972345019!,great-vivacious-beetle,0.300000,0.011032,0.217607,1.499636,0.033058,-1.117557,-5.733440,-0.061406,2.785635,0.148944,0.032859
1268682931972345019!,great-vivacious-beetle,0.310000,0.001945,0.162014,1.498675,0.063028,-0.702878,-5.382458,-0.134851,3.206467,0.143531,0.030438
1268682931972345019!,great-vivacious-beetle,0.320000,-0.003088,0.110022,1.496856,0.097070,-0.307673,-5.015514,-0.233297,3.597550,0.137095,0.027443
1268682931972345019!,great-vivacious-beetle,0.330000,-0.004295,0.061798,1.493925,0.134866,0.061725,-4.631589,-0.357036,3.954923,0.129773,0.023978
1268682931972345019!,great-vivacious-beetle,0.340000,-0.001966,0.017514,1.489631,0.176063,0.398892,-4.231215,-0.505288,4.275128,0.121744,0.020174
1268682931972345019!,great-vivacious-beetle,0.350000,0.003544,-0.022673,1.483738,0.220276,0.697817,-3.816528,-0.676298,4.555427,0.113226,0.016179
1268682931972345019!,great-vivacious-beetle,0.360000,0.011823,-0.058637,1.476029,0.267093,0.953391,-3.391157,-0.867491,4.793989,0.104465,0.012150
1268682931972345019!,great-vivacious-beetle,0.370000,0.022415,-0.090290,1.466317,0.316093,1.161809,-2.959956,-1.075693,4.990016,0.095721,0.008244
1268682931972345019!,great-vivacious-beetle,0.380000,0.034834,-0.117603,1.454449,0.366847,1.320863,-2.528633,-1.297389,5.143794,0.087248,0.004605
1268682931972345019!,great-vivacious-beetle,0.390000,0.048579,-0.140603,1.440309,0.418939,1.430065,-2.103301,-1.528993,5.256668,0.079288,0.001362
1268682931972345019!,great-vivacious-beetle,0.400000,0.063161,-0.159402,1.423818,0.471957,1.490708,-1.689955,-1.767066,5.330951,0.072038,-0.001390
1268682931972345019!,great-vivacious-beetle,0.410000,0.078127,-0.174190,1.404931,0.525516,1.505664,-1.294048,-2.008546,5.369706,0.065648,-0.003592
1268682931972345019!,great-vivacious-beetle,0.420000,0.093039,-0.185160,1.383628,0.579286,1.478808,-0.920410,-2.250968,5.376452,0.060236,-0.005200
1268682931972345019!,great-vivacious-beetle,0.430000,0.107503,-0.192550,1.359907,0.632971,1.414905,-0.572932,-2.492512,5.355043,0.055876,-0.006202
1268682931972345019!,great-vivacious-beetle,0.440000,0.121177,-0.196630,1.333782,0.686313,1.319245,-0.254454,-2.732034,5.309444,0.052596,-0.006608
1268682931972345019!,great-vivacious-beetle,0.450000,0.133768,-0.197695,1.305275,0.739092,1.197308,0.033229,-2.969060,5.243514,0.050383,-0.006451
1268682931972345019!,great-vivacious-beetle,0.460000,0.145040,-0.196054,1.274410,0.791126,1.054466,0.289294,-3.203729,5.160828,0.049195,-0.005776
1268682931972345019!,great-vivacious-beetle,0.470000,0.154807,-0.192017,1.241206,0.842263,0.895756,0.513745,-3.436711,5.064534,0.048964,-0.004640
1268682931972345019!,great-vivacious-beetle,0.480000,0.162931,-0.185896,1.205676,0.892381,0.725708,0.707250,-3.669107,4.957247,0.049605,-0.003105
1268682931972345019!,great-vivacious-beetle,0.490000,0.169315,-0.177989,1.167818,0.941383,0.548264,0.870956,-3.902335,4.840983,0.051023,-0.001233
1268682931972345019!,great-vivacious-beetle,0.500000,0.173900,-0.168585,1.127615,0.989184,0.366743,1.006308,-4.138021,4.717117,0.053119,0.000916
1268682931972345019!,great-vivacious-beetle,0.510000,0.176655,-0.157957,1.085032,1.035715,0.183812,1.114933,-4.377925,4.586384,0.055795,0.003285
1268682931972345019!,great-vivacious-beetle,0.520000,0.177574,-0.146360,1.040015,1.080912,0.001601,1.198447,-4.623807,4.448863,0.058955,0.005823
1268682931972345019!,great-vivacious-beetle,0.530000,0.176666,-0.134036,0.992490,1.124706,-0.178268,1.258394,-4.877369,4.304004,0.062507,0.008485
1268682931972345019!,great-vivacious-beetle,0.540000,0.173959,-0.121211,0.942365,1.167026,-0.354586,1.296151,-5.140168,4.150647,0.066366,0.011232
