ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3,U4
1085100379078780091!,great-wine-beetle,0.000000,1.757976,-0.986013,1.422476,0.475985,0.000000,0.000000,0.000000,0.000000,0.517832,0.731814,0.286765,-0.465921
1085100379078780091!,great-wine-beetle,0.010000,1.738955,-1.000980,1.425790,0.465965,-3.810008,-2.968299,0.658327,-2.014391,0.084063,0.129916,-0.054046,-0.299198
1085100379078780091!,great-wine-beetle,0.020000,1.693779,-1.029489,1.431711,0.447440,-5.221373,-2.712618,0.528876,-1.692288,0.008640,0.030831,-0.091153,-0.240990
1085100379078780091!,great-wine-beetle,0.030000,1.637321,-1.053161,1.436061,0.433276,-6.059167,-2.013607,0.345876,-1.146382,-0.022985,-0.001255,-0.094514,-0.216447
1085100379078780091!,great-wine-beetle,0.040000,1.573876,-1.069327,1.438660,0.424566,-6.621941,-1.215122,0.176989,-0.599736,-0.041588,-0.013628,-0.088109,-0.201915
1085100379078780091!,great-wine-beetle,0.050000,1.505715,-1.077546,1.439708,0.421001,-7.005628,-0.424948,0.033596,-0.114888,-0.056415,-0.020469,-0.079109,-0.190290
1085100379078780091!,great-wine-beetle,0.060000,1.434442,-1.078086,1.439443,0.421905,-7.243684,0.318741,-0.086430,0.294879,-0.070110,-0.025889,-0.069638,-0.179538
1085100379078780091!,great-wine-beetle,0.070000,1.361452,-1.071499,1.438076,0.426542,-7.351295,0.998252,-0.187403,0.631825,-0.083253,-0.030960,-0.060380,-0.169218
1085100379078780091!,great-wine-beetle,0.080000,1.287980,-1.058471,1.435773,0.434230,-7.340194,1.602714,-0.273099,0.902997,-0.095799,-0.035894,-0.051662,-0.159368
1085100379078780091!,great-wine-beetle,0.090000,1.215165,-1.039784,1.432669,0.444363,-7.222665,2.125314,-0.346646,1.117623,-0.107485,-0.040609,-0.043697,-0.150196
1085100379078780091!,great-wine-beetle,0.100000,1.144031,-1.016279,1.428871,0.456428,-7.012878,2.562733,-0.410723,1.285791,-0.118010,-0.044965,-0.036663,-0.141936
1085100379078780091!,great-wine-beetle,0.110000,1.075459,-0.988822,1.424461,0.470013,-6.726672,2.915138,-0.467819,1.417812,-0.127123,-0.048829,-0.030693,-0.134786
1085100379078780091!,great-wine-beetle,0.120000,1.010165,-0.958267,1.419495,0.484802,-6.380768,3.186011,-0.520392,1.523702,-0.134655,-0.052112,-0.025873,-0.128877
1085100379078780091!,great-wine-beetle,0.130000,0.948682,-0.925418,1.414008,0.500580,-5.991782,3.381670,-0.570942,1.612762,-0.140541,-0.054772,-0.022229,-0.124261
1085100379078780091!,great-wine-beetle,0.140000,0.891355,-0.890996,1.408007,0.517219,-5.575314,3.510587,-0.622020,1.693302,-0.144811,-0.056816,-0.019732,-0.120914
1085100379078780091!,great-wine-beetle,0.150000,0.838312,-0.855607,1.401477,0.534661,-5.145197,3.582608,-0.676126,1.772293,-0.147592,-0.058310,-0.018316,-0.118736
1085100379078780091!,great-wine-beetle,0.160000,0.789598,-0.819755,1.394373,0.552924,-4.713103,3.608100,-0.735908,1.855827,-0.149039,-0.059312,-0.017870,-0.117606
1085100379078780091!,great-wine-beetle,0.170000,0.745171,-0.783843,1.386621,0.572086,-4.288637,3.597289,-0.804038,1.948827,-0.149327,-0.059886,-0.018264,-0.117387
1085100379078780091!,great-wine-beetle,0.180000,0.704912,-0.748177,1.378122,0.592266,-3.879408,3.559788,-0.883156,2.054981,-0.148642,-0.060103,-0.019366,-0.117932
1085100379078780091!,great-wine-beetle,0.190000,0.668636,-0.712973,1.368749,0.613617,-3.491203,3.504290,-0.975877,2.176816,-0.147168,-0.060032,-0.021047,-0.119097
1085100379078780091!,great-wine-beetle,0.200000,0.636074,-0.678360,1.358357,0.636291,-3.128183,3.438413,-1.084749,2.315728,-0.145084,-0.059757,-0.023195,-0.120740
1085100379078780091!,great-wine-beetle,0.210000,0.606946,-0.644402,1.346773,0.660456,-2.793181,3.368557,-1.212411,2.472294,-0.142542,-0.059338,-0.025712,-0.122745
1085100379078780091!,great-wine-beetle,0.220000,0.580970,-0.611114,1.333794,0.686289,-2.488078,3.299932,-1.361626,2.646303,-0.139656,-0.058821,-0.028513,-0.125019
1085100379078780091!,great-wine-beetle,0.230000,0.557849,-0.578463,1.319189,0.713962,-2.214114,3.236650,-1.535298,2.836774,-0.136525,-0.058246,-0.031535,-0.127487
1085100379078780091!,great-wine-beetle,0.240000,0.537275,-0.546381,1.302694,0.743632,-1.972104,3.181813,-1.736519,3.042031,-0.133225,-0.057648,-0.034730,-0.130088
1085100379078780091!,great-wine-beetle,0.250000,0.518931,-0.514772,1.284014,0.775440,-1.762631,3.137595,-1.968621,3.259745,-0.129819,-0.057062,-0.038068,-0.132773
1085100379078780091!,great-wine-beetle,0.260000,0.502493,-0.483523,1.262819,0.809498,-1.586201,3.105313,-2.235224,3.486954,-0.126354,-0.056518,-0.041531,-0.135505
1085100379078780091!,great-wine-beetle,0.270000,0.487631,-0.452511,1.238740,0.845886,-1.443352,3.085486,-2.540268,3.720040,-0.122868,-0.056049,-0.045116,-0.138255
1085100379078780091!,great-wine-beetle,0.280000,0.474006,-0.421611,1.211365,0.884644,-1.334750,3.077858,-2.888038,3.954664,-0.119390,-0.055686,-0.048828,-0.141000
1085100379078780091!,great-wine-beetle,0.290000,0.461272,-0.390705,1.180239,0.925762,-1.261230,3.081411,-3.283171,4.185661,-0.115945,-0.055463,-0.052681,-0.143721
1085100379078780091!,great-wine-beetle,0.300000,0.449073,-0.359689,1.144857,0.969177,-1.223826,3.094335,-3.730642,4.406885,-0.112550,-0.055414,-0.056698,-0.146405
1085100379078780091!,great-wine-beetle,0.310000,0.437039,-0.328482,1.104661,1.014753,-1.223759,3.113982,-4.235716,4.611002,-0.109226,-0.055576,-0.060903,-0.149036
1085100379078780091!,great-wine-beetle,0.320000,0.424788,-0.297033,1.059040,1.062277,-1.262389,3.136774,-4.803858,4.789220,-0.105987,-0.055991,-0.065329,-0.151603
1085100379078780091!,great-wine-beetle,0.330000,0.411923,-0.265333,1.007328,1.111436,-1.341132,3.158092,-5.440576,4.930962,-0.102855,-0.056699,-0.070007,-0.154090
1085100379078780091!,great-wine-beetle,0.340000,0.398033,-0.233427,0.948803,1.161797,-1.461315,3.172128,-6.151172,5.023466,-0.099853,-0.057749,-0.074969,-0.156480
1085100379078780091!,great-wine-beetle,0.350000,0.382694,-0.201426,0.882691,1.212789,-1.623968,3.171714,-6.940368,5.051330,-0.097009,-0.059189,-0.080244,-0.158749
1085100379078780091!,great-wine-beetle,0.360000,0.365476,-0.169518,0.808176,1.263666,-1.829519,3.148131,-7.811750,4.995997,-0.094363,-0.061074,-0.085855,-0.160869
1085100379078780091!,great-wine-beetle,0.370000,0.345948,-0.137992,0.724417,1.313476,-2.077374,3.090913,-8.766975,4.835219,-0.091967,-0.063462,-0.091814,-0.162798
1085100379078780091!,great-wine-beetle,0.380000,0.323693,-0.107251,0.630568,1.361023,-2.365341,2.987696,-9.804665,4.542541,-0.089891,-0.066415,-0.098117,-0.164483
1085100379078780091!,great-wine-beetle,0.390000,0.298328,-0.077831,0.525819,1.404818,-2.688861,2.824125,-10.918894,4.086903,-0.088229,-0.070000,-0.104736,-0.165849
1085100379078780091!,great-wine-beetle,0.400000,0.269531,-0.050425,0.409451,1.443035,-3.040014,2.583941,-12.097197,3.432490,-0.087106,-0.074288,-0.111614,-0.166799
1085100379078780091!,great-wine-beetle,0.410000,0.237084,-0.025899,0.280914,1.473461,-3.406275,2.249325,-13.318012,2.539067,-0.086687,-0.079350,-0.118645,-0.167204
1085100379078780091!,great-wine-beetle,0.420000,0.200925,-0.005301,0.139935,1.493458,-3.769026,1.801700,-14.547540,1.363088,-0.087186,-0.085262,-0.125668,-0.166895
1085100379078780091!,great-wine-beetle,0.430000,0.161215,0.010132,-0.013341,1.499941,-4.101917,1.223174,-15.736115,-0.139967,-0.088875,-0.092095,-0.132447,-0.165658
1085100379078780091!,great-wine-beetle,0.440000,0.118429,0.018997,-0.178176,1.489380,-4.369234,0.498911,-16.814360,-2.011513,-0.092095,-0.099909,-0.138653,-0.163225
1085100379078780091!,great-wine-beetle,0.450000,0.073457,0.019772,-0.353012,1.457869,-4.524669,-0.379330,-17.689727,-4.283436,-0.097255,-0.108745,-0.143844,-0.159273
1085100379078780091!,great-wine-beetle,0.460000,0.027707,0.010900,-0.535237,1.401257,-4.511068,-1.408284,-18.244470,-6.968822,-0.104831,-0.118605,-0.147452,-0.153425
1085100379078780091!,great-wine-beetle,0.470000,-0.016618,-0.008959,-0.720140,1.315826,-4.260839,-2.560680,-18.342722,-10.038810,-0.115181,-0.129301,-0.148804,-0.145395
1085100379078780091!,great-wine-beetle,0.480000,-0.056867,-0.040804,-0.902674,1.197990,-3.705984,-3.791225,-17.828492,-13.433604,-0.128782,-0.140659,-0.147100,-0.134804
1085100379078780091!,great-wine-beetle,0.490000,-0.089688,-0.085034,-1.076013,1.045082,-2.782706,-5.023062,-16.542613,-17.032224,-0.146021,-0.152349,-0.141454,-0.121341
1085100379078780091!,great-wine-beetle,0.500000,-0.111162,-0.141114,-1.231778,0.855992,-1.445267,-6.145054,-14.345341,-20.643043,-0.167086,-0.163842,-0.130956,-0.104850
1085100379078780091!,great-wine-beetle,0.510000,-0.117078,-0.207231,-1.360409,0.631892,0.316334,-7.014276,-11.148485,-24.001716,-0.191828,-0.174363,-0.114784,-0.085437
1085100379078780091!,great-wine-beetle,0.520000,-0.103390,-0.280043,-1.451874,0.376912,2.457152,-7.468225,-6.953360,-26.784489,-0.219623,-0.182869,-0.092345,-0.063580
1085100379078780091!,great-wine-beetle,0.530000,-0.066847,-0.354584,-1.496757,0.098577,4.862091,-7.348266,-1.886421,-28.642592,-0.249240,-0.188068,-0.063452,-0.040234
1085100379078780091!,great-wine-beetle,0.540000,-0.005726,-0.424472,-1.487635,-0.192207,7.341958,-6.533855,3.780266,-29.258326,-0.278811,-0.188523,-0.028499,-0.016857
1085100379078780091!,great-wine-beetle,0.550000,0.079487,-0.482484,-1.420513,-0.481813,9.648364,-4.980981,9.637878,-28.415020,-0.305947,-0.182866,0.011409,0.004684
1085100379078780091!,great-wine-beetle,0.560000,0.185675,-0.521486,-1.296000,-0.755238,11.510691,-2.752925,15.188145,-26.063081,-0.328053,-0.170109,0.054427,0.022350
1085100379078780091!,great-wine-beetle,0.570000,0.307110,-0.535568,-1.119836,-0.997981,12.689777,-0.029476,19.925736,-22.358694,-0.342800,-0.150009,0.098067,0.034303
1085100379078780091!,great-wine-beetle,0.580000,0.435956,-0.521145,-0.902644,-1.198012,13.033723,2.913468,23.435513,-17.657523,-0.348667,-0.123397,0.139430,0.039328
1085100379078780091!,great-wine-beetle,0.590000,0.562984,-0.477852,-0.659309,-1.347335,12.514422,5.754118,25.475593,-12.466304,-0.345114,-0.092148,0.175452,0.036971
1085100379078780091!,great-wine-beetle,0.600000,0.681216,-0.407973,-0.402599,-1.444962,11.235291,8.229807,26.055534,-7.259665,-0.333414,-0.058894,0.204267,0.028201
1085100379078780091!,great-wine-beetle,0.610000,0.784181,-0.316078,-0.145942,-1.492883,9.394453,10.125199,25.339077,-2.477112,-0.316213,-0.027316,0.224309,0.015056
1085100379078780091!,great-wine-beetle,0.620000,0.867147,-0.208604,0.098600,-1.496756,7.231467,11.336573,23.624139,1.556261,-0.296159,-0.000453,0.234842,-0.000413
1085100379078780091!,great-wine-beetle,0.630000,0.927989,-0.092408,0.322726,-1.464871,4.976975,11.871444,21.270213,4.686044,-0.275927,0.019448,0.236184,-0.016124
1085100379078780091!,great-wine-beetle,0.640000,0.966701,0.026154,0.521753,-1.406334,2.812256,11.817574,18.619179,6.907752,-0.257639,0.031272,0.229450,-0.030414
1085100379078780091!,great-wine-beetle,0.650000,0.984721,0.141805,0.694065,-1.329765,0.852570,11.304472,15.946500,8.323203,-0.242573,0.035061,0.216229,-0.042273
1085100379078780091!,great-wine-beetle,0.660000,0.984481,0.250788,0.840649,-1.242300,-0.848457,10.470856,13.439662,9.094451,-0.231187,0.031824,0.198371,-0.051324
1085100379078780091!,great-wine-beetle,0.670000,0.968578,0.350469,0.963637,-1.149523,-2.285394,9.438593,11.206287,9.394148,-0.223149,0.023208,0.177599,-0.057806
1085100379078780091!,great-wine-beetle,0.680000,0.939565,0.439307,1.065933,-1.055361,-3.480714,8.302730,9.289326,9.382384,-0.217751,0.011016,0.155393,-0.062251
1085100379078780091!,great-wine-beetle,0.690000,0.899677,0.516583,1.150669,-0.962269,-4.468014,7.129330,7.687259,9.192332,-0.214241,-0.003187,0.132862,-0.065232
1085100379078780091!,great-wine-beetle,0.700000,0.850794,0.582120,1.220842,-0.871518,-5.281729,5.959814,6.372376,8.926568,-0.211947,-0.018188,0.110762,-0.067264
1085100379078780091!,great-wine-beetle,0.710000,0.794480,0.636060,1.279117,-0.783491,-5.951638,4.816829,5.304221,8.659600,-0.210330,-0.033134,0.089548,-0.068759
1085100379078780091!,great-wine-beetle,0.720000,0.732073,0.678716,1.327734,-0.697942,-6.500731,3.709910,4.438198,8.443032,-0.208989,-0.047476,0.069444,-0.070028
1085100379078780091!,great-wine-beetle,0.730000,0.664687,0.710451,1.368495,-0.614183,-6.943540,2.640049,3.730074,8.311191,-0.207711,-0.060993,0.050481,-0.071234
1085100379078780091!,great-wine-beetle,0.740000,0.593319,0.731611,1.402780,-0.531232,-7.287548,1.603634,3.137988,8.286223,-0.206386,-0.073644,0.032577,-0.072465
1085100379078780091!,great-wine-beetle,0.750000,0.518917,0.742500,1.431565,-0.447909,-7.534047,0.595133,2.622514,8.381827,-0.204957,-0.085485,0.015591,-0.073766
1085100379078780091!,great-wine-beetle,0.760000,0.442425,0.743364,1.455442,-0.362890,-7.678929,-0.390871,2.145688,8.605708,-0.203384,-0.096608,-0.000642,-0.075172
1085100379078780091!,great-wine-beetle,0.770000,0.364825,0.734399,1.474627,-0.274729,-7.713322,-1.358000,1.669437,8.960805,-0.201605,-0.107085,-0.016287,-0.076730
1085100379078780091!,great-wine-beetle,0.780000,0.287157,0.715777,1.488937,-0.181845,-7.624096,-2.306561,1.153573,9.445404,-0.199512,-0.116931,-0.031499,-0.078528
