ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
2205664820988523846!,lush-bipedal-bumblebee,0.000000,-1.006869,-2.042788,0.000000,-2.042788,0.000000,0.000000,0.000000,0.000000,0.157844,-0.195465
2205664820988523846!,lush-bipedal-bumblebee,0.010000,-1.003838,-2.035396,0.000000,-2.035396,0.606184,1.478301,0.000000,1.478301,0.138871,-0.172686
2205664820988523846!,lush-bipedal-bumblebee,0.020000,-0.995132,-2.014165,0.000000,-2.014165,1.133958,2.765386,0.000000,2.765386,0.121889,-0.152296
2205664820988523846!,lush-bipedal-bumblebee,0.030000,-0.981487,-1.980891,0.000000,-1.980891,1.591547,3.881310,0.000000,3.881310,0.106699,-0.134058
2205664820988523846!,lush-bipedal-bumblebee,0.040000,-0.963566,-1.937186,0.000000,-1.937186,1.986357,4.844132,0.000000,4.844132,0.093122,-0.117757
2205664820988523846!,lush-bipedal-bumblebee,0.050000,-0.941960,-1.884495,0.000000,-1.884495,2.325055,5.670116,0.000000,5.670116,0.080998,-0.103200
2205664820988523846!,lush-bipedal-bumblebee,0.060000,-0.917200,-1.824112,0.000000,-1.824112,2.613646,6.373904,0.000000,6.373904,0.070182,-0.090213
2205664820988523846!,lush-bipedal-bumblebee,0.070000,-0.889760,-1.757195,0.000000,-1.757195,2.857535,6.968676,0.000000,6.968676,0.060542,-0.078640
2205664820988523846!,lush-bipedal-bumblebee,0.080000,-0.860066,-1.684780,0.000000,-1.684780,3.061585,7.466294,0.000000,7.466294,0.051962,-0.068338
2205664820988523846!,lush-bipedal-bumblebee,0.090000,-0.828497,-1.607794,0.000000,-1.607794,3.230174,7.877433,0.000000,7.877433,0.044334,-0.059180
2205664820988523846!,lush-bipedal-bumblebee,0.100000,-0.795394,-1.527065,0.000000,-1.527065,3.367241,8.211697,0.000000,8.211697,0.037564,-0.051051
2205664820988523846!,lush-bipedal-bumblebee,0.110000,-0.761059,-1.443332,0.000000,-1.443332,3.476326,8.477724,0.000000,8.477724,0.031565,-0.043848
2205664820988523846!,lush-bipedal-bumblebee,0.120000,-0.725766,-1.357262,0.000000,-1.357262,3.560616,8.683282,0.000000,8.683282,0.026258,-0.037477
