ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3
2121077783512908371!,rebel-mauve-beetle,0.000000,0.710217,-1.364609,1.673314,-1.095454,0.000000,0.000000,0.000000,0.000000,-0.289105,-0.804229,1.332128
2121077783512908371!,rebel-mauve-beetle,0.010000,0.717536,-1.353032,1.680695,-1.084097,1.457773,2.312909,1.468081,2.275992,0.027318,-0.300103,1.112228
2121077783512908371!,rebel-mauve-beetle,0.020000,0.734344,-1.313529,1.699974,-1.053608,1.899011,5.584530,2.372031,3.827220,0.133808,-0.058430,0.751449
2121077783512908371!,rebel-mauve-beetle,0.030000,0.753354,-1.244384,1.725714,-1.010896,1.915555,8.239699,2.761939,4.714942,0.211612,0.106681,0.490023
2121077783512908371!,rebel-mauve-beetle,0.040000,0.771540,-1.151095,1.753484,-0.961922,1.757446,10.396073,2.782943,5.073016,0.274260,0.229867,0.281369
2121077783512908371!,rebel-mauve-beetle,0.050000,0.788122,-1.038383,1.780075,-0.911775,1.622798,12.105805,2.535996,4.951072,0.330198,0.335293,0.095924
2121077783512908371!,rebel-mauve-beetle,0.060000,0.804153,-0.910666,1.803123,-0.865301,1.680465,13.380521,2.090290,4.355767,0.383857,0.437697,-0.082206
2121077783512908371!,rebel-mauve-beetle,0.070000,0.822424,-0.772555,1.820932,-0.827168,2.089564,14.199143,1.492676,3.285986,0.436743,0.544707,-0.258917
2121077783512908371!,rebel-mauve-beetle,0.080000,0.847274,-0.628806,1.832165,-0.801980,3.009828,14.502486,0.768592,1.755889,0.488143,0.657973,-0.432418
2121077783512908371!,rebel-mauve-beetle,0.090000,0.884564,-0.485003,1.835595,-0.794098,4.590385,14.180346,-0.073850,-0.170708,0.535075,0.771656,-0.592776
2121077783512908371!,rebel-mauve-beetle,0.100000,0.941414,-0.348192,1.830020,-0.806863,6.918366,13.060902,-1.035214,-2.347933,0.571215,0.867345,-0.717799
2121077783512908371!,rebel-mauve-beetle,0.110000,1.025162,-0.227351,1.814356,-0.841495,9.930718,10.938346,-2.092716,-4.512126,0.585304,0.906753,-0.766937
2121077783512908371!,rebel-mauve-beetle,0.120000,1.141305,-0.133298,1.788076,-0.895983,13.314959,7.676346,-3.149919,-6.286162,0.559942,0.826152,-0.676656
2121077783512908371!,rebel-mauve-beetle,0.130000,1.290825,-0.076904,1.752316,-0.964049,16.482913,3.421088,-3.971799,-7.219391,0.474517,0.545553,-0.370844
2121077783512908371!,rebel-mauve-beetle,0.140000,1.467821,-0.065165,1.711328,-1.035064,18.727668,-1.173055,-4.189509,-6.926745,0.317283,0.011639,0.195332
2121077783512908371!,rebel-mauve-beetle,0.150000,1.660451,-0.095622,1.673258,-1.095540,19.610197,-4.938140,-3.426348,-5.233183,0.108401,-0.719537,0.951621
2121077783512908371!,rebel-mauve-beetle,0.160000,1.855428,-0.154475,1.648272,-1.132783,19.270628,-6.680432,-1.559797,-2.269606,-0.085491,-1.422912,1.658301
2121077783512908371!,rebel-mauve-beetle,0.170000,2.043418,-0.218627,1.645903,-1.136223,18.316998,-5.970126,1.044237,1.512655,-0.178874,-1.788792,2.003782
2121077783512908371!,rebel-mauve-beetle,0.180000,2.221253,-0.266986,1.669622,-1.101074,17.278137,-3.561369,3.611892,5.476920,-0.138096,-1.669063,1.860491
2121077783512908371!,rebel-mauve-beetle,0.190000,2.388992,-0.289323,1.715351,-1.028382,16.266982,-0.832919,5.425165,9.049225,-0.015789,-1.221836,1.414047
2121077783512908371!,rebel-mauve-beetle,0.200000,2.546363,-0.287586,1.774246,-0.923067,15.129098,1.170538,6.232630,11.979868,0.099031,-0.763125,0.987587
2121077783512908371!,rebel-mauve-beetle,0.210000,2.691188,-0.270152,1.837183,-0.790416,13.657490,2.214419,6.211336,14.437151,0.155233,-0.496838,0.770946
2121077783512908371!,rebel-mauve-beetle,0.220000,2.818516,-0.245703,1.896909,-0.633826,11.580278,2.638131,5.614684,16.803565,0.158887,-0.413205,0.744322
2121077783512908371!,rebel-mauve-beetle,0.230000,2.920201,-0.218337,1.948072,-0.452786,8.477679,2.841660,4.496924,19.347635,0.134505,-0.413240,0.816472
2121077783512908371!,rebel-mauve-beetle,0.240000,2.983294,-0.188818,1.984894,-0.245352,3.797646,3.115778,2.725532,22.049499,0.100357,-0.403057,0.915583
2121077783512908371!,rebel-mauve-beetle,0.250000,2.989567,-0.155431,1.999966,-0.011588,-2.887898,3.681000,0.142116,24.526788,0.069155,-0.313361,0.990946
2121077783512908371!,rebel-mauve-beetle,0.260000,2.918782,-0.114580,1.985114,0.243559,-11.460368,4.672494,-3.211697,26.176714,0.055175,-0.123348,0.996383
