ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3,U4
817764491440380115!,rebel-wine-beetle,0.000000,1.836696,-1.102989,1.996641,-0.115863,0.000000,0.000000,0.000000,0.000000,0.251770,0.331503,0.124830,-0.194293
817764491440380115!,rebel-wine-beetle,0.010000,1.828288,-1.104988,1.996443,-0.119227,-1.678107,-0.396283,-0.040350,-0.675658,0.201139,0.171239,-0.020956,-0.156577
817764491440380115!,rebel-wine-beetle,0.020000,1.805918,-1.107891,1.996019,-0.126127,-2.789449,-0.176913,-0.044761,-0.708372,0.175775,0.108904,-0.070844,-0.137422
817764491440380115!,rebel-wine-beetle,0.030000,1.773748,-1.107449,1.995615,-0.132372,-3.633129,0.272608,-0.036205,-0.545826,0.160709,0.085629,-0.082745,-0.125845
817764491440380115!,rebel-wine-beetle,0.040000,1.733873,-1.102120,1.995309,-0.136899,-4.328068,0.800127,-0.025068,-0.365366,0.149582,0.077490,-0.079867,-0.117165
817764491440380115!,rebel-wine-beetle,0.050000,1.687570,-1.091419,1.995102,-0.139881,-4.918732,1.347918,-0.016577,-0.236436,0.139656,0.075209,-0.070878,-0.109348
817764491440380115!,rebel-wine-beetle,0.060000,1.635783,-1.075249,1.994954,-0.141977,-5.418857,1.892352,-0.013376,-0.187955,0.129686,0.075200,-0.058907,-0.101464
817764491440380115!,rebel-wine-beetle,0.070000,1.579452,-1.053712,1.994806,-0.144051,-5.829439,2.421086,-0.016823,-0.232969,0.119092,0.076037,-0.045095,-0.093075
817764491440380115!,rebel-wine-beetle,0.080000,1.519495,-1.027043,1.994583,-0.147104,-6.146289,2.924706,-0.027927,-0.378663,0.107654,0.077119,-0.029953,-0.084014
817764491440380115!,rebel-wine-beetle,0.090000,1.456866,-0.995506,1.994205,-0.152140,-6.362604,3.394439,-0.047975,-0.628840,0.095393,0.078242,-0.013769,-0.074302
817764491440380115!,rebel-wine-beetle,0.100000,1.392599,-0.959482,1.993573,-0.160213,-6.471650,3.821394,-0.079171,-0.985143,0.082502,0.079350,0.003153,-0.064092
817764491440380115!,rebel-wine-beetle,0.110000,1.327794,-0.919442,1.992557,-0.172387,-6.467567,4.196757,-0.125186,-1.446975,0.069287,0.080466,0.020475,-0.053625
817764491440380115!,rebel-wine-beetle,0.120000,1.263606,-0.875947,1.990982,-0.189708,-6.345983,4.511916,-0.191648,-2.011347,0.056111,0.081639,0.037824,-0.043189
817764491440380115!,rebel-wine-beetle,0.130000,1.201222,-0.829644,1.988606,-0.213181,-6.104383,4.758388,-0.286502,-2.672564,0.043325,0.082891,0.054806,-0.033059
817764491440380115!,rebel-wine-beetle,0.140000,1.141845,-0.781267,1.985092,-0.243741,-5.742373,4.927500,-0.420146,-3.421774,0.031210,0.084174,0.071020,-0.023460
817764491440380115!,rebel-wine-beetle,0.150000,1.086670,-0.731641,1.979988,-0.282217,-5.262014,5.009849,-0.605255,-4.246369,0.019932,0.085328,0.086062,-0.014526
817764491440380115!,rebel-wine-beetle,0.160000,1.036857,-0.681691,1.972706,-0.329290,-4.668439,4.994709,-0.856188,-5.129237,0.009518,0.086052,0.099512,-0.006280
817764491440380115!,rebel-wine-beetle,0.170000,0.993494,-0.632461,1.962506,-0.385447,-3.970887,4.869654,-1.187844,-6.047921,-0.000151,0.085886,0.110919,0.001364
817764491440380115!,rebel-wine-beetle,0.180000,0.957552,-0.585130,1.948505,-0.450920,-3.184210,4.620755,-1.613882,-6.973873,-0.009320,0.084209,0.119777,0.008590
817764491440380115!,rebel-wine-beetle,0.190000,0.929831,-0.540984,1.929712,-0.525558,-2.330803,4.233512,-2.144030,-7.872322,-0.018304,0.080262,0.125485,0.015637
817764491440380115!,rebel-wine-beetle,0.200000,0.910853,-0.501465,1.905069,-0.608862,-1.442051,3.695745,-2.781345,-8.702548,-0.027451,0.073206,0.127383,0.022769
817764491440380115!,rebel-wine-beetle,0.210000,0.900767,-0.468118,1.873530,-0.699919,-0.559187,3.001360,-3.518981,-9.419547,-0.037073,0.062219,0.124780,0.030218
817764491440380115!,rebel-wine-beetle,0.220000,0.899262,-0.442498,1.834185,-0.797350,0.267600,2.155167,-4.337350,-9.977430,-0.047366,0.046627,0.117047,0.038132
