ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4,U5,U6
1649146218569983783!,thoughtful-antique-butterfly,0.000000,-1.209062,-0.786013,0.663077,-0.082384,0.377405,0.327972,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.087020,-0.178918,0.060403,0.123714,0.024619,-0.211198
1649146218569983783!,thoughtful-antique-butterfly,0.010000,-1.203885,-0.796466,0.664399,-0.082665,0.378055,0.327222,1.038686,-2.085934,0.263274,-0.056391,0.129622,-0.149759,-0.054227,-0.080087,0.028719,0.064772,0.012789,-0.079143
1649146218569983783!,thoughtful-antique-butterfly,0.020000,-1.190439,-0.821891,0.668147,-0.083205,0.379757,0.325245,1.655124,-2.994893,0.485319,-0.051580,0.210413,-0.245679,-0.038155,-0.034675,0.014818,0.036927,0.008067,-0.018916
1649146218569983783!,thoughtful-antique-butterfly,0.030000,-1.171792,-0.853681,0.673985,-0.083546,0.382140,0.322443,2.075075,-3.358982,0.680424,-0.016432,0.265524,-0.314684,-0.029482,-0.013652,0.009104,0.023117,0.006666,0.008354
1649146218569983783!,thoughtful-antique-butterfly,0.040000,-1.149437,-0.887838,0.681672,-0.083450,0.384999,0.319024,2.393687,-3.469375,0.854037,0.035482,0.305593,-0.368790,-0.024197,-0.003823,0.007158,0.015742,0.006798,0.020493
1649146218569983783!,thoughtful-antique-butterfly,0.050000,-1.124174,-0.922493,0.691006,-0.082777,0.388209,0.315109,2.654461,-3.459888,1.008396,0.098343,0.335706,-0.413583,-0.020507,0.000826,0.006948,0.011364,0.007634,0.025653
1649146218569983783!,thoughtful-antique-butterfly,0.060000,-1.096479,-0.956755,0.701800,-0.081430,0.391684,0.310779,2.878250,-3.392303,1.144417,0.169707,0.358442,-0.451755,-0.017600,0.003047,0.007541,0.008415,0.008786,0.027566
1649146218569983783!,thoughtful-antique-butterfly,0.070000,-1.066670,-0.990187,0.713873,-0.079327,0.395357,0.306092,3.075447,-3.295488,1.262457,0.248533,0.375241,-0.484672,-0.015111,0.004103,0.008499,0.006181,0.010069,0.027946
1649146218569983783!,thoughtful-antique-butterfly,0.080000,-1.034987,-1.022566,0.727045,-0.076394,0.399174,0.301098,3.251498,-3.183258,1.362650,0.334294,0.387023,-0.513088,-0.012874,0.004580,0.009616,0.004337,0.011392,0.027587
1649146218569983783!,thoughtful-antique-butterfly,0.090000,-1.001624,-1.053773,0.741140,-0.072563,0.403087,0.295839,3.409489,-3.062511,1.445061,0.426582,0.394465,-0.537466,-0.010819,0.004752,0.010787,0.002733,0.012704,0.026862
1649146218569983783!,thoughtful-antique-butterfly,0.100000,-0.966752,-1.083741,0.755979,-0.067768,0.407055,0.290355,3.551369,-2.936937,1.509747,0.524930,0.398124,-0.558137,-0.008914,0.004749,0.011958,0.001304,0.013975,0.025950
1649146218569983783!,thoughtful-antique-butterfly,0.110000,-0.930523,-1.112433,0.771383,-0.061951,0.411043,0.284682,3.678526,-2.808710,1.556797,0.628743,0.398492,-0.575369,-0.007150,0.004638,0.013095,0.000018,0.015185,0.024940
1649146218569983783!,thoughtful-antique-butterfly,0.120000,-0.893080,-1.139832,0.787178,-0.055059,0.415019,0.278853,3.792064,-2.679262,1.586349,0.737277,0.396019,-0.589397,-0.005523,0.004456,0.014176,-0.001138,0.016318,0.023881
