ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3
932018171120476466!,thoughtful-ruddy-butterfly,0.000000,1.547051,-1.978286,0.441018,-0.311946,-0.022475,-0.499495,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.055010,0.092440,0.006974
932018171120476466!,thoughtful-ruddy-butterfly,0.010000,1.545220,-1.977299,0.438889,-0.311156,-0.024319,-0.499408,-0.365711,0.197102,-0.424585,0.158009,-0.367645,0.017903,0.047470,0.190565,0.094627
932018171120476466!,thoughtful-ruddy-butterfly,0.020000,1.536598,-1.977654,0.431228,-0.310874,-0.032042,-0.498972,-1.358225,-0.263662,-1.105050,-0.095762,-1.174557,0.075426,0.045407,0.179832,0.023286
932018171120476466!,thoughtful-ruddy-butterfly,0.030000,1.520485,-1.980876,0.416895,-0.312916,-0.047699,-0.497720,-1.864879,-0.372701,-1.758490,-0.302310,-1.953198,0.187187,0.043129,0.178910,-0.011705
932018171120476466!,thoughtful-ruddy-butterfly,0.040000,1.500405,-1.984126,0.396064,-0.316663,-0.071080,-0.494922,-2.152574,-0.266573,-2.403290,-0.432619,-2.717292,0.390254,0.040107,0.183531,-0.030258
932018171120476466!,thoughtful-ruddy-butterfly,0.050000,1.477915,-1.985495,0.368798,-0.321205,-0.102035,-0.489478,-2.346444,0.007839,-3.043223,-0.456509,-3.464485,0.722196,0.036333,0.191574,-0.041299
932018171120476466!,thoughtful-ruddy-butterfly,0.060000,1.453658,-1.983337,0.335178,-0.325325,-0.140327,-0.479905,-2.504098,0.442438,-3.668221,-0.342870,-4.176708,1.221293,0.032148,0.201810,-0.048578
932018171120476466!,thoughtful-ruddy-butterfly,0.070000,1.427866,-1.976029,0.295460,-0.327498,-0.185451,-0.464336,-2.648404,1.039899,-4.252703,-0.062123,-4.817894,1.924220,0.028177,0.213258,-0.053309
932018171120476466!,thoughtful-ruddy-butterfly,0.080000,1.400639,-1.961952,0.250235,-0.325929,-0.236448,-0.440559,-2.780996,1.796375,-4.753376,0.409454,-5.330807,2.861040,0.025310,0.224881,-0.055335
932018171120476466!,thoughtful-ruddy-butterfly,0.090000,1.372124,-1.939610,0.200613,-0.318634,-0.291676,-0.406110,-2.887100,2.688038,-5.108054,1.082911,-5.634746,4.046977,0.024652,0.235454,-0.053678
932018171120476466!,thoughtful-ruddy-butterfly,0.100000,1.342729,-1.907916,0.148481,-0.303618,-0.348493,-0.358542,-2.936255,3.660479,-5.238242,1.946867,-5.627593,5.469873,0.027387,0.243630,-0.046859
932018171120476466!,thoughtful-ruddy-butterfly,0.110000,1.313329,-1.866486,0.096596,-0.279174,-0.403128,-0.295783,-2.884908,4.620711,-5.055598,2.956799,-5.192543,7.077007,0.034524,0.248216,-0.033441
932018171120476466!,thoughtful-ruddy-butterfly,0.120000,1.285095,-1.816125,0.048498,-0.244238,-0.450728,-0.216435,-2.684328,5.435171,-4.472378,4.028519,-4.208612,8.764503,0.046615,0.248586,-0.012821
932018171120476466!,thoughtful-ruddy-butterfly,0.130000,1.259815,-1.759084,0.008578,-0.198827,-0.485254,-0.120533,-2.283471,5.942046,-3.420384,5.030307,-2.574587,10.365087,0.063693,0.244976,0.014785
932018171120476466!,thoughtful-ruddy-butterfly,0.140000,1.239761,-1.699262,-0.018310,-0.144510,-0.499898,-0.010074,-1.649448,5.961824,-1.871619,5.782048,-0.234697,11.645991,0.085450,0.238416,0.047760
932018171120476466!,thoughtful-ruddy-butterfly,0.150000,1.227235,-1.642413,-0.027354,-0.084849,-0.487663,0.110383,-0.783523,5.323182,0.136230,6.064027,2.787561,12.315203,0.111926,0.229913,0.083902
932018171120476466!,thoughtful-ruddy-butterfly,0.160000,1.224317,-1.595833,-0.014549,-0.025733,-0.442337,0.233105,0.257701,3.888432,2.467682,5.632186,6.345655,12.041417,0.144328,0.219194,0.121300
932018171120476466!,thoughtful-ruddy-butterfly,0.170000,1.232099,-1.567955,0.022109,0.024504,-0.359967,0.347021,1.324904,1.575673,4.851340,4.255147,10.125286,10.503034,0.184963,0.204076,0.157126
932018171120476466!,thoughtful-ruddy-butterfly,0.180000,1.249664,-1.567528,0.081098,0.055572,-0.240714,0.438243,2.164558,-1.583849,6.852996,1.791635,13.615308,7.478502,0.236469,0.180496,0.186092
932018171120476466!,thoughtful-ruddy-butterfly,0.190000,1.273200,-1.601975,0.155737,0.056722,-0.090878,0.491672,2.434913,-5.367683,7.894221,-1.689750,16.133845,2.982095,0.299869,0.143775,0.196982
932018171120476466!,thoughtful-ruddy-butterfly,0.200000,1.295818,-1.674975,0.233477,0.019555,0.076168,0.494164,1.825792,-9.271771,7.378084,-5.790909,16.961761,-2.614391,0.373591,0.089686,0.173468
932018171120476466!,thoughtful-ruddy-butterfly,0.210000,1.306981,-1.784374,0.296181,-0.058603,0.240612,0.438299,0.201874,-12.484094,4.892214,-9.736918,15.563026,-8.543589,0.452802,0.016844,0.097787
932018171120476466!,thoughtful-ruddy-butterfly,0.220000,1.297803,-1.918090,0.324069,-0.171137,0.379276,0.325806,-2.218794,-14.023315,0.483771,-12.516934,11.835603,-13.778046,0.532257,-0.070535,-0.036998
932018171120476466!,thoughtful-ruddy-butterfly,0.230000,1.262878,-2.054779,0.300638,-0.301470,0.470669,0.168732,-4.885994,-13.004797,-5.229857,-13.193514,6.213216,-17.331478,0.608251,-0.158538,-0.213566
932018171120476466!,thoughtful-ruddy-butterfly,0.240000,1.203015,-2.166225,0.218004,-0.425607,0.499841,-0.012608,-7.143593,-8.966681,-11.178558,-11.250058,-0.468138,-18.559029,0.677350,-0.222214,-0.384198
932018171120476466!,thoughtful-ruddy-butterfly,0.250000,1.124222,-2.223090,0.079856,-0.517423,0.460941,-0.193735,-8.589716,-2.121880,-16.167414,-6.761640,-7.253038,-17.256725,0.729635,-0.234747,-0.485692
932018171120476466!,thoughtful-ruddy-butterfly,0.260000,1.034624,-2.201712,-0.099055,-0.554056,0.357304,-0.349762,-9.211447,6.561825,-19.193664,-0.306495,-13.264748,-13.550778,0.746949,-0.191398,-0.469647
932018171120476466!,thoughtful-ruddy-butterfly,0.270000,0.941707,-2.091310,-0.295541,-0.519936,0.200607,-0.457992,-9.155933,15.461628,-19.587682,7.248009,-17.714076,-7.759009,0.718461,-0.130619,-0.330121
