ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
470042540114391988!,great-devious-beetle,0.000000,1.878974,-0.807587,0.506147,-1.412025,0.000000,0.000000,0.000000,0.000000,1.036682,0.599216
470042540114391988!,great-devious-beetle,0.010000,1.876406,-0.778016,0.515421,-1.408666,-0.548423,5.896155,1.867157,0.683179,0.513499,0.554507
470042540114391988!,great-devious-beetle,0.020000,1.858288,-0.696347,0.534409,-1.401573,-3.161436,10.373802,1.965445,0.749409,-0.070850,0.286654
470042540114391988!,great-devious-beetle,0.030000,1.811364,-0.586181,0.548761,-1.396016,-6.265554,11.587156,0.931582,0.366196,-0.181908,0.206664
470042540114391988!,great-devious-beetle,0.040000,1.733742,-0.469489,0.552840,-1.394406,-9.299916,11.688626,-0.110671,-0.043878,-0.168343,0.171063
470042540114391988!,great-devious-beetle,0.050000,1.627003,-0.354524,0.547858,-1.396371,-12.058317,11.243069,-0.873117,-0.342562,-0.121879,0.142579
470042540114391988!,great-devious-beetle,0.060000,1.494581,-0.245987,0.537018,-1.400575,-14.421029,10.400948,-1.285634,-0.492947,-0.065092,0.113189
470042540114391988!,great-devious-beetle,0.070000,1.340655,-0.147402,0.523895,-1.405537,-16.299878,9.220758,-1.331651,-0.496355,-0.004339,0.082989
470042540114391988!,great-devious-beetle,0.080000,1.170830,-0.062190,0.512181,-1.409848,-17.640222,7.753077,-1.019134,-0.370239,0.056897,0.054362
470042540114391988!,great-devious-beetle,0.090000,0.990361,0.007053,0.505263,-1.412342,-18.428499,6.040220,-0.368789,-0.131934,0.116142,0.029821
470042540114391988!,great-devious-beetle,0.100000,0.804640,0.058092,0.506354,-1.411951,-18.684740,4.117720,0.581294,0.208464,0.170881,0.010722
470042540114391988!,great-devious-beetle,0.110000,0.618809,0.088968,0.518182,-1.407653,-18.440985,2.012514,1.774699,0.653299,0.218770,-0.003099
470042540114391988!,great-devious-beetle,0.120000,0.437750,0.097982,0.542830,-1.398333,-17.721174,-0.246754,3.137761,1.218072,0.257426,-0.013231
470042540114391988!,great-devious-beetle,0.130000,0.266209,0.083800,0.581548,-1.382679,-16.529513,-2.612941,4.579719,1.926208,0.284361,-0.022125
470042540114391988!,great-devious-beetle,0.140000,0.109014,0.045763,0.634660,-1.359120,-14.854648,-5.001513,5.995825,2.799836,0.297070,-0.032340
470042540114391988!,great-devious-beetle,0.150000,-0.028917,-0.015704,0.701363,-1.325930,-12.690076,-7.279641,7.271317,3.846228,0.293489,-0.045786
470042540114391988!,great-devious-beetle,0.160000,-0.142751,-0.098604,0.779706,-1.281428,-10.066281,-9.271983,8.293071,5.046058,0.272697,-0.063150
470042540114391988!,great-devious-beetle,0.170000,-0.228256,-0.199046,0.866689,-1.224275,-7.079519,-10.789201,8.965441,6.346815,0.235719,-0.083613
470042540114391988!,great-devious-beetle,0.180000,-0.282519,-0.311277,0.958509,-1.153803,-3.901836,-11.673970,9.227963,7.666031,0.186052,-0.104984
470042540114391988!,great-devious-beetle,0.190000,-0.305136,-0.428765,1.050597,-1.070629,-0.750228,-11.848090,9.075565,8.905756,0.129009,-0.124358
470042540114391988!,great-devious-beetle,0.200000,-0.297576,-0.544527,1.139018,-0.976031,2.144727,-11.337861,8.545720,9.972767,0.071175,-0.138964
470042540114391988!,great-devious-beetle,0.210000,-0.263366,-0.652322,1.220451,-0.872066,4.596061,-10.267578,7.715767,10.798163,0.018964,-0.146858
470042540114391988!,great-devious-beetle,0.220000,-0.207484,-0.747565,1.292453,-0.761291,6.500691,-8.823479,6.685302,11.349718,-0.022880,-0.147411
470042540114391988!,great-devious-beetle,0.230000,-0.135437,-0.827523,1.353585,-0.646381,7.846625,-7.204620,5.555021,11.632764,-0.051972,-0.141257
470042540114391988!,great-devious-beetle,0.240000,-0.052478,-0.891301,1.403314,-0.529820,8.696748,-5.580469,4.410440,11.681773,-0.068366,-0.129952
470042540114391988!,great-devious-beetle,0.250000,0.036982,-0.939428,1.441828,-0.413681,9.156493,-4.067643,3.312960,11.546853,-0.073939,-0.115437
470042540114391988!,great-devious-beetle,0.260000,0.129633,-0.973314,1.469789,-0.299533,9.341555,-2.727053,2.298946,11.280763,-0.071492,-0.099568
470042540114391988!,great-devious-beetle,0.270000,0.223250,-0.994754,1.488114,-0.188456,9.355179,-1.574562,1.384161,10.929818,-0.063955,-0.083819
470042540114391988!,great-devious-beetle,0.280000,0.316521,-1.005553,1.497805,-0.081125,9.277155,-0.596576,0.570304,10.529503,-0.053878,-0.069185
470042540114391988!,great-devious-beetle,0.290000,0.408802,-1.007309,1.499837,0.022079,9.161986,0.235506,-0.148741,10.103821,-0.043213,-0.056213
470042540114391988!,great-devious-beetle,0.300000,0.499886,-1.001318,1.495115,0.120965,9.042276,0.954680,-0.782112,9.666845,-0.033307,-0.045104
470042540114391988!,great-devious-beetle,0.310000,0.589811,-0.988562,1.484448,0.215442,8.934064,1.591827,-1.338872,9.225148,-0.025000,-0.035829
470042540114391988!,great-devious-beetle,0.320000,0.678722,-0.969736,1.468567,0.305467,8.842122,2.172421,-1.826343,8.780337,-0.018743,-0.028219
470042540114391988!,great-devious-beetle,0.330000,0.766778,-0.945318,1.448144,0.390998,8.764438,2.715378,-2.249407,8.331162,-0.014720,-0.022042
470042540114391988!,great-devious-beetle,0.340000,0.854102,-0.915628,1.423813,0.471970,8.695568,3.233177,-2.610475,7.875144,-0.012942,-0.017046
470042540114391988!,great-devious-beetle,0.350000,0.940758,-0.880893,1.396200,0.548293,8.629000,3.732614,-2.909823,7.409721,-0.013305,-0.012988
470042540114391988!,great-devious-beetle,0.360000,1.026748,-0.841297,1.365938,0.619850,8.558749,4.215834,-3.146132,6.933000,-0.015631,-0.009640
470042540114391988!,great-devious-beetle,0.370000,1.112023,-0.797024,1.333682,0.686507,8.480376,4.681461,-3.317107,6.444162,-0.019690,-0.006802
470042540114391988!,great-devious-beetle,0.380000,1.196502,-0.748294,1.300120,0.748122,8.391572,5.125725,-3.420110,5.943620,-0.025220,-0.004294
470042540114391988!,great-devious-beetle,0.390000,1.280098,-0.695378,1.265974,0.804555,8.292408,5.543534,-3.452753,5.432936,-0.031933,-0.001958
