ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3
126044063727980192!,great-impartial-bumblebee,0.000000,-2.104684,-0.003336,0.000000,-0.003336,0.000000,0.000000,0.000000,0.000000,0.152745,0.083430,0.100693
126044063727980192!,great-impartial-bumblebee,0.010000,-2.113160,-0.004542,0.000000,-0.004542,-1.695201,-0.241316,0.000000,-0.241316,0.497350,0.415434,0.439327
126044063727980192!,great-impartial-bumblebee,0.020000,-2.175114,-0.010850,0.000000,-0.010850,-10.694844,-1.020049,0.000000,-1.020049,0.510390,0.365194,0.410245
126044063727980192!,great-impartial-bumblebee,0.030000,-2.321334,-0.024447,0.000000,-0.024447,-18.525033,-1.697291,0.000000,-1.697291,0.522060,0.320229,0.384215
126044063727980192!,great-impartial-bumblebee,0.040000,-2.540847,-0.044382,0.000000,-0.044382,-25.308539,-2.283703,0.000000,-2.283703,0.532498,0.280013,0.360934
126044063727980192!,great-impartial-bumblebee,0.050000,-2.659734,-0.069799,0.000000,-0.069799,-31.155917,-2.788887,0.000000,-2.788887,0.541089,0.245873,0.341970
126044063727980192!,great-impartial-bumblebee,0.060000,-2.659734,-0.099850,0.000000,-0.099850,-5.062677,-3.221487,0.000000,-3.221487,0.491399,0.355183,0.468326
126044063727980192!,great-impartial-bumblebee,0.070000,-2.659734,-0.133904,0.000000,-0.133904,-8.396547,-3.589312,0.000000,-3.589312,0.495414,0.334892,0.460285
126044063727980192!,great-impartial-bumblebee,0.080000,-2.659734,-0.171348,0.000000,-0.171348,-7.970587,-3.899372,0.000000,-3.899372,0.492821,0.331849,0.468531
126044063727980192!,great-impartial-bumblebee,0.090000,-2.659734,-0.211635,0.000000,-0.211635,-8.025011,-4.157975,0.000000,-4.157975,0.491302,0.327224,0.473902
126044063727980192!,great-impartial-bumblebee,0.100000,-2.659734,-0.254278,0.000000,-0.254278,-8.018057,-4.370798,0.000000,-4.370798,0.489851,0.323359,0.478924
126044063727980192!,great-impartial-bumblebee,0.110000,-2.659734,-0.298847,0.000000,-0.298847,-8.018945,-4.542943,0.000000,-4.542943,0.488577,0.319898,0.483349
126044063727980192!,great-impartial-bumblebee,0.120000,-2.659734,-0.344957,0.000000,-0.344957,-8.018832,-4.679000,0.000000,-4.679000,0.487447,0.316837,0.487271
126044063727980192!,great-impartial-bumblebee,0.130000,-2.659734,-0.392267,0.000000,-0.392267,-8.018846,-4.783093,0.000000,-4.783093,0.486448,0.314131,0.490739
126044063727980192!,great-impartial-bumblebee,0.140000,-2.659734,-0.440477,0.000000,-0.440477,-8.018845,-4.858924,0.000000,-4.858924,0.485566,0.311743,0.493798
126044063727980192!,great-impartial-bumblebee,0.150000,-2.659734,-0.489321,0.000000,-0.489321,-8.018845,-4.909822,0.000000,-4.909822,0.484790,0.309641,0.496491
126044063727980192!,great-impartial-bumblebee,0.160000,-2.659734,-0.538564,0.000000,-0.538564,-8.018845,-4.938771,0.000000,-4.938771,0.484109,0.307795,0.498856
126044063727980192!,great-impartial-bumblebee,0.170000,-2.659734,-0.588000,0.000000,-0.588000,-8.018845,-4.948449,0.000000,-4.948449,0.483513,0.306179,0.500926
126044063727980192!,great-impartial-bumblebee,0.180000,-2.659734,-0.637449,0.000000,-0.637449,-8.018845,-4.941257,0.000000,-4.941257,0.482993,0.304770,0.502732
126044063727980192!,great-impartial-bumblebee,0.190000,-2.659734,-0.686752,0.000000,-0.686752,-8.018845,-4.919347,0.000000,-4.919347,0.482541,0.303545,0.504301
126044063727980192!,great-impartial-bumblebee,0.200000,-2.659734,-0.735772,0.000000,-0.735772,-8.018845,-4.884646,0.000000,-4.884646,0.482149,0.302484,0.505659
