ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
1243396707060341478!,great-piquant-bumblebee,0.000000,-2.109967,-0.053881,0.000000,-0.053881,0.000000,0.000000,0.000000,0.000000,0.017987,0.088886
1243396707060341478!,great-piquant-bumblebee,0.010000,-2.108028,-0.049789,0.000000,-0.049789,0.387658,0.818249,0.000000,0.818249,0.009528,0.072487
1243396707060341478!,great-piquant-bumblebee,0.020000,-2.103123,-0.038354,0.000000,-0.038354,0.593009,1.467438,0.000000,1.467438,0.008239,0.064091
1243396707060341478!,great-piquant-bumblebee,0.030000,-2.096298,-0.020844,0.000000,-0.020844,0.770570,2.030065,0.000000,2.030065,0.007086,0.056581
1243396707060341478!,great-piquant-bumblebee,0.040000,-2.087816,0.001923,0.000000,0.001923,0.923288,2.515269,0.000000,2.515269,0.006056,0.049869
1243396707060341478!,great-piquant-bumblebee,0.050000,-2.077911,0.029218,0.000000,0.029218,1.053810,2.931281,0.000000,2.931281,0.005137,0.043876
1243396707060341478!,great-piquant-bumblebee,0.060000,-2.066793,0.060385,0.000000,0.060385,1.164524,3.285508,0.000000,3.285508,0.004318,0.038530
1243396707060341478!,great-piquant-bumblebee,0.070000,-2.054650,0.094840,0.000000,0.094840,1.257576,3.584621,0.000000,3.584621,0.003588,0.033766
1243396707060341478!,great-piquant-bumblebee,0.080000,-2.041650,0.132058,0.000000,0.132058,1.334900,3.834621,0.000000,3.834621,0.002939,0.029526
1243396707060341478!,great-piquant-bumblebee,0.090000,-2.027943,0.171571,0.000000,0.171571,1.398233,4.040910,0.000000,4.040910,0.002362,0.025757
1243396707060341478!,great-piquant-bumblebee,0.100000,-2.013663,0.212960,0.000000,0.212960,1.449139,4.208346,0.000000,4.208346,0.001851,0.022412
1243396707060341478!,great-piquant-bumblebee,0.110000,-1.998930,0.255846,0.000000,0.255846,1.489025,4.341302,0.000000,4.341302,0.001398,0.019449
1243396707060341478!,great-piquant-bumblebee,0.120000,-1.983854,0.299890,0.000000,0.299890,1.519157,4.443708,0.000000,4.443708,0.000998,0.016829
1243396707060341478!,great-piquant-bumblebee,0.130000,-1.968528,0.344801,0.000000,0.344801,1.540671,4.519102,0.000000,4.519102,0.000646,0.014517
