ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2,U3
1956087292688053396!,lush-impartial-bumblebee,0.000000,-1.483166,1.590824,0.000000,1.590824,0.000000,0.000000,0.000000,0.000000,0.038458,0.020079,-0.117586
1956087292688053396!,lush-impartial-bumblebee,0.010000,-1.477418,1.587205,0.000000,1.587205,1.149616,-0.723645,0.000000,-0.723645,0.033035,0.016266,-0.100819
1956087292688053396!,lush-impartial-bumblebee,0.020000,-1.460907,1.576813,0.000000,1.576813,2.150531,-1.353687,0.000000,-1.353687,0.028180,0.012854,-0.085811
1956087292688053396!,lush-impartial-bumblebee,0.030000,-1.435039,1.560529,0.000000,1.560529,3.018341,-1.899944,0.000000,-1.899944,0.023838,0.009801,-0.072387
1956087292688053396!,lush-impartial-bumblebee,0.040000,-1.401109,1.539172,0.000000,1.539172,3.767092,-2.371258,0.000000,-2.371258,0.019958,0.007073,-0.060390
1956087292688053396!,lush-impartial-bumblebee,0.050000,-1.360225,1.513436,0.000000,1.513436,4.409448,-2.775599,0.000000,-2.775599,0.016494,0.004638,-0.049679
1956087292688053396!,lush-impartial-bumblebee,0.060000,-1.313384,1.483952,0.000000,1.483952,4.956802,-3.120141,0.000000,-3.120141,0.013403,0.002465,-0.040123
1956087292688053396!,lush-impartial-bumblebee,0.070000,-1.261482,1.451282,0.000000,1.451282,5.419410,-3.411337,0.000000,-3.411337,0.010649,0.000529,-0.031608
1956087292688053396!,lush-impartial-bumblebee,0.080000,-1.205323,1.415931,0.000000,1.415931,5.806499,-3.654997,0.000000,-3.654997,0.008198,-0.001195,-0.024030
1956087292688053396!,lush-impartial-bumblebee,0.090000,-1.145621,1.378351,0.000000,1.378351,6.126372,-3.856346,0.000000,-3.856346,0.006019,-0.002726,-0.017293
1956087292688053396!,lush-impartial-bumblebee,0.100000,-1.083013,1.338941,0.000000,1.338941,6.386496,-4.020085,0.000000,-4.020085,0.004085,-0.004086,-0.011313
1956087292688053396!,lush-impartial-bumblebee,0.110000,-1.018065,1.298059,0.000000,1.298059,6.593586,-4.150441,0.000000,-4.150441,0.002371,-0.005291,-0.006014
1956087292688053396!,lush-impartial-bumblebee,0.120000,-0.951282,1.256020,0.000000,1.256020,6.753678,-4.251214,0.000000,-4.251214,0.000854,-0.006357,-0.001326
1956087292688053396!,lush-impartial-bumblebee,0.130000,-0.883108,1.213107,0.000000,1.213107,6.872197,-4.325817,0.000000,-4.325817,-0.000484,-0.007298,0.002812
