ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
329656907720254743!,lush-piquant-bumblebee,0.000000,1.156254,-1.623737,0.000000,-1.623737,0.000000,0.000000,0.000000,0.000000,-0.027303,0.101583
329656907720254743!,lush-piquant-bumblebee,0.010000,1.153312,-1.618991,0.000000,-1.618991,-0.588427,0.949149,0.000000,0.949149,-0.023771,0.089674
329656907720254743!,lush-piquant-bumblebee,0.020000,1.144861,-1.605360,0.000000,-1.605360,-1.100742,1.775526,0.000000,1.775526,-0.020610,0.079015
329656907720254743!,lush-piquant-bumblebee,0.030000,1.131631,-1.584020,0.000000,-1.584020,-1.544927,2.492009,0.000000,2.492009,-0.017783,0.069480
329656907720254743!,lush-piquant-bumblebee,0.040000,1.114265,-1.556007,0.000000,-1.556007,-1.928176,3.110200,0.000000,3.110200,-0.015256,0.060959
329656907720254743!,lush-piquant-bumblebee,0.050000,1.093333,-1.522244,0.000000,-1.522244,-2.256966,3.640548,0.000000,3.640548,-0.013000,0.053351
329656907720254743!,lush-piquant-bumblebee,0.060000,1.069352,-1.483561,0.000000,-1.483561,-2.537129,4.092457,0.000000,4.092457,-0.010987,0.046564
329656907720254743!,lush-piquant-bumblebee,0.070000,1.042781,-1.440701,0.000000,-1.440701,-2.773912,4.474395,0.000000,4.474395,-0.009193,0.040515
329656907720254743!,lush-piquant-bumblebee,0.080000,1.014030,-1.394326,0.000000,-1.394326,-2.972040,4.793980,0.000000,4.793980,-0.007597,0.035132
329656907720254743!,lush-piquant-bumblebee,0.090000,0.983467,-1.345027,0.000000,-1.345027,-3.135761,5.058067,0.000000,5.058067,-0.006178,0.030347
329656907720254743!,lush-piquant-bumblebee,0.100000,0.951417,-1.293329,0.000000,-1.293329,-3.268900,5.272823,0.000000,5.272823,-0.004918,0.026100
329656907720254743!,lush-piquant-bumblebee,0.110000,0.918170,-1.239701,0.000000,-1.239701,-3.374892,5.443792,0.000000,5.443792,-0.003802,0.022336
329656907720254743!,lush-piquant-bumblebee,0.120000,0.883985,-1.184559,0.000000,-1.184559,-3.456829,5.575958,0.000000,5.575958,-0.002814,0.019006
329656907720254743!,lush-piquant-bumblebee,0.130000,0.849088,-1.128269,0.000000,-1.128269,-3.517486,5.673799,0.000000,5.673799,-0.001943,0.016067
329656907720254743!,lush-piquant-bumblebee,0.140000,0.813682,-1.071159,0.000000,-1.071159,-3.559358,5.741340,0.000000,5.741340,-0.001175,0.013478
329656907720254743!,lush-piquant-bumblebee,0.150000,0.777947,-1.013516,0.000000,-1.013516,-3.584684,5.782191,0.000000,5.782191,-0.000501,0.011204
329656907720254743!,lush-piquant-bumblebee,0.160000,0.742038,-0.955595,0.000000,-0.955595,-3.595473,5.799594,0.000000,5.799594,0.000090,0.009211
329656907720254743!,lush-piquant-bumblebee,0.170000,0.706095,-0.897617,0.000000,-0.897617,-3.593528,5.796458,0.000000,5.796458,0.000606,0.007472
329656907720254743!,lush-piquant-bumblebee,0.180000,0.670238,-0.839779,0.000000,-0.839779,-3.580466,5.775388,0.000000,5.775388,0.001055,0.005959
329656907720254743!,lush-piquant-bumblebee,0.190000,0.634573,-0.782251,0.000000,-0.782251,-3.557734,5.738720,0.000000,5.738720,0.001443,0.004649
329656907720254743!,lush-piquant-bumblebee,0.200000,0.599193,-0.725183,0.000000,-0.725183,-3.526628,5.688545,0.000000,5.688545,0.001778,0.003520
329656907720254743!,lush-piquant-bumblebee,0.210000,0.564177,-0.668701,0.000000,-0.668701,-3.488308,5.626734,0.000000,5.626734,0.002065,0.002554
329656907720254743!,lush-piquant-bumblebee,0.220000,0.529594,-0.612918,0.000000,-0.612918,-3.443811,5.554960,0.000000,5.554960,0.002308,0.001732
329656907720254743!,lush-piquant-bumblebee,0.230000,0.495503,-0.557928,0.000000,-0.557928,-3.394064,5.474716,0.000000,5.474716,0.002514,0.001040
329656907720254743!,lush-piquant-bumblebee,0.240000,0.461954,-0.503811,0.000000,-0.503811,-3.339892,5.387335,0.000000,5.387335,0.002685,0.000463
329656907720254743!,lush-piquant-bumblebee,0.250000,0.428988,-0.450637,0.000000,-0.450637,-3.282032,5.294005,0.000000,5.294005,0.002825,-0.000012
329656907720254743!,lush-piquant-bumblebee,0.260000,0.396625,-0.398434,0.000000,-0.398434,-3.221140,5.195785,0.000000,5.195785,0.002939,-0.000396
329656907720254743!,lush-piquant-bumblebee,0.270000,0.364890,-0.347246,0.000000,-0.347246,-3.157794,5.093606,0.000000,5.093606,0.003029,-0.000699
329656907720254743!,lush-piquant-bumblebee,0.280000,0.333807,-0.297107,0.000000,-0.297107,-3.092506,4.988295,0.000000,4.988295,0.003098,-0.000932
329656907720254743!,lush-piquant-bumblebee,0.290000,0.303391,-0.248045,0.000000,-0.248045,-3.025730,4.880584,0.000000,4.880584,0.003149,-0.001102
329656907720254743!,lush-piquant-bumblebee,0.300000,0.273656,-0.200083,0.000000,-0.200083,-2.957868,4.771120,0.000000,4.771120,0.003183,-0.001217
329656907720254743!,lush-piquant-bumblebee,0.310000,0.244613,-0.153235,0.000000,-0.153235,-2.889273,4.660475,0.000000,4.660475,0.003202,-0.001283
329656907720254743!,lush-piquant-bumblebee,0.320000,0.216267,-0.107512,0.000000,-0.107512,-2.820259,4.549153,0.000000,4.549153,0.003209,-0.001305
329656907720254743!,lush-piquant-bumblebee,0.330000,0.188621,-0.062918,0.000000,-0.062918,-2.751098,4.437595,0.000000,4.437595,0.003205,-0.001291
