ID,System,t,X,Y,X1,Y1,dX,dY,dX1,dY1,U1,U2
562214929715297633!,rebel-vivacious-beetle,0.000000,1.077790,0.716693,1.028197,1.715463,0.000000,0.000000,0.000000,0.000000,1.373465,0.460791
562214929715297633!,rebel-vivacious-beetle,0.010000,1.071981,0.723480,1.017243,1.721980,-1.163467,1.352637,-2.194092,1.296138,1.263643,0.564323
562214929715297633!,rebel-vivacious-beetle,0.020000,1.061695,0.743944,0.984419,1.740953,-0.904341,2.744962,-4.378304,2.475704,1.107994,0.505015
562214929715297633!,rebel-vivacious-beetle,0.030000,1.053991,0.777784,0.930852,1.770174,-0.654076,4.040242,-6.341234,3.334561,0.987788,0.456868
562214929715297633!,rebel-vivacious-beetle,0.040000,1.048476,0.824550,0.858549,1.806348,-0.479318,5.337944,-8.120701,3.859730,0.879132,0.411230
562214929715297633!,rebel-vivacious-beetle,0.050000,1.044089,0.884568,0.769375,1.846094,-0.439966,6.688155,-9.699924,4.042524,0.764273,0.361500
562214929715297633!,rebel-vivacious-beetle,0.060000,1.039227,0.958394,0.665629,1.885985,-0.587722,8.089880,-11.018442,3.888786,0.629897,0.302640
562214929715297633!,rebel-vivacious-beetle,0.070000,1.031848,1.046321,0.550374,1.922781,-0.957035,9.492535,-11.989630,3.431894,0.466714,0.231182
562214929715297633!,rebel-vivacious-beetle,0.080000,1.019743,1.147905,0.427618,1.953751,-1.547829,10.803535,-12.521113,2.740497,0.271111,0.145984
562214929715297633!,rebel-vivacious-beetle,0.090000,1.000970,1.261631,0.302253,1.977029,-2.310075,11.908683,-12.540136,1.917165,0.047813,0.049344
562214929715297633!,rebel-vivacious-beetle,0.100000,0.974388,1.384845,0.179734,1.991908,-3.142015,12.704964,-12.019256,1.084520,-0.188033,-0.052148
562214929715297633!,rebel-vivacious-beetle,0.110000,0.939872,1.514077,0.065279,1.998934,-3.911593,13.135142,-10.994420,0.359041,-0.411415,-0.147811
562214929715297633!,rebel-vivacious-beetle,0.120000,0.898368,1.645775,-0.036922,1.999659,-4.497026,13.209620,-9.561941,-0.176551,-0.593129,-0.225184
562214929715297633!,rebel-vivacious-beetle,0.130000,0.852070,1.776815,-0.123573,1.996179,-4.828699,13.003697,-7.861885,-0.486688,-0.710264,-0.274384
562214929715297633!,rebel-vivacious-beetle,0.140000,0.803539,1.904958,-0.192780,1.990687,-4.911257,12.626732,-6.048140,-0.585707,-0.754961,-0.291780
562214929715297633!,rebel-vivacious-beetle,0.150000,0.754975,2.029027,-0.244058,1.985053,-4.812493,12.184207,-4.253170,-0.522917,-0.737635,-0.281506
562214929715297633!,rebel-vivacious-beetle,0.160000,0.707757,2.148738,-0.278004,1.980584,-4.628022,11.749416,-2.562422,-0.359674,-0.682017,-0.253557
562214929715297633!,rebel-vivacious-beetle,0.170000,0.662344,2.264325,-0.295790,1.978006,-4.443663,11.353307,-1.006002,-0.150437,-0.615029,-0.219579
562214929715297633!,rebel-vivacious-beetle,0.180000,0.618511,2.376123,-0.298638,1.977578,-4.313954,10.988791,0.432798,0.065358,-0.557463,-0.188795
562214929715297633!,rebel-vivacious-beetle,0.190000,0.575621,2.484281,-0.287470,1.979232,-4.261687,10.621283,1.800467,0.261506,-0.520256,-0.166217
562214929715297633!,rebel-vivacious-beetle,0.200000,0.532875,2.588566,-0.262673,1.982676,-4.290130,10.194876,3.155868,0.418102,-0.506388,-0.153291
562214929715297633!,rebel-vivacious-beetle,0.210000,0.489528,2.687980,-0.224056,1.987410,-4.393571,9.629971,4.556459,0.513684,-0.513845,-0.149025
562214929715297633!,rebel-vivacious-beetle,0.220000,0.444851,2.780627,-0.170899,1.992685,-4.565864,8.815494,6.050795,0.518935,-0.540295,-0.151932
562214929715297633!,rebel-vivacious-beetle,0.230000,0.398183,2.863268,-0.102078,1.997393,-4.796194,7.594441,7.670143,0.391988,-0.583011,-0.159697
562214929715297633!,rebel-vivacious-beetle,0.240000,0.348973,2.930768,-0.016465,1.999932,-5.056701,5.757845,9.412187,0.077487,-0.636094,-0.167518
562214929715297633!,rebel-vivacious-beetle,0.250000,0.297157,2.975755,0.086888,1.998112,-5.289897,3.062361,11.216269,-0.487742,-0.689683,-0.167728
562214929715297633!,rebel-vivacious-beetle,0.260000,0.243472,2.988526,0.207988,1.989156,-5.393092,-0.701620,12.933511,-1.352339,-0.725976,-0.149419
562214929715297633!,rebel-vivacious-beetle,0.270000,0.189886,2.957937,0.344935,1.970030,-5.225710,-5.579692,14.334315,-2.509810,-0.721059,-0.103732
562214929715297633!,rebel-vivacious-beetle,0.280000,0.139826,2.873787,0.493089,1.938263,-4.646936,-11.335211,15.158784,-3.856359,-0.648588,-0.031529
562214929715297633!,rebel-vivacious-beetle,0.290000,0.097992,2.729796,0.645473,1.892978,-3.551616,-17.445473,15.194434,-5.181040,-0.470887,0.059410
562214929715297633!,rebel-vivacious-beetle,0.300000,0.069782,2.526228,0.793311,1.835935,-1.900430,-23.158303,14.299172,-6.178704,-0.141038,0.161684
562214929715297633!,rebel-vivacious-beetle,0.310000,0.060324,2.271579,0.926773,1.772313,0.247114,-27.605023,12.413364,-6.491164,0.361353,0.270166
562214929715297633!,rebel-vivacious-beetle,0.320000,0.073738,1.982766,1.036029,1.710744,2.735211,-29.978983,9.571199,-5.796333,0.999377,0.385709
562214929715297633!,rebel-vivacious-beetle,0.330000,0.113074,1.683010,1.112849,1.661796,5.342575,-29.766050,5.890459,-3.944642,1.678999,0.513722
562214929715297633!,rebel-vivacious-beetle,0.340000,0.178324,1.398316,1.149506,1.636654,7.852124,-26.922325,1.504433,-1.056641,2.282782,0.653525
562214929715297633!,rebel-vivacious-beetle,0.350000,0.267776,1.153514,1.139385,1.643716,10.112756,-21.770412,-3.492788,2.421119,2.742496,0.799411
