ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3,U4,U5,U6
1969556365503071072!,talented-antique-butterfly,0.000000,-1.130648,-0.613444,-0.965983,-1.599793,-0.178060,-0.984020,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.186684,0.119643,0.186907,-0.207135,0.229748,0.188731
1969556365503071072!,talented-antique-butterfly,0.010000,-1.121146,-0.614082,-0.961371,-1.601235,-0.174009,-0.984744,1.897900,-0.129046,0.922302,-0.286950,0.809645,-0.143068,0.136917,0.087321,0.118408,-0.148216,0.148212,0.123930
1969556365503071072!,talented-antique-butterfly,0.020000,-1.095508,-0.615386,-0.949211,-1.604627,-0.163039,-0.986620,3.226210,-0.134346,1.508437,-0.388383,1.382754,-0.228501,0.102377,0.063904,0.071652,-0.107034,0.092250,0.077680
1969556365503071072!,talented-antique-butterfly,0.030000,-1.058595,-0.616372,-0.932342,-1.608370,-0.147152,-0.989114,4.150647,-0.066087,1.863459,-0.357182,1.792022,-0.266603,0.078312,0.046509,0.039900,-0.078015,0.053907,0.044033
1969556365503071072!,talented-antique-butterfly,0.040000,-1.013923,-0.616467,-0.912729,-1.611334,-0.127755,-0.991806,4.783125,0.043701,2.058889,-0.233397,2.086835,-0.268805,0.061689,0.033396,0.018684,-0.057615,0.027948,0.019255
1969556365503071072!,talented-antique-butterfly,0.050000,-0.963994,-0.615357,-0.891708,-1.612741,-0.105808,-0.994387,5.202368,0.175490,2.145163,-0.046082,2.301597,-0.244902,0.050484,0.023436,0.004967,-0.043474,0.010828,0.000874
1969556365503071072!,talented-antique-butterfly,0.060000,-0.910651,-0.612876,-0.870189,-1.612057,-0.081993,-0.996633,5.465590,0.318227,2.158771,0.184318,2.460757,-0.202447,0.043291,0.015851,-0.003370,-0.033954,0.000077,-0.012818
1969556365503071072!,talented-antique-butterfly,0.070000,-0.855244,-0.608943,-0.848765,-1.608922,-0.056775,-0.998387,5.615254,0.466477,2.126552,0.443874,2.581916,-0.146826,0.039092,0.010074,-0.007829,-0.027872,-0.006064,-0.023048
1969556365503071072!,talented-antique-butterfly,0.080000,-0.798750,-0.603517,-0.827793,-1.603095,-0.030475,-0.999536,5.683338,0.618226,2.068364,0.723258,2.677661,-0.081638,0.037125,0.005677,-0.009507,-0.024347,-0.008878,-0.030716
1969556365503071072!,talented-antique-butterfly,0.090000,-0.741863,-0.596558,-0.807461,-1.594404,-0.003299,-0.999995,5.694055,0.773410,1.998836,1.016332,2.756797,-0.009094,0.036798,0.002327,-0.009213,-0.022701,-0.009318,-0.036490
1969556365503071072!,talented-antique-butterfly,0.100000,-0.685066,-0.588023,-0.787831,-1.582728,0.024619,-0.999697,5.665753,0.932952,1.928613,1.319044,2.825259,0.069576,0.037636,-0.000229,-0.007560,-0.022405,-0.008105,-0.040856
1969556365503071072!,talented-antique-butterfly,0.110000,-0.628681,-0.577857,-0.768872,-1.567982,0.053190,-0.998584,5.612254,1.098032,1.865212,1.628572,2.886731,0.153764,0.039243,-0.002184,-0.005020,-0.023033,-0.005795,-0.044159
1969556365503071072!,talented-antique-butterfly,0.120000,-0.572912,-0.565998,-0.750492,-1.550105,0.082356,-0.996603,5.543881,1.269585,1.813675,1.942692,2.943131,0.243212,0.041280,-0.003682,-0.001969,-0.024233,-0.002828,-0.046625
1969556365503071072!,talented-antique-butterfly,0.130000,-0.517870,-0.552376,-0.732555,-1.529059,0.112069,-0.993700,5.468220,1.447950,1.777048,2.259309,2.994997,0.337776,0.043441,-0.004826,0.001287,-0.025709,0.000442,-0.048391
1969556365503071072!,talented-antique-butterfly,0.140000,-0.463601,-0.536922,-0.714906,-1.504830,0.142282,-0.989826,5.390688,1.632622,1.756748,2.576127,3.041804,0.437242,0.045449,-0.005685,0.004490,-0.027205,0.003718,-0.049518
1969556365503071072!,talented-antique-butterfly,0.150000,-0.410108,-0.519579,-0.697379,-1.477428,0.172936,-0.984933,5.314947,1.822123,1.752844,2.890444,3.082246,0.541185,0.047052,-0.006303,0.007422,-0.028500,0.006755,-0.050016
1969556365503071072!,talented-antique-butterfly,0.160000,-0.357360,-0.500310,-0.679815,-1.446895,0.203958,-0.978980,5.243232,2.013959,1.764297,3.199061,3.114502,0.648867,0.048026,-0.006708,0.009902,-0.029405,0.009347,-0.049861
1969556365503071072!,talented-antique-butterfly,0.170000,-0.305314,-0.479110,-0.662070,-1.413308,0.235254,-0.971934,5.176595,2.204693,1.789185,3.498294,3.136496,0.759180,0.048184,-0.006912,0.011783,-0.029768,0.011336,-0.049013
1969556365503071072!,talented-antique-butterfly,0.180000,-0.253916,-0.456014,-0.644021,-1.376784,0.266707,-0.963778,5.115125,2.390116,1.824920,3.784082,3.146142,0.870635,0.047394,-0.006925,0.012962,-0.029481,0.012606,-0.047439
1969556365503071072!,talented-antique-butterfly,0.190000,-0.203122,-0.431102,-0.625577,-1.337486,0.298181,-0.954509,5.058154,2.565514,1.868480,4.052187,3.141580,0.981404,0.045585,-0.006752,0.013388,-0.028488,0.013099,-0.045126
1969556365503071072!,talented-antique-butterfly,0.200000,-0.152892,-0.404506,-0.606679,-1.295617,0.329521,-0.944148,5.004458,2.726019,1.916651,4.298447,3.121389,1.089409,0.042768,-0.006404,0.013059,-0.026790,0.012813,-0.042102
1969556365503071072!,talented-antique-butterfly,0.210000,-0.103204,-0.376408,-0.587298,-1.251423,0.360561,-0.932735,4.952468,2.866991,1.966272,4.519077,3.084746,1.192450,0.039030,-0.005898,0.012031,-0.024446,0.011804,-0.038440
1969556365503071072!,talented-antique-butterfly,0.220000,-0.054051,-0.347032,-0.567441,-1.205188,0.391131,-0.920335,4.900478,2.984412,2.014460,4.710964,3.031534,1.288363,0.034538,-0.005260,0.010412,-0.021570,0.010182,-0.034264
1969556365503071072!,talented-antique-butterfly,0.230000,-0.005447,-0.316641,-0.547137,-1.157219,0.421061,-0.907032,4.846838,3.075231,2.058807,4.871910,2.962377,1.375188,0.029520,-0.004522,0.008348,-0.018321,0.008101,-0.029740
1969556365503071072!,talented-antique-butterfly,0.240000,0.042584,-0.285521,-0.526440,-1.107842,0.450194,-0.892931,4.790121,3.137610,2.097521,5.000813,2.878600,1.451320,0.024244,-0.003725,0.006015,-0.014884,0.005741,-0.025063
