ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3
854657134900647464!,talented-ruddy-butterfly,0.000000,1.418440,-2.501371,0.617974,-1.901993,0.319926,-0.947443,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.254301,0.299404,0.030270
854657134900647464!,talented-ruddy-butterfly,0.010000,1.412566,-2.502654,0.611494,-1.904085,0.316768,-0.948503,-1.175240,-0.255017,-1.295240,-0.415614,-0.631498,-0.210899,0.191867,0.225330,0.001108
854657134900647464!,talented-ruddy-butterfly,0.020000,1.396681,-2.505462,0.593463,-1.909776,0.307992,-0.951389,-2.003085,-0.302840,-2.310429,-0.717260,-1.123678,-0.363767,0.152691,0.178732,-0.018639
854657134900647464!,talented-ruddy-butterfly,0.030000,1.373582,-2.507994,0.566143,-1.918044,0.294723,-0.955583,-2.617832,-0.198189,-3.152005,-0.929289,-1.529526,-0.471740,0.128515,0.149827,-0.032374
854657134900647464!,talented-ruddy-butterfly,0.040000,1.344964,-2.508895,0.530932,-1.928075,0.277656,-0.960680,-3.106692,0.024160,-3.886491,-1.068743,-1.882188,-0.543991,0.113856,0.132105,-0.042373
854657134900647464!,talented-ruddy-butterfly,0.050000,1.311799,-2.507081,0.488693,-1.939194,0.257220,-0.966353,-3.526364,0.344047,-4.554255,-1.145798,-2.201834,-0.586076,0.105045,0.121207,-0.050087
854657134900647464!,talented-ruddy-butterfly,0.060000,1.274597,-2.501626,0.439974,-1.950803,0.233685,-0.972312,-3.913457,0.750522,-5.177907,-1.165410,-2.499860,-0.600816,0.099568,0.114137,-0.056380
854657134900647464!,talented-ruddy-butterfly,0.070000,1.233564,-2.491687,0.385162,-1.962335,0.207240,-0.978290,-4.290904,1.237439,-5.767495,-1.129119,-2.781480,-0.589226,0.095627,0.108755,-0.061689
854657134900647464!,talented-ruddy-butterfly,0.080000,1.188731,-2.476478,0.324590,-1.973226,0.178043,-0.984023,-4.671769,1.799793,-6.323692,-1.036747,-3.047301,-0.551360,0.091865,0.103452,-0.066134
854657134900647464!,talented-ruddy-butterfly,0.090000,1.140031,-2.455268,0.258622,-1.982913,0.146266,-0.989245,-5.061381,2.430687,-6.839894,-0.887994,-3.294362,-0.487092,0.087198,0.096966,-0.069593
854657134900647464!,talented-ruddy-butterfly,0.100000,1.087381,-2.427419,0.187719,-1.990833,0.112125,-0.993694,-5.458475,3.118910,-7.303908,-0.683931,-3.516939,-0.396838,0.080754,0.088308,-0.071757
854657134900647464!,talented-ruddy-butterfly,0.110000,1.030742,-2.392431,0.112485,-1.996446,0.075904,-0.997115,-5.855908,3.847242,-7.699697,-0.428359,-3.707372,-0.282219,0.071875,0.076774,-0.072204
854657134900647464!,talented-ruddy-butterfly,0.120000,0.970176,-2.350014,0.033705,-1.999270,0.037974,-0.999279,-6.241440,4.591801,-8.009502,-0.128848,-3.857075,-0.146575,0.060180,0.062012,-0.070489
854657134900647464!,talented-ruddy-butterfly,0.130000,0.905901,-2.300153,-0.047649,-1.998920,-0.001203,-0.999999,-6.598979,5.322790,-8.216427,0.202775,-3.957763,0.004761,0.045649,0.044116,-0.066267
854657134900647464!,talented-ruddy-butterfly,0.140000,0.838324,-2.243166,-0.130433,-1.995156,-0.041079,-0.999156,-6.910532,6.006850,-8.307344,0.550740,-4.002858,0.164573,0.028706,0.023689,-0.059428
854657134900647464!,talented-ruddy-butterfly,0.150000,0.768063,-2.179734,-0.213368,-1.987917,-0.081039,-0.996711,-7.158820,6.610874,-8.275650,0.896620,-3.988831,0.324319,0.010222,0.001836,-0.050202
854657134900647464!,talented-ruddy-butterfly,0.160000,0.695874,-2.110923,-0.295164,-1.977339,-0.120459,-0.992718,-7.330304,7.106471,-8.123521,1.221714,-3.916342,0.475221,-0.008580,-0.019980,-0.039196
854657134900647464!,talented-ruddy-butterfly,0.170000,0.622584,-2.037977,-0.374656,-1.963734,-0.158772,-0.987315,-7.417252,7.473556,-7.861259,1.509617,-3.790102,0.609492,-0.026311,-0.040160,-0.027319
854657134900647464!,talented-ruddy-butterfly,0.180000,0.549028,-1.962248,-0.450864,-1.947548,-0.195497,-0.980704,-7.419072,7.703242,-7.506619,1.748269,-3.618537,0.721332,-0.041665,-0.057254,-0.015613
854657134900647464!,talented-ruddy-butterfly,0.190000,0.475894,-1.885038,-0.523127,-1.929286,-0.230311,-0.973117,-7.342233,7.798177,-7.082392,1.931497,-3.412680,0.807692,-0.053671,-0.070235,-0.005043
854657134900647464!,talented-ruddy-butterfly,0.200000,0.403859,-1.807566,-0.590933,-1.909494,-0.262962,-0.964806,-7.199042,7.771968,-6.613628,2.058440,-3.184676,0.867995,-0.061827,-0.078633,0.003679
854657134900647464!,talented-ruddy-butterfly,0.210000,0.333481,-1.730895,-0.653988,-1.888707,-0.293300,-0.956021,-7.005692,7.645675,-6.124697,2.133046,-2.946377,0.903925,-0.066151,-0.082570,0.010190
854657134900647464!,talented-ruddy-butterfly,0.220000,0.265165,-1.655878,-0.712206,-1.867406,-0.321278,-0.946985,-6.779664,7.443726,-5.636697,2.162620,-2.708073,0.918752,-0.067096,-0.082648,0.014470
854657134900647464!,talented-ruddy-butterfly,0.230000,0.199155,-1.583134,-0.765679,-1.845994,-0.346937,-0.937888,-6.537370,7.190168,-5.165885,2.156095,-2.477725,0.916543,-0.065381,-0.079752,0.016765
854657134900647464!,talented-ruddy-butterfly,0.240000,0.135547,-1.513067,-0.814629,-1.824784,-0.370382,-0.928880,-6.292511,6.905991,-4.723232,2.122511,-2.260724,0.901441,-0.061817,-0.074843,0.017473
854657134900647464!,talented-ruddy-butterfly,0.250000,0.074316,-1.445896,-0.859364,-1.804005,-0.391758,-0.920068,-6.055308,6.607746,-4.314857,2.069951,-2.060095,0.877172,-0.057160,-0.068799,0.017037
854657134900647464!,talented-ruddy-butterfly,0.260000,0.015355,-1.381700,-0.900235,-1.783813,-0.411232,-0.911531,-5.832486,6.307285,-3.942989,2.004999,-1.876953,0.846777,-0.052026,-0.062328,0.015864
854657134900647464!,talented-ruddy-butterfly,0.270000,-0.041496,-1.320460,-0.937599,-1.764305,-0.428977,-0.903315,-5.627745,6.012254,-3.607084,1.932630,-1.711043,0.812561,-0.046863,-0.055932,0.014289
854657134900647464!,talented-ruddy-butterfly,0.280000,-0.096424,-1.262100,-0.971803,-1.745537,-0.445158,-0.895452,-5.442455,5.726954,-3.304880,1.856362,-1.561253,0.776149,-0.041955,-0.049926,0.012558
854657134900647464!,talented-ruddy-butterfly,0.290000,-0.149623,-1.206512,-1.003166,-1.727535,-0.459927,-0.887957,-5.276372,5.453277,-3.033229,1.778547,-1.426028,0.738626,-0.037456,-0.044472,0.010837
854657134900647464!,talented-ruddy-butterfly,0.300000,-0.201278,-1.153578,-1.031974,-1.710305,-0.473420,-0.880837,-5.128257,5.191537,-2.788713,1.700689,-1.303669,0.700677,-0.033423,-0.039625,0.009226
854657134900647464!,talented-ruddy-butterfly,0.310000,-0.251560,-1.103182,-1.058481,-1.693842,-0.485757,-0.874094,-4.996342,4.941128,-2.568023,1.623720,-1.192524,0.662716,-0.029847,-0.035364,0.007778
854657134900647464!,talented-ruddy-butterfly,0.320000,-0.300621,-1.055217,-1.082909,-1.678134,-0.497042,-0.867726,-4.878657,4.701003,-2.368179,1.548230,-1.091098,0.624992,-0.026686,-0.031630,0.006515
854657134900647464!,talented-ruddy-butterfly,0.330000,-0.348594,-1.009584,-1.105454,-1.663161,-0.507367,-0.861730,-4.773230,4.469982,-2.186624,1.474622,-0.998106,0.587662,-0.023876,-0.028346,0.005439
854657134900647464!,talented-ruddy-butterfly,0.340000,-0.395590,-0.966201,-1.126287,-1.648904,-0.516809,-0.856101,-4.678193,4.246955,-2.021243,1.403221,-0.912476,0.550841,-0.021349,-0.025429,0.004544
854657134900647464!,talented-ruddy-butterfly,0.350000,-0.441705,-0.924994,-1.145560,-1.635337,-0.525437,-0.850833,-4.591833,4.030981,-1.870337,1.334343,-0.833344,0.514636,-0.019042,-0.022801,0.003816
854657134900647464!,talented-ruddy-butterfly,0.360000,-0.487015,-0.885896,-1.163410,-1.622434,-0.533312,-0.845918,-4.512599,3.821348,-1.732572,1.268326,-0.760027,0.479162,-0.016893,-0.020392,0.003244
854657134900647464!,talented-ruddy-butterfly,0.370000,-0.531582,-0.848848,-1.179963,-1.610164,-0.540490,-0.841350,-4.439092,3.617587,-1.606924,1.205549,-0.691998,0.444545,-0.014852,-0.018142,0.002814
854657134900647464!,talented-ruddy-butterfly,0.380000,-0.575456,-0.813794,-1.195334,-1.598493,-0.547021,-0.837119,-4.370045,3.419469,-1.492620,1.146428,-0.628857,0.410931,-0.012876,-0.016001,0.002518
854657134900647464!,talented-ruddy-butterfly,0.390000,-0.618674,-0.780680,-1.209633,-1.587382,-0.552951,-0.833214,-4.304305,3.226995,-1.389086,1.091417,-0.570306,0.378476,-0.010931,-0.013930,0.002345
854657134900647464!,talented-ruddy-butterfly,0.400000,-0.661260,-0.749449,-1.222963,-1.576788,-0.558325,-0.829623,-4.240817,3.040373,-1.295900,1.040991,-0.516127,0.347347,-0.008990,-0.011899,0.002288
854657134900647464!,talented-ruddy-butterfly,0.410000,-0.703230,-0.720042,-1.235425,-1.566664,-0.563184,-0.826332,-4.178608,2.860000,-1.212747,0.995631,-0.466160,0.317710,-0.007032,-0.009886,0.002342
854657134900647464!,talented-ruddy-butterfly,0.420000,-0.744591,-0.692395,-1.247117,-1.556957,-0.567570,-0.823325,-4.116785,2.686430,-1.139385,0.955816,-0.420284,0.289728,-0.005044,-0.007876,0.002500
854657134900647464!,talented-ruddy-butterfly,0.430000,-0.785339,-0.666438,-1.258135,-1.547610,-0.571522,-0.820587,-4.054532,2.520354,-1.075607,0.922000,-0.378409,0.263554,-0.003019,-0.005863,0.002757
854657134900647464!,talented-ruddy-butterfly,0.440000,-0.825465,-0.642092,-1.268572,-1.538561,-0.575079,-0.818098,-3.991107,2.362561,-1.021216,0.894600,-0.340453,0.239320,-0.000953,-0.003845,0.003106
