ID,System,t,X,Y,X1,Y1,X2,Y2,dX,dY,dX1,dY1,dX2,dY2,U1,U2,U3
2115501387630011466!,talented-steel-butterfly,0.000000,-2.157430,-0.491629,-1.234917,-0.105663,-0.550551,-0.834802,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.213643,0.340360,0.066126
2115501387630011466!,talented-steel-butterfly,0.010000,-2.150544,-0.488099,-1.227711,-0.102897,-0.548064,-0.836436,1.376677,0.703805,1.440615,0.550628,0.495741,-0.324828,-0.178616,0.294236,0.054440
2115501387630011466!,talented-steel-butterfly,0.020000,-2.130844,-0.478054,-1.207077,-0.095097,-0.541028,-0.841005,2.563502,1.300128,2.686416,1.003637,0.908165,-0.584232,-0.160216,0.255987,0.052014
2115501387630011466!,talented-steel-butterfly,0.030000,-2.099956,-0.462592,-1.174688,-0.083279,-0.530186,-0.847882,3.611691,1.783546,3.789107,1.350771,1.255361,-0.784985,-0.147078,0.222004,0.052741
2115501387630011466!,talented-steel-butterfly,0.040000,-2.059153,-0.442811,-1.131848,-0.068505,-0.516158,-0.856493,4.544400,2.158991,4.773526,1.591356,1.545109,-0.931146,-0.132949,0.190020,0.053174
2115501387630011466!,talented-steel-butterfly,0.050000,-2.009542,-0.419757,-1.079687,-0.051832,-0.499499,-0.866315,5.368144,2.435652,5.647871,1.728701,1.780175,-1.026411,-0.114747,0.158715,0.051555
2115501387630011466!,talented-steel-butterfly,0.060000,-1.952237,-0.394364,-1.019322,-0.034268,-0.480758,-0.876853,6.080147,2.625041,6.410561,1.769021,1.960897,-1.075115,-0.091562,0.127557,0.047244
2115501387630011466!,talented-steel-butterfly,0.070000,-1.888397,-0.367444,-0.951908,-0.016746,-0.460486,-0.887667,6.674478,2.739443,7.056017,1.720597,2.087509,-1.082915,-0.063908,0.096664,0.040332
2115501387630011466!,talented-steel-butterfly,0.080000,-1.819233,-0.339687,-0.878657,-0.000106,-0.439219,-0.898380,7.146278,2.791449,7.578785,1.593483,2.161401,-1.056713,-0.033213,0.066632,0.031376
2115501387630011466!,talented-steel-butterfly,0.090000,-1.745987,-0.311654,-0.800815,0.014919,-0.417476,-0.908688,7.494567,2.793669,7.976389,1.399177,2.185766,-1.004200,-0.001368,0.038314,0.021183
2115501387630011466!,talented-steel-butterfly,0.100000,-1.669882,-0.283790,-0.719638,0.027718,-0.395725,-0.918369,7.723601,2.758385,8.250817,1.150132,2.165755,-0.933223,0.029690,0.012586,0.010630
2115501387630011466!,talented-steel-butterfly,0.110000,-1.592057,-0.256433,-0.636323,0.037801,-0.374370,-0.927279,7.842848,2.697173,8.408717,0.859112,2.108056,-0.851085,0.058302,-0.009854,0.000515
2115501387630011466!,talented-steel-butterfly,0.120000,-1.513525,-0.229789,-0.551967,0.044814,-0.353744,-0.935342,7.866207,2.620509,8.460802,0.538457,2.020263,-0.764057,0.083303,-0.028623,-0.008551
2115501387630011466!,talented-steel-butterfly,0.130000,-1.435152,-0.203966,-0.467551,0.048519,-0.334102,-0.942537,7.810429,2.537357,8.420469,0.199495,1.910251,-0.677129,0.104101,-0.043682,-0.016193
2115501387630011466!,talented-steel-butterfly,0.140000,-1.357637,-0.178991,-0.383923,0.048783,-0.315629,-0.948883,7.693357,2.454989,8.302214,-0.147829,1.785502,-0.593917,0.120622,-0.055292,-0.022259
2115501387630011466!,talented-steel-butterfly,0.150000,-1.281506,-0.154822,-0.301789,0.045566,-0.298440,-0.954428,7.532377,2.378960,8.120225,-0.495082,1.652571,-0.516742,0.133178,-0.063916,-0.026786
2115501387630011466!,talented-steel-butterfly,0.160000,-1.207124,-0.131371,-0.221728,0.038906,-0.282592,-0.959240,7.343291,2.313212,7.887353,-0.835296,1.516759,-0.446836,0.142309,-0.070116,-0.029940
2115501387630011466!,talented-steel-butterfly,0.170000,-1.134713,-0.108512,-0.144200,0.028903,-0.268099,-0.963391,7.139735,2.260241,7.614621,-1.162807,1.382020,-0.384598,0.148652,-0.074461,-0.031964
2115501387630011466!,talented-steel-butterfly,0.180000,-1.064369,-0.086105,-0.069566,0.015711,-0.254941,-0.966957,6.932773,2.221274,7.310874,-1.472989,1.250937,-0.329813,0.152822,-0.077453,-0.033132
2115501387630011466!,talented-steel-butterfly,0.190000,-0.996086,-0.064001,0.001894,-0.000477,-0.243076,-0.970007,6.731019,2.196453,6.982988,-1.762049,1.124857,-0.281880,0.155357,-0.079497,-0.033722
2115501387630011466!,talented-steel-butterfly,0.200000,-0.929784,-0.042055,0.069960,-0.019431,-0.232454,-0.972607,6.540839,2.184970,6.636152,-2.026861,1.004070,-0.239974,0.156693,-0.080888,-0.034000
2115501387630011466!,talented-steel-butterfly,0.210000,-0.865329,-0.020135,0.134456,-0.040892,-0.223026,-0.974813,6.366599,2.185189,6.274205,-2.264868,0.888013,-0.203167,0.157164,-0.081819,-0.034211
2115501387630011466!,talented-steel-butterfly,0.220000,-0.802551,0.001872,0.195239,-0.064579,-0.214752,-0.976669,6.210904,2.194768,5.899972,-2.474013,0.775474,-0.170513,0.157015,-0.082396,-0.034570
2115501387630011466!,talented-steel-butterfly,0.230000,-0.741245,0.024027,0.252211,-0.090197,-0.207600,-0.978214,6.074719,2.210805,5.515525,-2.652771,0.664779,-0.141082,0.156420,-0.082663,-0.035259
2115501387630011466!,talented-steel-butterfly,0.240000,-0.681180,0.046327,0.305317,-0.117451,-0.201543,-0.979480,5.957560,2.230019,5.122451,-2.800161,0.554033,-0.114001,0.155501,-0.082631,-0.036415
2115501387630011466!,talented-steel-butterfly,0.250000,-0.622175,0.068787,0.354480,-0.146027,-0.196591,-0.980486,5.858038,2.248934,4.722125,-2.915505,0.441310,-0.088484,0.154344,-0.082286,-0.038138
2115501387630011466!,talented-steel-butterfly,0.260000,-0.564069,0.091392,0.399629,-0.175603,-0.192776,-0.981243,5.773790,2.264106,4.315772,-2.998510,0.324712,-0.063793,0.153006,-0.081617,-0.040475
2115501387630011466!,talented-steel-butterfly,0.270000,-0.506728,0.114093,0.440707,-0.205855,-0.190147,-0.981756,5.701676,2.272352,3.904583,-3.049234,0.202507,-0.039222,0.151522,-0.080621,-0.043420
2115501387630011466!,talented-steel-butterfly,0.280000,-0.450055,0.136817,0.477666,-0.236459,-0.188771,-0.982021,5.637997,2.270971,3.489800,-3.068045,0.073236,-0.014078,0.149914,-0.079321,-0.046909
2115501387630011466!,talented-steel-butterfly,0.290000,-0.393989,0.159463,0.510469,-0.267098,-0.188725,-0.982030,5.578739,2.257926,3.072783,-3.055573,-0.064180,0.012334,0.148192,-0.077764,-0.050829
2115501387630011466!,talented-steel-butterfly,0.300000,-0.338513,0.181916,0.539097,-0.297459,-0.190098,-0.981765,5.519816,2.232018,2.655036,-3.012648,-0.210384,0.040736,0.146357,-0.076021,-0.055023
2115501387630011466!,talented-steel-butterfly,0.310000,-0.283645,0.204048,0.563547,-0.327239,-0.192979,-0.981203,5.457333,2.192910,2.238250,-2.940246,-0.365529,0.071891,0.144409,-0.074185,-0.059306
2115501387630011466!,talented-steel-butterfly,0.320000,-0.229442,0.225734,0.583832,-0.356146,-0.197461,-0.980311,5.387796,2.141185,1.824274,-2.839433,-0.529280,0.106611,0.142340,-0.072355,-0.063485
2115501387630011466!,talented-steel-butterfly,0.330000,-0.175995,0.246856,0.599988,-0.383898,-0.203626,-0.979049,5.308306,2.078243,1.415117,-2.711336,-0.700827,0.145761,0.140141,-0.070628,-0.067371
2115501387630011466!,talented-steel-butterfly,0.340000,-0.123418,0.267316,0.612067,-0.410224,-0.211552,-0.977367,5.216672,2.006168,1.012904,-2.557123,-0.878930,0.190245,0.137805,-0.069088,-0.070803
2115501387630011466!,talented-steel-butterfly,0.350000,-0.071847,0.287039,0.620148,-0.434864,-0.221297,-0.975206,5.111473,1.927552,0.619830,-2.378008,-1.061987,0.240990,0.135326,-0.067800,-0.073653
2115501387630011466!,talented-steel-butterfly,0.360000,-0.021426,0.305976,0.624327,-0.457571,-0.232906,-0.972499,4.992056,1.845290,0.238098,-2.175263,-1.248106,0.298912,0.132705,-0.066799,-0.075835
2115501387630011466!,talented-steel-butterfly,0.370000,0.027697,0.324112,0.624724,-0.478109,-0.246403,-0.969167,4.858500,1.762384,-0.130137,-1.950248,-1.435187,0.364885,0.129946,-0.066092,-0.077309
2115501387630011466!,talented-steel-butterfly,0.380000,0.075376,0.341459,0.621480,-0.496258,-0.261789,-0.965125,4.711530,1.681739,-0.482823,-1.704435,-1.620993,0.439693,0.127058,-0.065661,-0.078072
2115501387630011466!,talented-steel-butterfly,0.390000,0.121475,0.358062,0.614754,-0.511810,-0.279044,-0.960278,4.552426,1.606004,-0.818060,-1.439443,-1.803226,0.523994,0.124059,-0.065462,-0.078159
2115501387630011466!,talented-steel-butterfly,0.400000,0.165939,0.373938,0.604783,-0.524625,-0.298087,-0.954539,4.382703,1.537382,-1.134294,-1.157033,-1.979591,0.618195,0.120971,-0.065442,-0.077622
